jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,18,14,27,20,17,34,42,42,26,17,9,19,18,8,7,7,15,6,9,11,7,11,32,22,""
02,37,37,41,46,43,39,39,30,21,13,9,13,8,15,9,19,21,9,7,9,12,13,27,34,""
03,43,46,53,78,86,99,97,51,25,24,37,54,53,42,37,42,41,30,26,27,39,28,16,27,""
04,18,18,59,58,52,40,44,32,33,19,19,22,20,16,17,20,11,11,12,8,13,8,18,26,""
05,37,39,32,47,45,41,38,27,30,24,19,7,22,9,13,12,9,12,12,20,16,28,13,22,""
06,25,41,36,29,39,35,41,32,19,11,11,10,14,17,12,14,11,15,5,12,10,6,22,27,""
07,17,36,31,38,46,35,35,27,14,16,12,12,8,15,18,15,11,6,7,10,9,14,19,27,""
08,24,27,35,28,43,48,23,27,22,16,11,10,5,7,9,7,7,3,7,6,8,22,13,16,""
09,18,28,30,31,38,33,27,15,12,9,24,21,14,13,10,9,4,5,3,5,3,6,10,21,""
10,19,23,36,43,34,40,37,24,20,4,8,9,8,6,7,4,8,7,2,5,3,19,20,12,""
11,20,35,33,36,44,28,25,20,24,16,11,18,12,11,8,7,9,6,7,5,6,5,7,12,""
12,12,30,25,37,30,29,23,20,11,4,11,6,5,8,4,6,4,6,6,6,7,12,13,12,""
13,19,23,37,33,41,30,19,21,25,24,17,13,7,11,5,4,4,6,6,9,9,15,14,19,""
14,23,14,29,25,28,24,16,19,8,6,12,12,6,11,5,5,11,10,1,8,5,14,19,36,""
15,36,59,52,61,55,50,45,27,18,17,17,7,10,9,4,3,7,6,7,10,10,12,10,16,""
16,14,28,20,20,21,23,24,5,11,2,7,7,9,9,5,3,5,7,4,7,9,12,14,17,""
17,9,17,9,14,24,18,13,18,13,9,14,9,8,6,3,1,2,4,3,2,0,0,0,0,""
18,0,0,0,0,0,0,0,0,0,2,5,9,11,5,7,4,5,2,6,7,2,8,6,8,""
19,12,13,18,28,24,20,11,11,8,8,9,7,5,7,13,4,5,4,3,2,6,6,7,6,""
20,14,11,17,16,23,12,13,15,7,11,6,6,8,6,8,1,3,9,0,3,5,8,9,10,""
21,9,16,17,19,27,19,18,15,19,29,21,14,10,9,8,6,11,4,0,6,8,12,6,20,""
22,15,19,24,27,24,23,15,21,11,6,7,3,5,4,6,4,5,2,3,5,6,11,19,14,""
23,22,23,18,17,27,15,18,21,11,8,8,4,7,3,3,2,6,3,2,7,8,11,9,15,""
24,17,22,23,15,12,21,12,13,7,3,7,9,4,4,3,2,3,7,3,1,3,7,7,7,""
25,10,11,13,13,21,12,15,10,7,2,7,6,6,7,3,3,4,2,6,1,3,8,10,15,""
26,14,15,19,19,9,16,10,15,11,2,6,2,3,5,1,5,3,7,6,7,9,9,10,13,""
27,13,16,22,33,23,21,20,23,33,12,13,6,6,7,5,2,7,16,5,12,10,11,15,18,""
28,24,25,36,31,24,25,29,23,6,4,5,8,8,9,6,3,5,9,4,8,7,18,31,19,""
29,29,31,31,23,30,21,25,17,22,27,16,11,9,13,10,13,5,12,10,9,13,25,21,29,""
30,23,42,43,30,43,34,38,31,27,18,8,14,11,11,7,7,7,13,4,12,8,21,13,26,""
31,21,34,30,30,27,20,26,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]o{'m,"kf`zIhz}{fehk'kl"
