feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,13,17,21,20,15,12,17,16,11,10,11,19,10,7,7,4,7,7,6,9,8,11,11,12,""
02,13,10,13,17,12,13,14,15,7,13,15,16,8,11,9,11,6,4,9,8,3,13,15,10,""
03,12,17,10,14,14,18,10,17,15,11,16,13,7,6,-1,-1,-1,-1,-1,-1,-1,-1,10,13,""
04,8,13,11,16,25,21,8,22,19,17,10,13,10,9,10,10,6,6,9,7,10,10,9,9,""
05,18,16,16,16,20,20,13,9,14,24,18,12,24,12,9,10,13,11,7,12,11,9,4,5,""
06,13,17,14,20,19,11,13,15,21,17,22,7,11,16,11,15,3,3,4,16,9,6,10,8,""
07,11,18,15,14,18,18,10,15,13,15,13,15,13,13,9,15,8,20,11,17,13,16,19,11,""
08,20,26,14,12,17,26,15,23,21,11,14,8,17,7,9,3,9,5,16,5,10,7,8,10,""
09,13,21,19,23,14,20,14,13,21,24,12,16,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,""
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,9,17,10,7,9,5,3,6,10,6,5,13,""
12,9,13,20,19,14,19,26,16,16,18,13,15,5,9,10,9,8,11,8,6,9,9,6,14,""
13,15,15,18,16,18,21,10,9,16,5,15,12,8,9,11,9,5,8,9,13,7,13,7,18,""
14,7,23,22,24,19,16,17,11,20,12,9,-1,-1,-1,4,7,7,11,3,13,8,8,8,9,""
15,4,9,18,17,22,16,17,13,17,12,13,12,8,8,8,6,5,5,4,6,8,7,8,9,""
16,10,18,15,21,9,11,15,6,12,18,8,14,10,9,6,9,8,1,-1,-1,-1,-1,4,8,""
17,10,11,16,17,14,9,11,12,11,16,11,12,8,8,9,11,10,6,8,11,14,7,9,11,""
18,21,15,16,11,17,23,14,9,8,11,10,7,7,13,9,7,5,5,20,13,7,10,6,6,""
19,7,11,13,16,10,13,18,8,18,11,10,10,9,16,14,13,7,8,-1,-1,-1,-1,7,19,""
20,8,17,24,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,14,9,15,12,""
21,12,13,14,17,9,17,19,13,18,21,11,26,17,10,7,7,10,6,8,7,12,5,8,10,""
22,6,22,18,8,18,19,19,12,13,16,15,17,10,8,10,8,4,8,6,9,10,6,5,4,""
23,7,19,20,17,17,19,16,12,10,11,11,11,15,10,9,6,5,5,5,8,12,14,4,13,""
24,12,14,24,15,18,14,24,21,11,20,15,13,3,-1,-1,-1,-1,-1,-1,7,11,15,14,4,""
25,-1,-1,-1,-1,-1,-1,-1,-1,11,19,17,12,11,15,9,7,8,-1,9,13,9,7,14,6,""
26,12,21,24,22,16,15,23,14,24,21,11,9,17,13,9,6,7,9,7,9,12,7,10,9,""
27,11,16,22,15,21,14,14,20,11,11,20,12,18,20,13,6,9,3,7,9,10,5,15,15,""
28,16,13,23,8,17,16,13,13,23,9,15,15,10,7,13,8,8,5,8,7,13,10,5,1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
