aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,13,9,23,20,11,10,6,14,8,12,3,4,4,6,3,7,4,5,6,2,7,17,16,6,""
02,13,19,10,8,8,14,7,15,9,10,10,14,8,3,4,6,4,4,5,7,5,8,7,6,""
03,20,8,13,18,21,12,7,14,16,7,18,6,3,4,7,6,1,7,3,2,6,5,2,10,""
04,12,31,17,13,12,17,7,12,15,4,11,5,5,13,18,12,10,10,12,11,15,16,5,5,""
05,10,16,23,10,18,19,10,4,14,5,3,2,10,4,7,9,10,4,7,3,3,5,21,11,""
06,15,5,21,12,20,12,14,14,12,4,10,7,4,1,8,6,6,5,9,7,11,12,5,15,""
07,19,30,12,15,16,16,7,10,24,11,10,5,9,3,3,4,5,10,8,9,2,8,10,9,""
08,24,22,23,29,20,6,16,11,4,8,22,10,5,18,5,4,5,5,5,8,5,14,11,13,""
09,10,15,7,7,15,4,16,14,10,23,11,8,10,8,4,1,10,7,3,4,8,7,10,3,""
10,17,16,11,15,10,13,26,17,16,15,11,8,14,8,9,9,8,7,18,7,5,9,10,23,""
11,16,13,14,30,17,17,37,25,24,19,22,8,8,5,16,9,7,13,9,6,8,19,41,26,""
12,57,30,34,30,65,39,38,69,65,37,30,53,36,16,18,20,15,17,27,27,30,45,36,31,""
13,17,24,38,47,56,51,31,44,40,46,32,41,14,22,16,21,3,10,11,9,13,13,25,25,""
14,17,28,20,23,60,60,27,27,23,8,23,10,12,10,10,14,12,13,7,11,9,3,25,10,""
15,10,12,22,10,28,11,27,23,11,11,6,18,12,20,15,8,13,12,10,12,9,12,15,10,""
16,8,7,9,15,11,15,11,19,21,16,23,9,15,8,7,14,11,5,11,4,12,9,6,11,""
17,10,8,9,11,9,12,26,8,7,6,7,20,6,7,5,6,12,7,4,11,10,17,5,15,""
18,13,10,9,14,11,8,6,30,4,5,4,6,16,9,13,34,27,12,12,15,16,11,18,6,""
19,30,7,7,11,9,21,7,4,5,10,11,5,15,7,10,20,26,12,27,12,10,10,7,10,""
20,7,10,9,8,10,19,9,12,16,6,10,12,5,18,9,11,8,10,6,10,13,16,12,6,""
21,11,6,13,11,17,12,8,15,5,14,12,4,9,9,18,9,9,5,8,27,2,8,6,5,""
22,11,6,9,10,11,6,8,6,6,3,10,8,3,17,12,8,13,8,15,10,5,6,16,14,""
23,2,6,7,6,7,7,9,6,12,8,12,11,13,6,7,9,16,6,22,9,7,9,12,9,""
24,5,9,5,10,5,3,12,9,6,9,7,4,8,9,8,15,7,15,9,15,8,11,12,2,""
25,6,3,8,14,9,7,7,7,9,16,4,4,21,26,11,15,8,7,13,8,10,7,15,14,""
26,10,12,10,4,8,12,10,4,2,6,12,7,6,8,8,9,3,15,8,7,9,12,5,5,""
27,9,3,4,7,6,11,19,-1,-1,-1,9,6,8,10,12,15,15,6,9,4,2,2,4,23,""
28,5,6,9,7,17,20,3,7,8,8,8,13,13,9,8,10,10,8,12,7,7,7,12,14,""
29,5,11,10,8,11,9,4,10,12,8,6,20,6,11,13,18,9,16,7,9,10,5,13,3,""
30,9,9,7,9,16,15,19,15,7,11,26,11,10,7,6,17,13,3,7,6,10,8,8,9,""
31,14,14,12,9,12,9,7,11,6,14,6,5,11,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
