aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,2,8,12,10,8,4,6,2,5,11,4,6,4,3,2,2,3,2,3,3,0,1,3,2,""
02,11,3,8,6,9,5,4,7,5,5,1,3,1,1,3,1,3,3,2,4,3,0,3,6,""
03,4,8,13,14,13,8,3,10,5,5,9,5,3,2,2,3,3,1,4,1,4,5,9,5,""
04,11,6,8,8,11,10,9,10,7,4,9,2,5,0,3,1,0,4,2,0,1,1,4,6,""
05,5,9,11,11,8,5,5,12,5,9,7,3,1,1,0,2,1,3,0,6,1,2,2,6,""
06,11,11,10,13,14,7,8,5,9,7,8,6,0,3,5,3,5,1,3,1,2,4,5,7,""
07,12,6,13,11,10,9,2,7,5,9,2,6,2,4,6,3,4,7,3,2,1,2,5,6,""
08,11,12,17,19,18,8,10,5,4,6,8,10,6,6,4,2,1,2,2,1,3,6,3,13,""
09,12,8,9,14,14,16,3,10,15,9,5,11,6,5,2,2,3,5,4,3,1,3,4,8,""
10,13,13,14,17,13,15,6,7,7,7,7,2,9,7,3,3,8,5,2,2,3,4,7,7,""
11,10,13,16,19,12,10,12,6,13,16,6,9,8,5,8,9,2,4,6,8,7,14,12,10,""
12,11,29,29,36,35,16,21,29,33,31,32,25,12,10,16,6,13,11,11,8,5,7,20,15,""
13,24,41,39,42,40,31,24,25,22,17,18,18,13,10,7,8,9,6,6,2,1,3,9,5,""
14,12,19,21,22,22,14,17,12,9,6,14,15,11,2,1,5,4,5,3,3,1,1,4,7,""
15,13,12,14,12,19,9,13,9,6,12,7,3,7,7,2,7,2,6,3,2,3,7,6,5,""
16,7,8,8,11,5,4,9,6,5,5,4,5,3,4,5,2,4,1,0,3,5,3,1,11,""
17,6,10,8,9,8,7,3,9,7,2,4,7,4,4,2,2,4,4,2,6,1,1,5,4,""
18,2,8,7,16,9,5,7,5,5,2,1,4,2,3,1,2,3,4,4,1,2,3,3,9,""
19,2,5,8,6,12,3,7,4,9,2,3,7,3,3,2,3,2,6,5,1,1,6,3,8,""
20,2,6,4,4,6,8,6,6,3,7,5,4,5,5,0,0,0,2,0,1,2,4,2,2,""
21,4,5,6,4,5,4,4,4,4,3,6,0,2,2,2,6,3,1,0,4,2,4,0,1,""
22,3,4,5,5,4,2,4,6,4,5,2,6,2,1,1,2,1,2,2,2,2,2,2,0,""
23,4,9,6,3,5,2,4,7,4,4,6,1,3,2,1,3,1,1,2,3,0,2,0,7,""
24,3,7,3,7,3,6,1,6,7,4,1,14,2,1,2,3,4,1,2,1,0,3,3,4,""
25,6,5,4,4,3,2,7,4,4,0,4,6,1,0,1,1,0,1,2,1,0,3,2,2,""
26,6,6,6,4,4,4,1,2,6,3,2,4,1,3,0,1,3,3,1,0,2,1,3,3,""
27,8,4,3,5,2,4,9,4,3,7,3,5,5,0,0,3,5,1,3,0,1,2,2,7,""
28,3,8,10,2,7,3,2,3,3,9,5,2,2,1,1,1,3,2,3,2,1,0,4,1,""
29,1,5,6,8,3,4,3,4,5,9,4,4,3,2,2,2,2,2,1,0,1,2,3,2,""
30,1,2,2,10,4,6,2,5,1,0,5,3,2,4,2,3,2,1,1,3,2,3,6,3,""
31,6,9,9,4,8,6,4,2,1,6,4,3,1,6,2,0,2,2,2,3,-1,-1,-1,-1,""
