sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,7,9,7,7,6,11,6,7,9,4,-1,1,8,8,12,7,10,7,3,8,9,10,7,4,""
02,11,11,8,6,4,7,16,12,12,13,11,9,6,6,10,5,8,7,8,7,7,12,10,9,""
03,9,5,5,6,8,6,5,11,4,10,5,9,2,5,3,10,6,3,3,5,3,1,13,6,""
04,7,9,3,9,6,2,7,6,7,5,10,11,11,6,7,6,6,3,1,2,4,4,5,3,""
05,5,2,4,8,4,3,6,5,5,7,2,2,4,2,2,8,10,11,3,-1,-1,1,2,2,""
06,2,-1,-1,-1,4,2,-1,6,8,6,4,4,1,-1,4,1,1,1,-1,1,2,13,14,6,""
07,1,1,6,-1,4,3,1,3,4,4,4,3,2,1,3,1,5,-1,2,-1,2,1,1,3,""
08,4,1,-1,1,-1,3,1,1,1,-1,1,1,1,-1,1,8,-1,9,-1,-1,1,1,3,3,""
09,3,1,5,1,-1,3,-1,3,-1,1,8,7,6,2,-1,-1,-1,2,-1,1,1,-1,4,5,""
10,16,6,4,6,2,3,2,6,9,3,5,-1,3,5,-1,4,-1,-1,1,9,-1,3,6,7,""
11,9,3,5,11,9,2,6,4,3,4,14,10,4,5,9,34,3,5,1,3,6,6,3,6,""
12,10,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,""
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,""
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,7,5,10,10,""
16,10,13,10,5,9,5,10,11,11,14,10,10,5,3,9,7,5,4,6,3,5,17,10,9,""
17,9,8,9,10,11,6,14,6,9,12,14,9,12,9,8,9,5,2,5,10,10,8,14,9,""
18,11,16,13,9,12,15,16,18,15,19,23,16,12,9,12,17,12,15,6,10,15,15,14,8,""
19,12,15,13,15,18,9,16,22,17,17,14,12,16,12,16,10,11,12,7,6,13,16,9,7,""
20,10,17,8,9,15,10,10,13,14,18,14,11,11,7,8,9,8,9,8,17,11,19,14,5,""
21,10,4,5,7,13,14,10,19,10,15,8,11,9,6,9,6,11,5,3,6,5,9,9,9,""
22,4,14,3,7,9,18,6,8,10,12,9,1,-1,3,8,8,10,4,9,5,6,10,8,10,""
23,7,6,9,7,13,13,22,12,16,14,15,6,17,14,9,8,9,14,6,6,5,15,11,9,""
24,11,12,9,12,9,15,16,14,11,13,13,6,9,4,9,5,7,9,7,5,6,6,11,9,""
25,14,13,9,7,11,11,12,22,12,14,12,16,9,12,12,3,6,5,9,10,5,11,7,13,""
26,8,11,4,9,11,11,13,17,17,14,12,14,8,8,5,6,6,4,3,8,7,6,14,7,""
27,10,9,5,-1,-1,9,5,13,15,9,10,29,16,16,10,13,7,8,3,9,5,-1,9,5,""
28,4,4,3,2,2,4,6,8,8,12,7,5,6,8,3,1,3,3,4,2,5,3,-1,3,""
29,2,3,2,2,-1,2,1,1,3,3,3,12,5,2,4,3,6,4,2,2,4,3,8,6,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
