dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,135,224,142,274,460,254,145,509,429,220,182,190,268,441,305,376,178,152,96,76,90,150,128,324,""
02,321,310,216,279,127,269,320,223,379,241,185,62,28,11,17,5,87,37,41,149,315,177,267,228,""
03,396,574,355,416,555,336,272,150,333,207,117,92,47,56,66,74,61,157,76,291,636,342,291,75,""
04,368,76,65,54,288,136,131,94,193,238,135,136,90,151,104,179,106,107,143,51,60,106,168,86,""
05,162,242,315,195,94,146,383,279,113,167,143,61,65,115,92,70,60,45,109,242,107,42,61,53,""
06,166,54,65,59,49,66,66,59,60,51,48,53,68,103,41,163,262,291,333,361,288,436,395,389,""
07,403,419,296,572,633,645,329,153,342,166,95,243,150,210,76,85,92,222,216,92,67,58,56,116,""
08,182,75,74,66,73,89,73,79,63,56,59,434,601,641,637,648,329,146,140,249,301,453,288,139,""
09,59,55,48,65,64,61,68,77,62,67,77,73,58,50,50,46,51,42,42,46,58,76,65,66,""
10,45,56,52,54,66,56,53,77,81,70,34,39,47,60,42,35,30,35,31,56,52,65,61,64,""
11,50,62,59,53,88,66,71,98,90,170,94,40,46,56,44,42,156,305,123,76,76,134,106,118,""
12,96,71,68,57,60,70,85,107,134,91,49,46,59,52,51,50,44,77,67,77,102,115,125,116,""
13,127,114,83,76,57,61,97,132,164,101,81,51,46,46,40,49,43,38,63,97,105,137,164,206,""
14,200,197,142,102,73,88,109,136,153,107,66,64,84,58,53,58,49,44,61,54,93,80,119,128,""
15,129,85,72,75,67,56,71,66,75,69,74,122,305,270,269,392,39,37,50,40,47,40,55,51,""
16,345,156,89,210,244,224,234,345,218,198,64,58,47,37,18,9,43,34,154,59,54,243,382,298,""
17,88,58,64,75,56,67,64,207,216,198,155,53,42,40,36,42,49,33,94,39,426,599,450,454,""
18,242,84,85,80,191,650,353,266,224,82,269,55,58,55,47,41,123,76,97,437,227,249,401,145,""
19,60,60,108,408,73,160,125,181,108,149,130,57,54,40,56,51,53,39,56,89,253,195,74,58,""
20,43,56,218,192,52,58,52,58,56,67,64,47,64,43,47,41,40,51,49,50,97,49,33,48,""
21,55,49,47,43,161,396,70,281,198,104,56,50,45,52,43,92,58,32,143,187,40,567,442,229,""
22,546,227,66,44,50,57,47,55,59,51,99,66,54,53,34,39,30,32,32,37,29,32,43,45,""
23,32,46,43,38,43,45,59,50,55,51,55,44,47,36,34,40,20,27,13,15,25,28,4,30,""
24,43,48,81,50,57,55,53,59,89,101,61,53,45,32,77,124,43,68,163,291,277,190,215,164,""
25,265,171,246,242,243,194,279,205,252,87,73,79,88,339,119,66,62,35,42,61,43,65,59,40,""
26,55,71,57,78,49,61,68,54,54,67,191,92,52,58,44,61,354,346,190,56,326,50,77,44,""
27,51,38,56,49,53,63,62,56,94,71,44,36,42,8,3,3,152,26,29,45,171,134,122,153,""
28,251,291,212,325,445,252,123,52,318,79,54,69,75,79,333,110,45,66,274,266,267,204,51,94,""
29,38,58,50,58,62,493,285,160,280,167,46,103,79,41,26,25,31,40,31,250,34,45,35,41,""
30,36,26,44,46,35,50,52,73,61,140,62,40,44,38,33,29,56,133,127,375,490,647,394,146,""
31,71,46,57,50,87,92,79,69,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,""
