jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,6,2,8,8,9,9,6,7,8,3,8,14,4,6,2,2,1,0,1,3,4,4,7,5,""
02,3,0,12,8,8,16,10,14,11,13,11,5,9,6,2,2,2,1,0,1,3,3,0,1,""
03,3,5,10,16,26,30,29,15,9,13,28,53,41,28,21,12,7,11,11,11,9,13,9,12,""
04,27,29,31,32,32,32,24,12,7,4,1,4,6,2,1,4,0,2,0,1,2,2,2,2,""
05,7,6,6,10,13,3,10,4,6,3,6,4,6,4,4,0,2,0,0,2,2,0,1,4,""
06,4,5,3,4,6,9,10,4,4,6,3,2,2,3,0,1,4,2,0,0,0,2,2,3,""
07,3,6,4,10,6,5,3,4,3,9,3,8,6,4,2,0,1,1,1,0,1,2,3,4,""
08,5,4,4,12,7,6,7,7,7,4,4,4,6,2,3,2,2,1,1,1,0,3,1,2,""
09,6,5,2,6,7,6,9,4,6,1,4,6,6,1,1,0,2,2,4,1,1,2,8,7,""
10,3,6,3,4,2,6,7,5,10,8,4,1,2,2,1,1,1,1,0,0,1,1,2,1,""
11,3,2,3,5,7,3,3,4,2,4,4,3,3,2,2,1,1,2,1,1,4,0,2,3,""
12,2,2,2,4,7,6,0,5,2,2,5,1,5,0,2,1,0,0,2,0,0,0,1,2,""
13,1,6,5,3,7,3,3,4,7,4,3,1,4,5,1,0,0,0,1,0,2,8,2,1,""
14,3,4,2,3,8,3,6,2,3,4,3,3,3,3,0,2,2,1,1,1,0,3,2,4,""
15,0,4,4,5,1,3,1,4,6,2,2,3,3,2,0,0,0,0,1,1,0,2,0,1,""
16,5,1,5,4,2,3,7,2,5,2,1,0,1,7,1,1,1,2,0,2,1,0,3,3,""
17,4,3,5,4,5,5,4,5,2,7,6,3,4,3,2,2,1,2,0,0,2,3,4,2,""
18,7,2,3,3,12,3,5,2,5,2,4,6,4,3,2,0,0,1,2,2,1,1,4,5,""
19,3,1,8,7,7,7,3,4,1,5,4,4,5,4,0,4,1,0,1,1,2,5,4,5,""
20,4,11,3,6,7,4,5,2,5,4,6,4,1,4,2,0,1,0,1,2,1,1,2,4,""
21,5,5,3,5,2,6,8,2,4,4,9,5,3,1,3,1,1,0,1,1,1,3,5,4,""
22,7,5,9,4,8,5,5,7,1,4,4,2,3,2,2,1,3,2,0,4,2,1,2,0,""
23,4,2,4,2,7,2,1,2,2,10,4,1,2,2,3,1,0,1,0,0,2,1,7,6,""
24,3,0,5,3,5,4,3,4,4,6,13,3,4,1,1,1,1,0,0,1,1,1,2,2,""
25,1,5,4,2,6,4,3,0,0,2,3,2,5,4,5,1,0,0,2,3,1,5,2,6,""
26,4,1,5,4,7,1,7,5,3,5,9,5,6,1,0,4,0,2,0,0,1,1,1,2,""
27,2,4,4,5,3,2,4,6,5,1,3,3,5,5,0,1,1,1,1,1,1,1,2,1,""
28,0,2,6,5,4,4,3,4,3,3,5,2,1,0,1,0,0,0,0,0,0,1,2,1,""
29,2,4,2,6,3,4,2,2,3,6,1,1,1,0,0,2,0,0,0,1,1,1,1,1,""
30,3,3,1,3,5,3,4,7,2,3,3,3,2,0,0,0,0,0,1,0,1,2,5,2,""
31,3,5,3,2,9,7,5,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
