feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
12,-1,-1,-1,11,8,7,10,20,13,14,11,18,14,21,9,14,18,11,29,12,12,-1,-1,0,""
13,11,12,16,18,26,16,5,15,42,33,28,32,18,19,17,41,75,41,47,42,41,43,27,-1,""
14,15,22,16,21,32,38,29,36,52,49,36,23,26,40,37,31,31,42,59,33,37,24,28,11,""
15,12,19,25,28,32,18,24,13,23,28,22,19,-1,8,30,27,21,26,16,26,25,18,21,6,""
16,6,7,6,25,16,17,28,33,61,56,58,79,41,53,24,41,58,48,98,48,48,31,24,22,""
17,16,15,9,12,47,38,4,33,59,50,57,49,22,45,-1,-1,-1,-1,-1,-1,-1,-1,1,10,""
18,13,13,12,17,11,17,9,8,16,23,11,8,12,7,8,14,19,10,12,31,31,20,27,15,""
19,20,10,21,24,36,20,28,28,29,18,8,21,5,3,1,2,1,3,5,7,8,9,4,2,""
20,19,7,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
21,-1,0,12,31,28,21,22,32,55,50,50,49,43,33,37,36,44,39,37,-1,11,110,54,70,""
22,120,134,133,117,124,213,223,235,252,296,322,252,1,181,149,56,200,148,139,93,97,102,78,77,""
23,68,56,85,109,133,140,122,141,110,45,53,69,75,86,77,87,163,190,183,161,132,106,90,59,""
24,60,70,89,38,36,44,44,41,41,43,65,75,74,76,84,71,78,56,62,48,41,24,21,22,""
25,10,19,28,33,31,43,43,49,46,45,51,60,60,71,56,58,69,57,34,32,24,16,14,13,""
26,20,9,23,23,26,29,35,24,34,46,37,60,57,45,51,52,38,44,47,26,27,20,15,13,""
27,9,11,14,19,31,32,35,23,27,35,33,49,53,66,60,58,76,59,50,28,32,34,25,12,""
28,20,15,20,23,30,38,31,26,40,42,43,52,56,58,77,65,94,242,207,164,120,23,101,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
