apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,174,147,117,198,170,247,102,10,27,105,137,237,206,123,172,123,178,230,62,117,50,92,107,108,""
02,96,111,111,158,273,254,220,88,89,76,102,167,142,253,209,141,54,186,184,203,218,85,100,96,""
03,99,93,144,183,241,174,141,74,8,81,85,214,183,117,152,163,198,172,156,157,189,90,104,108,""
04,100,101,100,196,135,115,131,107,143,128,165,112,152,126,122,217,183,175,202,170,233,92,132,142,""
05,93,128,118,5,2,87,224,200,124,53,9,18,-1,9,3,7,220,115,286,291,283,122,102,118,""
06,111,122,113,51,25,92,6,76,99,75,-1,-1,11,50,34,52,89,214,209,197,170,73,94,84,""
07,89,89,106,239,286,244,263,207,167,246,151,226,254,88,14,-1,-1,33,33,78,-1,81,109,119,""
08,92,102,92,112,31,21,9,-1,-1,29,5,35,45,70,58,128,281,248,237,241,293,116,112,125,""
09,112,120,188,199,208,230,255,246,176,245,221,236,216,214,221,193,217,266,246,294,238,101,102,92,""
10,106,64,108,133,144,273,275,207,31,56,63,201,172,222,267,89,77,178,179,102,186,110,92,92,""
11,80,79,120,194,241,239,134,17,20,57,7,6,-1,-1,13,-1,29,75,98,210,235,94,115,113,""
12,139,121,97,-1,-1,-1,-1,-1,6,-1,-1,41,236,164,151,105,262,209,255,219,178,97,90,86,""
13,99,98,102,-1,5,44,180,113,212,104,183,187,89,184,121,37,110,130,269,158,199,88,114,78,""
14,90,99,85,99,80,196,212,146,204,129,232,172,174,147,225,36,165,191,158,208,214,97,81,94,""
15,77,92,117,166,159,109,33,26,100,185,178,245,233,268,255,221,258,182,287,235,310,89,84,85,""
16,92,82,93,164,153,190,73,13,6,9,-1,22,142,101,40,40,2,13,-1,-1,-1,137,135,161,""
17,119,140,60,7,6,23,11,-1,-1,-1,-1,25,2,1,-1,2,2,14,-1,-1,10,105,116,115,""
18,124,133,64,3,7,-1,-1,-1,7,-1,-1,2,-1,-1,-1,9,1,160,-1,39,91,99,98,84,""
19,82,69,84,116,105,188,162,117,104,68,196,192,201,242,61,256,209,132,205,252,222,91,90,84,""
20,80,71,91,234,250,270,246,216,233,221,106,192,209,169,3,-1,13,165,212,229,255,81,93,91,""
21,124,77,159,57,249,255,101,25,26,123,122,239,213,272,276,207,143,174,170,69,51,106,97,108,""
22,95,104,164,275,178,259,176,108,225,226,41,150,193,195,160,210,142,-1,-1,-1,-1,-1,-1,-1,""
23,84,86,129,128,133,182,219,304,220,247,230,240,206,224,211,226,107,198,260,128,219,107,91,105,""
24,101,114,143,161,147,213,272,275,41,20,-1,8,42,106,48,6,-1,31,12,1,-1,87,107,124,""
25,97,97,43,5,46,57,80,-1,-1,-1,4,-1,16,27,7,4,11,67,14,129,3,83,101,104,""
26,122,135,124,98,45,65,138,5,22,59,101,113,221,166,170,67,133,197,274,285,270,97,76,104,""
27,95,89,108,290,225,199,260,258,206,147,51,-1,48,40,-1,-1,54,221,254,268,261,96,92,92,""
28,86,76,118,83,87,92,114,101,82,107,98,179,180,270,226,76,240,254,265,233,278,79,84,96,""
29,102,102,185,277,284,276,273,253,193,230,125,239,145,-1,240,243,232,202,186,188,235,91,87,80,""
30,90,89,137,123,135,211,214,237,241,259,144,192,127,126,206,306,265,204,242,245,280,91,98,98,""
