jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,39,43,38,42,43,60,50,84,72,74,70,92,103,80,83,129,111,95,89,46,31,28,27,44,""
02,74,38,58,64,60,56,93,90,74,73,91,-1,-1,49,121,153,151,106,70,53,46,32,46,45,""
03,56,41,41,48,50,71,79,90,100,79,79,87,73,65,90,107,107,112,83,63,51,52,58,67,""
04,46,61,62,52,73,75,70,84,85,85,77,89,74,124,190,201,152,168,91,48,52,26,29,36,""
05,40,37,38,41,56,49,68,64,95,76,87,89,80,98,122,172,180,131,97,86,49,31,43,50,""
06,42,51,59,38,49,49,75,66,72,77,72,96,88,98,136,166,162,143,96,76,43,35,55,65,""
07,48,47,49,61,61,33,62,69,69,78,87,100,121,122,140,146,141,161,102,79,59,41,42,49,""
08,47,41,44,31,35,52,47,51,53,58,73,87,119,131,109,130,167,139,122,57,46,39,60,48,""
09,48,50,43,33,55,52,78,83,71,69,88,144,122,176,229,239,250,200,115,81,47,44,50,74,""
10,52,46,47,63,68,86,109,110,107,140,145,162,190,154,202,213,216,192,134,114,81,70,88,76,""
11,71,69,66,54,78,92,94,115,136,143,155,185,185,183,171,286,248,182,120,102,61,54,66,88,""
12,68,53,51,59,57,77,92,99,138,148,141,181,177,171,179,146,183,178,145,62,59,67,100,92,""
13,65,76,72,79,102,83,98,138,157,164,189,223,225,218,187,243,208,194,149,86,68,60,72,90,""
14,63,86,55,60,74,82,118,135,126,137,149,173,174,243,246,229,218,202,147,157,133,73,56,71,""
15,75,79,66,48,74,93,86,106,128,135,151,172,183,195,199,165,181,150,123,100,79,75,74,86,""
16,50,50,53,56,73,74,115,130,124,130,144,151,148,206,162,184,238,198,158,95,88,59,51,73,""
17,84,45,82,70,61,96,104,113,126,162,140,148,171,224,241,222,251,196,139,105,76,53,56,81,""
18,59,79,57,68,67,75,103,97,102,120,110,125,106,135,143,111,149,128,83,58,46,47,50,50,""
19,52,52,48,54,74,60,44,71,85,77,101,136,134,151,131,141,99,88,65,46,50,38,29,42,""
20,54,53,64,51,75,83,98,96,103,119,128,127,139,135,129,118,113,95,82,47,26,39,60,41,""
21,55,42,69,63,68,86,122,104,78,90,134,134,165,168,142,141,153,126,105,70,50,32,41,44,""
22,43,59,79,64,87,75,88,122,131,132,137,152,146,147,113,149,143,114,83,56,59,66,75,62,""
23,52,83,71,61,86,91,99,111,121,113,104,137,149,139,119,191,159,142,108,115,81,65,49,65,""
24,65,81,71,47,75,64,134,93,112,145,114,178,165,159,143,187,172,169,156,130,90,71,71,62,""
25,63,58,58,66,73,80,87,122,111,101,117,100,93,102,101,127,129,54,0,0,0,0,0,0,""
26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,""
27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,59,66,""
28,53,57,44,73,65,72,104,111,100,91,105,127,115,111,120,155,137,118,77,57,44,40,39,43,""
29,45,35,43,46,55,51,80,97,99,74,94,110,110,102,118,134,104,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
