aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
05,-1,-1,-1,-1,-1,-1,-1,8,11,7,3,5,4,3,4,4,4,3,1,0,2,0,6,3,""
06,3,3,7,16,12,6,7,4,4,6,3,6,6,3,4,1,3,1,3,3,2,2,6,4,""
07,7,6,7,8,11,12,5,16,6,7,2,3,3,6,3,1,3,2,1,8,4,4,6,2,""
08,3,11,4,7,11,10,7,16,6,7,6,4,5,1,6,3,5,3,3,2,5,3,8,11,""
09,7,10,6,14,14,13,9,11,7,10,7,4,7,3,1,5,1,2,2,6,3,1,2,7,""
10,10,11,11,8,15,11,16,13,18,1,9,8,4,3,5,5,4,3,2,2,5,12,10,6,""
11,8,10,12,15,17,19,17,13,4,4,6,7,5,2,12,8,1,4,3,4,1,4,5,7,""
12,19,19,14,17,36,26,22,20,13,6,12,5,7,6,9,2,7,4,7,8,8,13,8,12,""
13,15,14,23,31,27,31,40,29,20,17,15,14,11,9,4,8,5,5,5,4,4,5,3,12,""
14,9,9,7,13,10,13,10,11,13,8,7,3,5,4,5,4,3,4,9,6,3,5,5,9,""
15,9,13,11,6,12,13,14,9,9,6,5,4,5,1,3,3,1,5,2,3,4,5,5,8,""
16,8,8,6,11,6,2,9,5,3,1,7,5,4,4,4,7,1,8,6,4,5,3,4,6,""
17,3,6,5,8,8,15,4,7,9,4,5,2,4,4,4,4,5,3,4,6,2,3,4,8,""
18,2,2,3,9,9,3,4,3,4,4,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
