sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,5,3,3,7,6,0,0,2,4,1,2,3,0,0,0,1,3,2,2,3,3,2,0,5,""
02,4,3,2,0,5,1,8,0,3,2,0,2,1,1,1,2,2,0,2,3,1,3,1,3,""
03,5,8,6,8,5,4,1,3,5,3,0,1,1,0,0,1,1,4,2,4,5,3,3,4,""
04,3,5,6,7,2,2,1,2,5,2,3,2,2,5,-1,1,3,0,0,1,1,6,2,0,""
05,3,7,7,4,7,4,5,2,2,8,7,3,0,1,2,1,1,3,1,2,3,6,2,3,""
06,4,2,2,4,5,3,0,2,1,0,0,0,0,2,0,2,1,-1,2,5,4,0,1,0,""
07,7,0,7,6,8,1,1,3,3,1,1,2,1,0,4,1,1,1,1,0,4,0,4,2,""
08,1,3,5,1,2,2,6,6,0,3,2,1,1,0,0,1,2,0,0,1,2,2,4,1,""
09,6,5,2,7,4,3,1,3,2,0,0,1,0,1,0,1,0,5,1,1,3,5,0,5,""
10,3,1,4,7,6,1,2,3,2,0,1,1,0,0,1,2,1,0,1,1,2,6,3,3,""
11,5,4,3,2,3,1,1,2,1,2,3,1,0,1,5,3,2,3,0,1,5,5,2,2,""
12,1,3,7,5,3,0,3,3,0,1,1,0,0,3,1,1,3,1,1,1,0,0,2,0,""
13,2,4,4,7,8,1,1,0,4,6,2,1,1,0,1,1,3,0,1,1,0,1,5,0,""
14,0,0,0,2,0,0,3,2,1,0,0,1,0,1,2,2,3,0,1,0,0,1,3,1,""
15,2,2,6,5,5,2,1,2,1,0,1,0,0,0,0,0,0,5,2,0,2,3,0,1,""
16,3,1,2,2,2,2,3,5,0,3,1,1,0,1,2,0,1,1,3,1,1,6,0,1,""
17,4,2,3,2,3,2,2,1,1,0,1,0,0,2,0,3,2,0,0,4,0,3,2,3,""
18,5,4,4,1,6,3,3,1,2,1,0,0,0,6,2,3,1,2,1,0,1,4,3,0,""
19,2,5,2,3,1,4,1,2,2,2,1,2,0,0,2,3,2,6,0,1,1,0,4,0,""
20,6,4,1,2,1,0,1,4,3,1,2,0,2,1,0,3,3,2,1,4,2,3,0,3,""
21,3,0,4,2,3,1,4,3,4,0,3,5,6,3,9,4,3,5,3,3,8,9,16,12,""
22,11,20,29,21,13,20,15,5,9,6,8,5,6,12,5,8,0,6,0,7,8,12,11,8,""
23,15,22,24,9,13,4,5,9,5,3,6,9,4,4,4,2,5,4,4,11,13,18,14,14,""
24,24,18,21,22,14,18,9,7,13,11,11,11,9,8,3,5,1,9,8,7,14,14,14,13,""
25,16,22,21,12,15,6,7,13,10,3,-1,7,5,7,4,1,5,1,6,10,9,11,12,27,""
26,15,26,19,17,23,16,7,14,8,5,8,-1,6,5,5,5,3,4,4,7,10,19,14,14,""
27,24,28,31,21,26,15,9,11,12,5,5,2,6,6,10,7,8,4,10,3,3,4,11,19,""
28,10,10,18,20,14,16,7,15,9,19,2,4,2,0,4,-1,12,4,1,4,7,7,8,13,""
29,10,12,23,18,20,13,9,13,10,5,9,7,9,6,5,9,0,2,8,18,14,12,15,7,""
30,19,14,25,19,26,15,10,8,11,9,8,7,7,5,8,7,4,5,9,10,8,8,18,14,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
