nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,41,31,28,36,43,42,30,27,27,38,29,55,21,20,13,8,15,10,18,19,22,25,25,25,""
02,26,22,35,36,32,27,34,35,40,37,35,23,37,25,12,16,14,18,15,19,29,24,30,27,""
03,20,25,15,22,29,37,27,24,42,33,26,26,23,10,13,15,13,9,10,21,37,38,30,22,""
04,38,34,31,40,24,37,47,28,48,31,34,46,26,27,18,24,24,24,19,38,34,35,45,44,""
05,39,45,31,54,39,54,47,44,52,57,52,43,41,37,26,20,28,15,22,29,34,42,43,43,""
06,24,38,29,41,39,37,53,36,50,35,42,34,24,26,14,20,21,25,21,41,35,47,44,38,""
07,35,34,36,40,34,36,36,40,32,30,23,25,28,28,26,14,20,22,21,36,40,44,43,27,""
08,26,31,40,30,28,54,40,44,27,30,37,29,22,16,20,20,12,18,29,25,25,26,42,29,""
09,18,23,28,33,44,41,38,43,64,31,33,31,37,28,28,28,24,26,32,32,27,38,41,33,""
10,44,33,51,46,41,40,38,51,41,40,42,45,36,3,0,0,0,0,0,38,38,43,54,33,""
11,31,48,31,51,44,35,44,29,25,35,59,39,39,25,30,22,27,30,32,34,34,27,37,27,""
12,20,33,31,46,43,37,43,35,52,41,45,41,28,36,25,33,19,19,30,31,33,26,34,23,""
13,23,17,43,44,47,34,48,56,50,47,40,34,34,22,25,21,32,21,28,36,42,36,52,32,""
14,34,58,47,50,31,54,47,60,58,46,52,32,36,31,15,23,21,17,25,28,31,27,32,33,""
15,33,31,47,40,26,28,44,51,59,57,44,33,42,28,13,22,16,25,28,39,24,27,29,24,""
16,31,31,42,33,51,43,35,45,38,36,44,35,39,28,24,27,28,22,26,26,34,41,43,31,""
17,25,36,34,42,35,46,57,51,39,37,38,51,42,25,25,26,20,25,22,36,41,35,26,35,""
18,20,36,39,48,43,57,34,31,52,39,31,35,30,26,20,14,25,22,25,26,27,31,38,24,""
19,25,29,35,33,49,53,50,33,48,38,38,48,34,29,20,26,15,12,28,23,34,32,33,33,""
20,36,35,26,32,39,60,56,45,30,39,53,29,26,30,22,18,13,22,19,29,31,31,33,31,""
21,31,36,35,36,43,27,48,48,44,39,39,31,20,23,25,30,18,20,28,31,36,30,35,39,""
22,17,30,37,39,32,46,47,41,34,34,35,42,48,9,7,0,13,11,20,27,39,34,29,25,""
23,21,14,30,31,40,29,39,36,38,34,26,30,20,19,19,19,12,30,32,25,27,32,24,23,""
24,29,14,20,29,36,34,35,33,32,33,20,25,32,17,20,30,10,19,9,23,38,26,30,49,""
25,21,17,27,21,35,29,25,32,28,25,22,38,27,20,18,11,11,10,21,22,22,27,24,27,""
26,17,21,22,22,32,29,31,36,39,34,30,29,28,21,13,17,20,15,16,14,25,21,26,22,""
27,19,29,22,37,32,40,39,51,30,28,23,31,32,12,17,14,17,7,15,27,30,27,31,27,""
28,24,14,23,26,29,24,15,33,26,29,25,31,30,18,20,37,13,34,14,17,27,21,18,21,""
29,23,20,27,28,34,33,41,37,35,23,30,38,16,21,18,12,10,19,12,20,27,22,23,27,""
30,20,28,25,29,24,33,30,35,60,23,38,24,21,17,12,15,26,19,20,17,24,21,27,17,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
