dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,55,40,47
3,46,58,73,54,60,59,62,57,31,47,41,44,38,45,25,38,30,39,30,42,39,45,52,56
4,51,44,49,56,44,51,61,60,37,53,58,65,39,48,41,35,35,44,36,37,40,48,49,70
5,61,50,54,59,64,86,92,66,56,44,62,60,56,55,43,36,38,50,49,49,43,41,52,56
6,57,59,59,57,99,90,74,65,51,56,47,52,61,59,42,29,28,38,47,51,37,55,47,54
7,47,47,53,61,65,76,66,37,69,57,32,43,56,49,43,31,29,31,46,45,45,54,47,54
8,63,50,60,73,81,79,79,56,47,53,56,54,57,47,35,49,25,30,42,44,42,53,45,56
9,49,55,63,61,54,63,69,56,41,57,48,42,55,52,42,40,42,40,65,44,57,61,58,80
10,70,55,69,63,81,86,107,80,56,65,67,45,55,49,44,42,39,47,68,72,80,86,85,95
11,88,91,90,83,112,133,140,116,96,62,55,50,37,53,56,32,30,47,62,67,78,90,96,97
12,87,103,93,96,131,174,138,131,100,78,71,51,51,37,32,28,58,60,81,120,122,145,134,176
13,162,174,212,205,226,215,190,174,134,70,66,63,54,34,45,42,55,64,81,103,116,110,111,121
14,118,120,78,90,89,103,86,76,69,65,50,53,47,54,37,40,36,31,30,38,45,47,48,42
15,57,46,64,50,70,73,78,58,68,47,47,36,59,36,42,44,33,30,34,41,39,44,52,58
16,61,64,65,52,68,60,59,85,77,64,42,40,41,34,32,22,26,30,37,35,36,44,50,49
17,51,64,53,58,67,55,61,65,53,59,63,53,48,38,43,41,37,35,44,45,44,45,55,44
18,59,73,61,64,86,85,72,66,66,60,42,54,39,48,33,31,31,38,37,33,49,48,58,62
19,80,71,61,65,64,61,46,56,53,50,55,55,58,48,57,45,40,33,44,61,48,58,61,62
20,60,70,80,88,115,96,78,77,84,78,59,65,70,58,56,46,46,32,37,52,42,44,54,67
21,60,71,78,71,77,72,85,87,93,87,69,67,67,60,52,46,34,46,50,58,60,62,77,100
22,84,65,90,87,83,110,98,86,88,82,84,74,52,72,43,51,52,38,31,36,55,42,55,59
23,57,67,66,73,80,81,69,82,81,70,71,59,52,47,53,55,37,49,44,43,64,55,65,61
24,67,72,64,73,88,72,74,76,86,98,68,73,50,42,45,43,26,35,34,41,47,43,48,58
25,68,76,57,64,66,69,76,67,58,67,58,73,59,45,56,41,40,25,31,50,49,60,56,46
26,65,60,59,53,59,70,65,57,75,64,64,58,57,59,37,50,23,31,37,45,41,50,56,51
27,86,75,58,82,71,107,76,86,86,81,56,69,68,58,59,50,35,48,31,56,56,55,59,65
28,71,61,88,89,71,107,94,89,78,84,84,79,77,60,51,44,41,36,35,47,38,69,65,63
29,73,81,82,85,80,94,87,72,79,87,66,75,74,56,51,48,40,40,48,46,56,71,42,59
30,72,71,66,94,90,92,81,87,80,85,81,89,63,65,58,49,35,43,42,51,52,68,55,8
