dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,9,7,10,7,7,3,3,2,4,4,2,3,7,5,8,3,12,9,11,18,11,8,9,4,""
02,13,6,9,4,8,8,5,1,1,1,1,7,7,7,6,10,9,18,12,9,14,22,19,15,""
03,13,12,-1,-1,-1,-1,-1,-1,-1,6,6,7,2,13,12,8,10,12,13,23,21,24,14,16,""
04,10,14,9,15,9,7,4,2,5,1,3,10,4,8,5,9,5,10,14,9,12,12,13,16,""
05,15,13,12,12,5,6,7,-1,-1,-1,3,6,10,11,20,16,14,13,13,22,24,21,28,17,""
06,19,16,14,8,7,14,5,5,3,6,8,8,6,5,5,11,16,10,27,19,15,18,32,22,""
07,18,11,14,5,7,5,9,3,9,3,3,6,8,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
08,-1,-1,-1,0,5,3,4,4,2,3,7,8,11,12,5,12,15,10,12,19,10,13,20,16,""
09,16,13,15,16,9,5,5,2,4,7,8,11,6,10,11,7,5,8,19,15,17,14,15,21,""
10,16,9,11,15,6,5,9,3,3,4,6,10,10,7,12,10,8,12,17,17,20,17,19,14,""
11,16,18,12,10,4,4,1,4,0,7,6,13,11,11,11,18,8,16,14,13,23,14,36,16,""
12,17,6,12,13,7,1,2,5,6,3,8,19,14,19,17,11,10,16,16,25,41,37,30,14,""
13,11,13,10,7,12,6,5,1,3,2,10,14,27,31,28,25,10,19,22,51,67,60,54,33,""
14,12,7,8,7,11,4,5,3,6,6,27,36,33,33,64,51,23,43,56,60,38,31,36,20,""
15,20,11,12,8,5,7,3,3,6,4,17,16,17,11,19,15,23,9,11,16,18,22,27,12,""
16,16,9,14,2,5,5,3,0,1,1,1,4,4,12,12,4,6,11,7,8,13,15,18,24,""
17,14,6,10,11,4,2,2,2,6,3,5,6,5,10,10,11,16,19,15,13,22,10,17,16,""
18,10,21,16,15,-1,-1,-1,-1,-1,2,2,6,8,11,9,18,11,6,22,13,17,16,22,21,""
19,14,12,14,12,6,4,4,3,2,4,1,10,8,9,11,16,17,14,8,4,13,6,13,9,""
20,10,12,15,3,9,5,0,7,5,1,3,2,1,6,6,5,6,10,13,5,9,7,12,7,""
21,7,14,19,9,13,5,10,12,8,4,8,6,6,6,7,8,6,10,19,11,9,10,10,31,""
22,15,16,10,9,9,4,2,6,3,6,3,2,8,9,7,13,5,8,8,13,13,21,21,35,""
23,27,15,15,8,6,3,5,1,1,3,1,9,8,10,10,7,9,11,8,11,16,17,17,15,""
24,14,14,15,9,13,9,5,3,2,4,4,9,6,13,8,3,15,9,7,14,14,10,9,19,""
25,15,19,11,10,5,9,6,3,2,1,1,5,3,3,3,3,2,2,13,7,12,5,8,14,""
26,12,4,4,3,7,2,3,3,3,4,4,3,4,3,4,2,5,7,4,12,8,17,11,10,""
27,14,9,8,13,5,5,2,1,4,2,3,5,6,2,4,5,8,4,6,9,13,14,10,12,""
28,16,8,14,7,5,8,2,4,2,1,6,2,8,2,3,7,11,5,12,9,5,12,6,13,""
29,10,11,15,10,7,2,2,2,2,3,2,2,3,5,4,6,5,10,7,8,8,7,16,15,""
30,11,14,13,7,9,3,4,2,1,4,2,2,5,4,2,3,5,11,15,7,9,13,12,8,""
31,7,7,8,4,131,146,8,3,4,4,6,2,157,2,11,6,11,19,7,61,50,8,18,-1,""
