jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,35,23,38,29,35,61,45,64,70,84,98,75,84,88,72,55,41,31,28,42,36,23,11,11,""
02,18,15,30,29,25,35,41,43,56,73,108,92,127,112,116,90,59,106,82,39,18,29,30,30,""
03,19,24,13,18,26,24,29,36,47,71,84,72,94,100,131,145,129,127,91,76,44,49,33,24,""
04,22,24,32,50,61,94,99,97,109,137,113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,36,""
05,36,46,37,45,50,47,55,62,97,103,111,108,95,74,61,66,79,72,47,29,21,13,11,16,""
06,9,12,17,6,10,19,21,36,41,37,46,59,59,54,66,55,65,90,67,57,50,45,33,20,""
07,25,14,20,30,20,27,30,47,53,55,54,62,67,66,70,74,38,28,25,15,9,3,16,7,""
08,15,12,18,9,12,9,7,22,13,23,20,17,17,16,17,32,24,35,17,18,26,26,9,21,""
09,13,18,18,9,27,15,26,33,41,38,63,56,53,59,73,64,66,72,68,57,25,25,19,28,""
10,19,20,23,34,33,34,31,32,36,39,58,51,61,60,66,60,64,49,51,41,38,16,66,25,""
11,8,16,20,8,21,17,29,35,47,50,53,40,56,59,76,91,70,88,56,45,31,28,13,18,""
12,24,17,29,39,30,44,42,48,76,95,111,95,91,91,86,107,105,110,86,82,55,37,41,47,""
13,31,49,51,38,49,55,43,80,67,88,99,87,75,68,85,105,77,56,56,43,19,15,10,12,""
14,8,11,6,11,19,19,26,31,42,43,29,48,46,60,80,129,132,120,90,90,53,59,53,35,""
15,37,28,41,40,39,54,-1,-1,-1,-1,-1,-1,102,102,129,128,128,129,112,93,72,61,36,46,""
16,34,20,41,45,30,26,30,47,58,59,93,91,98,102,91,108,94,96,52,21,13,11,7,9,""
17,3,6,10,7,9,9,15,13,19,25,27,29,20,23,28,24,19,18,17,19,8,4,5,4,""
18,2,2,14,13,10,14,25,31,35,62,50,60,55,62,71,89,114,113,75,54,13,3,4,14,""
19,13,36,90,35,42,37,47,55,69,92,105,85,89,77,82,87,91,101,87,53,49,37,40,35,""
20,28,21,24,34,29,41,36,51,55,76,70,71,54,64,49,65,70,55,54,48,53,23,29,21,""
21,23,22,20,21,16,23,22,27,34,41,51,48,41,46,54,62,69,56,47,46,27,25,24,34,""
22,23,24,26,36,28,43,31,53,75,80,81,72,89,94,107,112,114,75,83,58,46,41,29,23,""
23,30,29,41,32,28,28,30,27,34,37,53,43,41,33,59,54,71,49,44,44,47,39,28,33,""
24,21,25,34,28,25,41,43,67,66,98,100,80,99,76,62,65,70,64,79,88,65,57,38,31,""
25,21,20,24,25,19,34,22,25,43,54,57,61,48,49,72,57,48,41,31,26,24,25,18,25,""
26,26,22,17,24,30,19,21,22,24,32,43,34,25,34,50,31,35,35,33,24,20,29,17,19,""
27,14,13,10,12,22,37,30,31,32,51,74,91,87,82,71,93,77,69,62,57,50,35,31,20,""
28,13,8,12,21,22,24,26,24,46,38,40,38,49,46,42,46,49,34,36,29,29,12,9,8,""
29,15,10,16,17,17,11,19,25,-1,-1,37,32,37,36,18,33,25,18,19,13,9,9,5,11,""
30,25,27,23,37,35,42,53,52,66,96,89,97,85,95,84,85,100,82,68,77,61,31,16,21,""
31,14,16,14,25,29,26,25,22,27,29,38,25,24,52,19,22,15,8,10,8,1,3,6,6,""
