mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,37,30,30,35,42,36,48,34,49,38,40,37,59,31,24,22,18,14,12,18,23,20,29,40,""
02,26,29,28,37,48,33,52,46,33,31,37,13,30,28,19,8,12,16,23,15,26,22,26,31,""
03,32,34,35,23,33,38,44,33,39,30,25,32,31,26,13,11,13,8,14,15,15,18,17,21,""
04,34,39,25,26,32,28,49,30,35,25,40,52,29,43,18,14,20,12,20,12,14,18,29,28,""
05,32,15,24,35,31,35,38,39,48,46,25,28,38,39,20,10,14,10,29,13,22,19,30,37,""
06,31,37,27,30,35,1,7,3,4,0,17,49,38,25,29,13,11,17,12,11,22,29,28,29,""
07,34,21,0,0,0,0,25,5,1,39,47,51,54,42,20,24,15,3,19,14,28,16,32,39,""
08,41,39,34,35,29,38,43,48,46,52,54,58,67,59,50,29,22,19,19,20,25,28,31,40,""
09,58,38,42,38,37,45,51,59,52,51,42,42,36,23,20,14,13,8,30,10,19,28,25,30,""
10,37,37,37,27,31,28,39,45,47,42,47,62,22,25,17,21,11,9,13,16,18,23,31,32,""
11,27,46,41,28,36,37,37,33,57,54,50,41,39,20,27,17,26,15,18,14,14,32,37,40,""
12,35,39,43,34,36,28,31,44,57,38,40,31,35,37,19,15,16,23,16,13,17,26,40,49,""
13,37,25,29,18,30,44,40,36,52,32,45,46,35,35,30,26,14,6,11,19,24,25,31,37,""
14,34,33,31,31,38,36,44,51,41,59,53,55,91,27,19,21,9,11,18,19,18,28,40,35,""
15,33,41,41,25,37,41,46,36,57,66,44,39,49,19,32,13,10,12,30,88,62,70,20,32,""
16,19,17,33,16,29,29,40,29,32,34,30,26,27,18,13,18,6,9,8,13,19,13,18,28,""
17,60,58,55,55,43,54,57,39,48,48,42,54,47,53,28,25,20,11,23,17,31,28,31,31,""
18,42,39,47,45,41,67,59,76,67,58,40,48,55,81,50,22,9,8,10,10,22,21,21,29,""
19,36,49,39,36,29,46,36,51,37,46,41,47,33,28,25,20,10,18,4,25,20,21,31,19,""
20,33,14,27,17,28,29,36,34,79,50,38,0,0,0,0,0,0,3,8,17,25,8,6,25,""
21,34,42,33,37,33,41,32,49,35,36,40,33,49,28,21,18,15,11,18,20,12,30,32,44,""
22,37,24,27,26,33,43,32,46,52,46,44,38,21,18,10,14,5,4,1,8,12,16,20,2,""
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,14,15,20,""
24,23,29,26,24,18,46,29,37,49,40,38,34,30,27,18,10,12,13,11,6,10,18,21,32,""
25,34,32,35,29,28,38,44,49,42,41,41,41,50,31,16,12,7,12,21,17,12,16,15,24,""
26,21,25,26,23,18,28,55,32,26,29,42,39,28,22,25,13,19,17,30,20,24,26,51,30,""
27,28,32,31,29,28,30,44,37,47,56,29,45,42,35,23,14,14,22,14,23,16,26,35,43,""
28,39,50,53,43,35,29,50,38,55,55,55,56,37,28,27,20,15,16,11,25,10,21,20,30,""
29,18,28,26,28,27,48,49,56,51,56,54,51,50,24,23,17,22,17,16,12,14,15,34,31,""
30,44,39,38,39,37,38,46,54,70,60,43,41,33,30,16,25,17,21,20,20,16,22,40,36,""
31,21,37,46,34,47,45,52,57,41,43,50,54,46,41,50,23,18,16,26,21,24,48,61,54,""
