apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,0,0,23,31,20,11,9,10,7,17,26,13,25,26,43,43,44,26,""
02,20,19,32,36,52,24,59,52,47,40,13,9,9,8,9,18,15,20,28,24,34,51,45,13,""
03,15,13,37,44,51,34,59,50,39,33,15,15,11,10,8,11,13,13,18,25,32,34,25,11,""
04,12,11,11,18,37,44,43,47,25,18,12,17,25,12,17,15,15,18,15,22,37,43,63,39,""
05,16,15,12,15,9,27,44,47,26,21,28,20,13,6,14,15,13,16,20,30,33,25,14,13,""
06,9,13,13,7,8,36,55,57,35,36,20,13,12,9,12,11,12,14,22,25,49,48,40,0,""
07,1,13,43,65,66,55,71,42,59,28,21,15,9,11,9,8,12,18,16,25,36,37,29,21,""
08,18,24,28,39,56,44,52,45,47,30,23,11,8,15,9,13,12,18,20,25,28,38,26,21,""
09,18,25,26,41,73,43,47,46,37,36,15,16,12,19,19,12,22,23,19,20,32,47,39,21,""
10,17,21,36,44,20,51,46,54,35,34,23,21,12,11,15,8,18,17,18,34,35,44,40,28,""
11,28,19,15,39,82,52,52,58,35,43,40,29,15,14,13,12,38,205,37,28,48,47,65,46,""
12,18,13,19,15,57,61,60,65,45,36,33,14,12,11,18,26,19,18,22,28,43,62,48,24,""
13,33,21,35,73,77,59,61,46,41,39,36,23,10,17,6,29,23,15,15,26,39,44,43,68,""
14,19,19,32,48,58,48,50,56,50,26,21,21,7,15,8,14,10,18,21,35,47,50,49,31,""
15,22,26,26,46,49,54,25,21,15,8,6,10,11,14,16,11,38,38,24,37,42,48,54,25,""
16,14,15,32,60,56,61,84,62,89,39,32,37,56,26,23,15,11,20,22,31,38,49,57,23,""
17,17,19,26,34,71,54,57,42,37,26,11,16,12,12,12,16,11,9,19,22,32,39,38,22,""
18,11,19,10,17,48,57,60,45,46,21,24,19,10,15,24,15,16,21,22,21,41,42,44,50,""
19,13,14,21,22,63,70,52,72,51,26,24,18,19,12,11,11,23,18,16,31,46,52,68,25,""
20,12,1,7,13,12,45,52,58,44,39,24,13,12,11,26,20,19,23,22,36,48,68,70,57,""
21,30,30,20,20,68,83,109,83,49,43,28,16,16,20,16,17,10,19,51,44,34,58,55,16,""
22,30,38,33,47,78,61,77,81,47,30,17,13,10,15,13,19,17,22,29,40,49,59,82,49,""
23,20,25,51,79,96,72,84,81,46,29,39,98,33,8,6,14,99,12,40,31,45,47,64,33,""
24,23,16,40,46,57,64,77,50,51,26,25,15,13,11,9,17,7,21,31,42,53,52,50,21,""
25,21,14,22,54,69,79,57,78,45,48,27,33,22,145,114,16,9,17,27,34,28,42,52,23,""
26,28,29,17,32,66,63,67,65,44,33,22,14,22,27,13,20,13,19,130,21,30,50,54,30,""
27,19,21,49,57,63,63,62,60,41,28,25,9,22,25,17,9,8,19,20,25,39,38,37,40,""
28,2,0,29,47,71,66,69,55,48,34,10,23,17,12,18,14,17,19,17,34,24,38,47,57,""
29,35,20,27,63,66,60,57,49,46,136,207,61,12,10,16,14,19,13,13,26,34,39,43,49,""
30,17,17,38,53,65,77,67,64,32,23,14,24,14,23,21,105,119,128,20,35,34,52,53,50,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]c'bf,"bheIyfz}'js"
