apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,2,8,4,1,8,5,5,10,12,19,11,11,13,9,11,20,15,16,19,20,11,15,12,5,""
02,6,6,3,8,2,11,12,14,9,15,19,16,15,14,8,17,25,19,14,16,12,9,13,6,""
03,5,4,7,5,10,8,13,6,16,10,15,21,11,13,11,14,14,14,19,14,15,9,10,3,""
04,3,4,3,3,10,16,15,16,19,16,14,17,17,12,20,30,18,23,12,15,8,14,8,9,""
05,1,2,2,3,5,11,16,12,20,11,12,18,18,15,22,17,27,12,22,22,24,8,10,12,""
06,4,1,4,1,4,7,14,9,15,10,20,20,17,17,19,36,21,13,21,24,16,10,16,9,""
07,3,6,3,5,11,6,10,11,15,16,20,21,16,17,22,20,21,16,29,20,17,17,14,4,""
08,1,5,7,7,12,6,11,15,15,15,19,20,18,16,19,22,15,18,17,19,14,13,3,5,""
09,5,6,4,10,4,6,11,13,15,14,16,17,15,19,28,23,34,16,19,24,10,12,5,4,""
10,3,3,3,5,3,8,14,5,15,11,16,33,17,16,23,26,20,23,15,13,15,12,8,8,""
11,4,0,2,3,7,4,5,14,16,10,11,5,10,19,15,25,17,24,21,16,12,10,5,3,""
12,4,1,6,2,12,9,10,12,20,15,17,17,17,20,20,27,20,20,24,10,8,13,12,4,""
13,6,6,5,3,3,4,12,14,13,17,9,26,22,19,14,17,26,24,25,19,21,13,8,4,""
14,2,2,3,3,6,9,10,15,18,9,13,12,18,26,19,29,17,14,11,7,7,11,1,4,""
15,3,1,1,1,3,1,3,4,5,10,5,9,31,24,10,10,10,17,19,21,11,17,10,6,""
16,2,0,2,5,3,10,10,15,12,6,9,15,15,14,21,19,31,15,15,15,2,15,5,2,""
17,4,7,6,4,3,7,11,12,18,11,12,16,19,16,20,31,20,21,23,14,11,19,13,6,""
18,7,5,3,7,4,8,4,12,10,15,14,12,29,29,25,25,26,30,22,15,17,15,9,3,""
19,2,0,5,4,7,7,8,10,6,16,15,20,24,33,37,30,24,15,22,24,14,5,4,6,""
20,5,8,1,0,5,3,12,11,6,21,20,16,27,30,32,25,15,20,21,21,14,8,6,3,""
21,3,1,1,2,2,3,5,13,12,17,13,17,16,30,25,14,34,16,17,22,18,13,10,10,""
22,8,3,4,5,2,10,13,14,14,20,28,35,46,46,50,34,35,42,22,28,19,10,11,13,""
23,0,5,3,8,10,10,16,26,31,33,22,29,46,44,38,35,22,22,24,30,22,20,12,10,""
24,5,4,6,2,6,12,14,18,11,25,26,28,29,16,28,21,18,27,26,16,17,16,12,5,""
25,2,2,7,5,1,7,14,10,10,15,25,16,18,25,18,23,28,28,24,27,21,24,12,7,""
26,5,5,5,5,8,9,6,12,19,17,14,17,15,32,37,37,41,38,38,31,27,20,12,10,""
27,0,4,6,3,4,4,15,11,15,20,12,14,21,23,30,34,30,36,42,26,19,13,9,9,""
28,5,4,5,5,7,10,7,15,10,10,16,20,18,21,20,14,25,29,23,17,24,24,7,4,""
29,3,1,4,4,5,3,6,10,10,12,7,22,26,23,39,41,31,31,38,25,23,16,17,6,""
30,3,3,2,2,8,6,11,8,17,11,17,15,30,24,31,40,28,25,32,20,15,25,4,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]{hzjynI}le,"z'gl}"
