may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,2,0,1,0,8,11,42,17,17,15,28,25,17,27,23,29,31,13,14,23,17,20,23,7,""
02,6,0,0,0,11,9,19,20,19,14,32,27,23,40,24,15,46,23,23,19,0,0,0,0,""
03,0,0,0,0,0,0,0,0,0,0,15,20,19,14,14,6,13,9,12,15,12,11,18,4,""
04,2,3,0,2,2,9,6,16,9,5,22,30,31,15,19,15,16,17,15,17,13,35,13,15,""
05,4,4,0,0,6,13,7,30,11,7,27,30,30,27,11,8,19,10,7,15,11,7,10,2,""
06,2,2,4,1,6,0,3,16,7,7,15,14,16,10,5,4,4,11,14,2,14,8,14,4,""
07,5,1,1,0,7,8,4,24,8,9,17,20,22,13,9,9,18,8,18,14,11,13,6,6,""
08,8,5,4,3,7,10,13,42,10,19,26,20,32,28,25,14,10,9,12,8,17,14,10,9,""
09,4,0,1,1,7,4,18,15,8,22,24,20,25,23,13,11,10,24,10,16,10,7,9,12,""
10,5,0,2,7,10,7,8,16,17,12,22,7,0,26,12,6,21,13,10,10,12,10,10,3,""
11,1,3,1,0,6,4,21,9,11,18,23,10,27,26,14,16,21,15,29,42,11,26,18,4,""
12,8,0,1,0,7,5,1,26,17,15,17,15,22,24,17,5,8,11,18,9,6,10,12,0,""
13,4,1,0,0,10,7,8,16,17,12,22,7,0,26,12,6,21,35,24,23,50,54,53,16,""
14,16,6,7,0,15,18,12,50,32,35,50,58,43,49,36,39,33,36,51,55,27,43,29,13,""
15,8,4,17,0,18,21,21,22,12,15,22,19,21,22,13,18,16,18,11,7,9,14,10,12,""
16,7,4,1,0,4,6,8,21,20,11,28,23,22,34,17,8,23,15,22,15,23,16,13,8,""
17,4,0,2,0,8,23,24,25,19,11,12,10,21,18,10,5,10,32,16,23,10,17,7,6,""
18,1,4,3,0,10,10,13,27,7,18,20,16,10,7,14,13,9,8,17,11,4,15,7,5,""
19,6,1,2,1,14,8,2,21,6,7,18,19,12,19,13,10,16,15,16,7,11,17,11,3,""
20,2,2,0,0,8,3,6,18,6,6,11,30,16,12,9,21,12,12,7,16,17,18,9,8,""
21,3,1,3,0,7,4,5,17,12,9,21,11,17,18,11,21,23,12,11,12,15,8,18,4,""
22,6,0,0,1,7,15,12,18,13,11,21,17,13,18,14,4,16,10,13,19,8,25,16,5,""
23,8,2,0,0,8,18,5,18,19,14,32,20,14,22,22,12,19,25,18,21,10,16,11,10,""
24,6,0,0,0,9,22,11,23,6,11,22,17,16,13,15,6,10,18,10,11,7,21,19,7,""
25,11,3,0,1,4,7,4,23,3,11,31,22,23,28,13,15,19,6,9,17,13,22,24,26,""
26,21,19,18,18,21,21,27,33,29,27,32,30,32,28,28,28,31,38,28,31,27,34,26,21,""
27,22,18,21,19,30,24,29,35,23,20,33,27,24,21,24,22,23,27,23,21,26,26,21,19,""
28,19,19,19,19,25,21,21,44,28,19,18,18,29,24,29,30,33,32,35,36,29,23,28,24,""
29,22,18,18,18,20,28,30,29,30,30,37,24,34,32,26,31,35,25,21,29,22,28,25,24,""
30,21,21,18,20,24,28,29,36,29,31,37,39,30,34,29,28,27,22,42,35,24,30,26,30,""
31,21,18,22,18,19,27,22,35,41,26,29,29,33,32,22,31,38,40,23,-1,-1,-1,-1,-1,""
[E]cfghz'zjalgbl{Iz,"g{`zl'ja"
