jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,40,23,20,45,57,91,134,132,185,243,241,288,345,384,457,406,336,188,131,141,158,115,92,66,""
02,42,22,-1,-1,-1,1,0,1,1,2,1,7,8,7,13,13,13,7,11,6,10,3,1,2,""
03,0,1,1,5,5,19,8,0,0,4,16,23,25,55,29,11,16,19,20,6,0,0,0,2,""
04,1,0,0,15,2,0,39,153,184,221,229,260,284,403,383,348,243,161,132,141,150,115,104,71,""
05,30,25,27,45,66,102,133,165,177,227,213,238,324,382,404,354,261,171,137,162,162,168,131,67,""
06,31,18,27,28,54,121,132,161,165,205,224,317,360,436,454,449,335,235,155,155,193,155,127,74,""
07,35,31,27,41,87,105,115,172,210,213,241,321,458,505,554,477,311,177,121,249,292,156,135,90,""
08,27,26,40,45,68,98,108,174,181,191,263,270,393,468,559,498,413,239,197,228,223,166,128,87,""
09,38,17,32,38,71,116,130,160,210,269,320,354,459,528,525,485,338,195,154,218,202,191,195,74,""
10,25,36,31,46,77,97,131,228,217,232,276,334,451,563,538,429,327,194,183,170,215,205,187,119,""
11,39,32,28,36,85,130,175,189,249,287,311,385,441,542,547,450,325,186,181,206,217,194,162,109,""
12,62,36,29,63,60,139,144,170,207,289,314,342,435,504,503,378,284,141,110,155,183,151,144,81,""
13,42,33,37,9,65,115,149,206,225,307,302,357,469,-1,-1,450,337,187,139,170,170,167,143,88,""
14,43,35,31,49,7,90,135,189,242,254,281,376,489,493,547,447,303,220,133,189,158,143,127,89,""
15,27,40,41,45,59,133,171,217,186,262,290,345,462,514,465,401,318,174,157,146,157,156,122,133,""
16,-1,17,28,47,83,106,129,156,245,250,290,348,432,483,435,412,308,163,137,156,163,152,118,63,""
17,33,39,37,15,48,88,147,170,230,281,300,329,393,516,469,399,273,189,148,168,152,142,132,132,""
18,126,37,53,48,76,141,169,218,297,322,315,346,454,466,477,341,322,147,122,123,145,130,112,53,""
19,38,75,36,52,58,97,160,161,215,200,281,270,355,432,470,479,460,267,209,113,129,128,88,69,""
20,38,32,44,24,65,158,195,238,242,274,294,347,437,458,474,369,302,164,122,133,135,103,95,73,""
21,51,36,30,61,86,116,172,187,226,241,286,334,413,489,-1,421,357,149,86,127,111,130,84,55,""
22,58,24,26,51,73,77,154,176,220,259,268,315,341,385,409,347,259,168,95,115,151,140,123,54,""
23,54,32,42,48,81,122,151,194,255,276,281,314,313,389,-1,55,12,-1,58,35,-1,-1,74,59,""
24,41,38,34,36,114,204,205,227,234,310,323,299,388,395,406,380,357,282,166,113,110,142,103,68,""
25,47,26,38,66,90,175,191,211,224,241,290,306,321,392,399,378,322,264,140,122,121,125,88,67,""
26,51,36,32,36,61,106,165,149,134,183,143,297,363,375,428,386,354,220,160,138,108,121,112,77,""
27,50,33,58,56,93,171,170,221,274,315,322,323,335,388,406,441,266,159,117,118,136,121,94,85,""
28,55,28,37,53,89,96,191,199,216,282,309,276,378,366,388,358,298,183,148,117,102,136,97,77,""
29,57,36,33,44,88,111,167,229,221,304,334,334,336,381,426,379,332,272,207,191,141,136,127,78,""
30,66,52,99,149,90,130,228,215,314,284,318,349,353,406,396,358,346,263,178,176,185,142,112,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
