sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,7,17,13,25,29,15,24,20,15,5,10,8,14,19,18,17,19,9,12,6,9,10,8,8,""
02,11,12,23,17,26,16,17,28,19,20,9,15,14,18,20,11,15,14,11,6,6,9,13,11,""
03,9,15,26,25,30,23,24,19,21,17,11,18,11,20,20,23,12,6,17,6,13,7,7,9,""
04,9,22,18,17,27,19,17,23,8,24,23,18,22,25,23,18,27,14,11,11,3,13,15,6,""
05,20,30,21,28,12,30,10,38,30,14,12,16,21,27,37,23,19,14,10,8,8,11,7,13,""
06,17,26,21,27,27,25,20,22,28,11,12,13,14,18,30,23,21,16,17,9,5,11,14,14,""
07,11,20,27,24,30,22,25,15,18,17,18,10,21,18,33,22,17,10,8,7,7,8,9,12,""
08,10,11,26,26,27,24,22,18,12,11,16,20,15,8,23,8,6,10,7,6,9,9,9,7,""
09,8,11,14,26,30,19,16,13,19,21,13,15,21,16,19,32,21,25,16,12,13,9,10,8,""
10,9,21,23,33,30,31,21,28,20,17,9,22,13,17,20,12,13,16,11,12,11,10,10,17,""
11,15,11,21,19,39,18,24,20,9,18,19,8,12,28,17,23,20,15,10,10,3,3,10,9,""
12,9,12,31,28,35,19,16,31,28,25,14,20,18,20,18,21,15,19,13,6,12,12,19,10,""
13,18,15,22,25,20,24,28,26,21,14,17,15,15,10,16,14,13,19,8,7,6,7,17,6,""
14,8,11,15,21,24,17,24,23,9,15,6,14,20,22,30,21,14,8,7,5,8,8,10,16,""
15,13,19,22,20,24,18,27,17,16,25,17,23,19,18,24,15,15,15,8,9,14,12,11,9,""
16,19,18,23,29,22,29,26,30,19,23,16,13,21,22,20,16,11,12,8,6,15,10,12,9,""
17,24,24,19,28,32,22,24,24,21,13,22,17,20,14,25,23,12,9,3,9,6,7,8,8,""
18,8,10,18,23,21,24,27,20,15,4,19,24,14,13,24,8,13,8,8,4,8,7,6,7,""
19,11,14,14,28,37,15,27,18,23,19,13,16,19,18,19,16,15,14,7,8,9,6,7,9,""
20,5,15,17,27,33,23,24,16,25,14,14,18,14,21,18,17,12,10,9,8,12,12,14,5,""
21,6,16,15,14,22,23,23,17,18,14,11,15,26,21,21,18,13,9,9,11,6,5,6,13,""
22,13,23,20,18,18,28,25,20,20,25,19,16,21,21,14,20,15,15,15,9,11,10,16,7,""
23,16,17,21,16,31,27,29,33,18,20,12,16,21,23,14,24,24,10,11,14,17,12,12,3,""
24,7,17,17,24,24,20,25,13,1,0,0,23,22,24,38,30,23,12,9,11,16,13,11,6,""
25,10,12,23,28,26,19,27,28,18,12,18,9,20,30,21,18,20,15,8,9,14,13,13,13,""
26,17,11,21,27,22,24,23,28,16,10,23,18,25,25,13,19,14,9,10,14,8,7,12,7,""
27,8,14,20,25,32,21,23,19,19,17,14,19,19,20,20,11,14,7,14,10,9,13,13,10,""
28,11,14,21,34,23,20,28,26,17,24,15,29,18,14,16,13,13,13,9,8,10,19,13,8,""
29,14,15,12,25,27,28,37,25,16,16,19,22,26,19,26,14,10,4,4,7,12,11,14,7,""
30,10,10,25,22,20,32,27,18,25,17,22,29,27,33,31,16,8,14,12,6,8,8,8,6,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
