oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,14,13,12,4,6,1,2,3,4,4,2,3,7,6,6,6,3,8,6,7,15,15,15,24,""
02,21,15,9,8,7,5,2,5,2,3,4,5,6,11,7,2,6,10,6,9,19,15,23,15,""
03,11,6,18,5,10,9,7,5,4,1,-1,3,2,5,5,2,6,7,14,15,6,18,14,9,""
04,14,10,6,7,2,4,6,4,-1,3,6,4,4,11,4,5,6,9,9,9,14,19,13,14,""
05,9,13,5,12,6,10,8,2,-1,1,3,4,4,7,3,5,6,8,9,11,16,11,13,17,""
06,13,5,5,7,4,-1,3,5,1,3,2,7,10,8,6,6,6,8,6,10,6,8,11,11,""
07,3,9,5,1,2,5,1,2,4,2,2,8,8,8,4,3,5,10,5,10,10,7,6,9,""
08,3,1,-1,5,5,3,2,4,3,5,4,4,6,10,14,7,9,12,12,14,9,6,4,9,""
09,7,9,4,4,4,2,5,1,2,3,2,4,7,4,7,5,11,11,10,13,10,5,8,6,""
10,8,13,7,8,4,5,1,4,2,1,1,7,1,4,2,5,6,8,7,9,8,4,10,10,""
11,6,9,11,4,7,7,4,2,3,1,2,3,3,3,11,3,4,9,8,6,7,7,12,7,""
12,5,4,3,2,6,5,6,-1,1,2,7,1,8,5,2,2,3,6,10,12,11,15,4,13,""
13,15,6,5,-1,1,2,6,2,4,5,2,1,7,4,3,10,5,8,8,14,15,22,10,9,""
14,8,6,8,4,5,2,7,6,1,3,3,8,8,11,7,9,-1,8,15,5,14,6,13,8,""
15,15,3,3,4,4,6,4,2,2,1,5,11,1,8,5,5,5,9,6,11,5,11,7,12,""
16,8,6,5,3,6,2,5,5,3,2,3,8,7,6,8,8,9,6,2,8,7,11,6,14,""
17,10,11,6,4,5,2,6,2,2,3,1,6,7,10,6,8,5,6,12,5,14,4,14,7,""
18,6,6,7,4,7,7,3,4,2,3,3,7,4,6,5,7,11,5,9,8,15,18,15,13,""
19,12,2,5,-1,11,3,6,5,5,-1,5,5,5,7,7,6,7,10,7,11,19,11,14,10,""
20,13,4,7,5,4,9,7,4,3,5,4,8,8,8,9,6,14,10,15,18,12,7,15,13,""
21,10,11,5,5,4,3,2,3,1,2,4,6,5,6,8,2,3,9,9,14,13,9,18,9,""
22,4,1,5,3,6,7,5,3,1,-1,4,3,8,7,7,13,5,13,5,13,6,8,9,14,""
23,12,7,10,12,8,4,3,2,1,3,4,7,8,4,7,9,7,12,8,9,9,12,15,5,""
24,11,10,8,4,2,7,9,4,1,2,4,6,2,9,13,6,7,12,8,11,5,7,8,4,""
25,7,8,1,2,-1,1,1,2,3,2,7,10,5,8,4,9,6,8,8,6,10,15,11,4,""
26,9,9,3,1,2,4,3,5,-1,3,7,4,5,4,5,7,4,3,8,6,8,10,8,6,""
27,7,9,3,4,4,3,3,3,2,1,1,6,2,7,6,3,3,8,9,8,4,11,11,10,""
28,10,1,7,1,5,3,4,3,-1,3,-1,3,8,6,4,5,8,3,5,8,9,10,15,10,""
29,12,5,7,7,9,6,5,5,4,3,3,7,6,9,6,2,10,9,7,7,7,14,11,8,""
30,4,-1,3,4,5,8,4,3,-1,3,1,4,2,1,3,4,4,6,5,6,3,3,4,7,""
31,2,6,4,5,1,4,-1,1,2,1,2,7,5,5,5,4,2,4,2,7,8,6,7,1,""
