oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,20,21,20,20,14,21,30,28,19,13,17,17,16,19,13,14,9,13,14,19,9,20,6,4,""
02,20,18,21,22,28,29,28,17,15,16,19,25,34,26,14,11,11,10,7,10,12,8,15,6,""
03,24,22,25,22,20,20,20,22,24,17,13,22,14,14,16,13,14,9,16,19,18,8,14,15,""
04,10,28,19,15,18,23,25,17,19,22,20,21,24,20,14,15,8,4,6,12,11,18,15,10,""
05,14,24,12,24,20,22,17,20,27,18,18,18,12,19,20,10,10,11,11,12,17,14,13,12,""
06,15,18,30,20,20,25,27,14,21,22,35,15,24,17,21,8,11,6,12,13,11,17,16,9,""
07,13,16,16,22,18,12,13,22,15,11,13,15,13,15,15,14,8,7,8,13,20,13,14,12,""
08,19,15,18,24,17,18,19,16,15,13,16,14,14,16,21,6,6,14,8,11,16,16,21,10,""
09,16,13,20,26,22,31,11,14,14,22,16,10,11,8,12,11,9,9,10,14,17,15,17,14,""
10,20,12,27,36,23,25,20,20,17,17,12,10,12,12,11,11,15,11,15,9,19,12,12,12,""
11,14,14,21,26,21,30,13,16,16,16,22,13,12,14,14,12,15,11,9,10,22,12,17,9,""
12,14,22,23,29,19,16,15,21,12,20,12,17,12,18,18,12,17,10,12,19,16,15,14,18,""
13,21,23,22,35,23,20,23,23,10,21,13,14,14,21,9,9,12,9,12,10,15,20,7,16,""
14,17,21,18,15,30,18,15,18,17,12,12,8,17,6,15,15,18,10,11,16,13,18,10,11,""
15,14,27,23,29,20,22,23,17,16,12,18,15,27,22,18,10,11,12,13,17,15,12,24,11,""
16,16,22,23,22,20,28,26,19,15,18,19,11,19,12,11,11,11,5,13,22,18,16,17,15,""
17,19,22,32,30,24,22,17,18,19,14,16,10,17,21,15,13,10,4,9,20,16,18,13,13,""
18,20,17,19,24,25,21,14,28,13,12,16,18,18,16,15,6,11,14,12,9,18,12,15,11,""
19,17,25,25,21,23,18,19,16,14,14,12,19,12,14,16,10,10,8,17,19,25,24,12,17,""
20,22,15,32,25,26,24,21,18,21,18,14,10,16,18,22,7,11,8,16,9,28,14,15,15,""
21,16,24,23,26,31,21,32,26,13,14,19,19,17,16,14,16,13,15,20,14,12,17,9,11,""
22,16,35,26,20,19,23,13,20,9,11,14,20,16,17,9,19,10,13,10,15,17,18,12,16,""
23,11,19,27,21,25,22,22,28,17,20,24,24,15,10,11,15,10,1,0,3,4,3,5,4,""
24,4,10,5,5,4,4,26,19,21,18,24,10,17,14,16,12,12,6,11,19,23,17,16,15,""
25,10,21,32,29,32,24,18,25,19,19,8,19,22,19,12,9,16,7,11,19,18,20,14,13,""
26,19,28,23,26,25,23,21,20,16,14,21,13,19,19,12,19,7,8,12,13,19,23,18,11,""
27,17,18,20,21,25,14,19,16,18,22,21,19,18,18,3,15,11,6,9,16,14,11,11,17,""
28,25,17,30,25,17,21,19,20,21,13,15,12,14,13,11,8,8,14,11,14,17,16,12,10,""
29,22,23,26,33,22,16,18,23,15,15,15,18,15,9,12,9,9,13,17,16,12,22,10,10,""
30,14,22,21,30,14,19,11,19,10,14,16,11,13,8,9,11,8,11,7,21,25,18,17,10,""
31,13,22,23,22,20,18,20,10,17,10,10,13,14,11,15,9,6,10,-1,-1,-1,-1,-1,-1,""
