nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,54,73,86,92,120,111,154,137,142,139,109,100,79,110,85,93,93,109,101,72,63,81,77,74,""
02,58,92,87,87,23,114,137,147,123,124,119,113,107,132,119,130,138,104,109,99,90,87,70,70,""
03,70,61,91,117,129,130,132,144,151,108,78,124,94,94,101,92,104,111,111,82,83,83,77,72,""
04,87,94,104,99,123,134,136,146,137,107,100,95,111,91,92,80,93,137,112,108,82,87,73,68,""
05,79,98,111,138,152,147,152,167,143,110,109,88,97,88,118,83,97,116,85,90,68,81,56,60,""
06,65,79,93,127,135,104,145,133,158,132,115,106,100,102,91,89,99,93,82,87,82,65,57,42,""
07,41,79,86,103,124,117,137,162,138,108,96,84,114,110,121,113,85,108,82,74,68,65,53,60,""
08,52,64,95,98,101,142,122,127,135,115,95,95,87,84,99,94,96,108,77,95,66,59,40,55,""
09,73,93,88,109,118,137,153,151,124,78,88,112,104,107,114,101,88,77,82,60,61,57,49,52,""
10,54,62,80,108,105,118,120,124,124,102,100,68,77,87,75,66,73,84,82,85,79,89,59,64,""
11,54,62,83,96,123,117,109,128,109,99,101,112,98,91,96,95,119,83,98,70,65,75,58,54,""
12,67,72,95,104,101,98,135,135,139,126,92,99,115,109,95,82,93,72,83,106,82,78,70,75,""
13,72,88,81,114,120,141,159,150,129,103,88,76,107,116,86,96,112,100,73,89,91,72,50,46,""
14,72,75,102,116,124,122,131,123,127,128,94,106,118,123,131,112,115,97,83,81,83,76,64,59,""
15,64,75,104,92,113,127,156,170,145,135,125,101,131,126,122,126,115,107,110,101,67,61,51,52,""
16,52,50,82,120,115,127,134,121,112,93,94,91,91,102,102,88,108,108,108,93,68,69,49,39,""
17,47,56,74,79,97,122,125,125,132,106,89,99,104,116,104,114,114,94,113,105,86,79,73,58,""
18,69,72,95,88,125,137,148,172,120,122,102,110,91,98,99,72,53,55,71,59,56,56,48,30,""
19,33,43,41,75,88,101,119,127,102,96,95,75,87,74,63,112,65,53,56,42,45,29,37,45,""
20,38,51,43,53,58,83,111,104,123,72,79,58,71,56,60,82,76,86,65,58,52,52,48,32,""
21,49,41,67,66,67,64,58,116,124,103,84,83,80,63,59,106,81,55,43,28,35,46,45,23,""
22,44,35,65,68,68,91,104,63,63,72,75,67,45,45,62,87,76,70,79,51,19,28,32,33,""
23,25,33,47,46,93,94,101,102,94,60,87,77,72,57,55,43,59,54,53,34,35,40,40,33,""
24,42,29,49,58,55,67,81,105,94,70,47,64,56,60,59,65,56,37,42,34,33,35,28,38,""
25,26,54,59,78,76,62,55,85,78,81,49,73,71,73,78,95,76,74,76,61,53,51,43,51,""
26,55,61,79,64,68,78,75,77,79,75,60,58,57,92,65,85,76,75,83,81,58,52,63,54,""
27,55,67,65,78,88,92,108,110,71,66,70,80,97,76,85,106,99,92,72,67,62,56,56,49,""
28,66,78,69,68,77,86,97,89,88,60,81,70,71,86,103,93,80,67,66,60,55,64,54,58,""
29,68,70,76,76,75,97,122,103,119,85,61,61,85,88,83,99,77,71,81,70,59,63,51,42,""
30,59,58,90,93,112,93,90,97,103,82,79,75,70,90,75,77,100,91,-1,56,54,62,59,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
