dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,47,51,50,53,50,57,70,42,84,80,59,54,65,54,49,51,64,52,56,59,65,58,67,62,""
02,72,73,83,51,62,69,68,83,60,62,68,76,49,52,56,37,37,52,45,55,48,34,44,63,""
03,70,57,59,56,60,72,69,69,96,60,58,56,48,51,52,34,22,34,31,27,34,30,43,33,""
04,57,58,52,65,71,67,77,51,58,53,45,38,57,53,47,45,45,33,38,50,47,51,62,53,""
05,58,64,63,54,71,61,54,71,70,68,52,66,62,72,49,36,51,40,50,55,35,43,57,41,""
06,45,51,52,62,61,72,45,66,50,44,47,51,50,32,54,34,40,41,36,41,52,58,49,54,""
07,44,53,56,59,47,55,74,65,59,57,63,63,53,63,44,56,50,54,84,45,40,48,57,41,""
08,54,55,62,55,58,50,52,58,52,56,49,52,53,42,52,58,44,41,38,56,78,64,59,57,""
09,53,52,33,31,46,59,51,0,52,65,65,49,53,60,42,51,47,57,35,33,29,49,46,48,""
10,62,42,68,65,81,81,78,72,74,54,57,66,60,61,47,44,21,27,39,55,40,29,53,33,""
11,34,45,61,86,90,100,112,75,59,65,72,70,68,58,0,54,51,51,67,91,67,97,65,89,""
12,83,82,65,58,72,100,131,93,78,61,65,44,53,42,54,37,44,60,73,99,84,96,88,88,""
13,75,72,61,98,84,114,110,120,94,74,58,59,51,62,48,41,30,64,101,107,132,154,158,114,""
14,142,130,130,135,124,169,187,160,125,76,53,33,41,39,0,39,58,101,130,119,123,180,186,171,""
15,156,128,120,126,83,103,102,66,77,58,53,55,65,48,47,59,44,111,59,46,40,65,65,66,""
16,70,58,65,68,64,66,75,93,70,53,57,53,63,63,49,100,206,47,50,34,32,35,44,27,""
17,41,44,38,50,43,39,71,39,49,44,22,36,68,53,70,46,29,99,28,24,27,35,44,47,""
18,48,62,40,37,45,52,64,54,66,69,63,80,50,32,32,65,18,27,21,18,29,27,37,45,""
19,47,41,41,43,56,61,59,56,60,66,52,60,60,56,41,36,32,34,46,56,29,37,40,29,""
20,39,53,44,44,48,50,38,47,56,47,63,67,55,38,44,40,42,46,19,23,28,32,30,26,""
21,41,54,62,36,50,73,52,54,64,58,62,55,45,37,48,23,19,19,30,32,45,45,41,51,""
22,51,52,64,47,65,59,51,47,63,52,60,57,59,62,46,46,38,32,39,45,43,51,51,43,""
23,52,56,61,50,70,50,54,52,44,65,60,72,49,0,42,39,46,50,37,0,44,50,54,60,""
24,49,50,45,62,67,65,68,57,43,50,52,63,52,44,47,44,32,34,34,45,42,45,40,38,""
25,36,39,38,34,51,69,60,35,53,35,59,59,51,55,40,36,31,34,36,29,28,34,35,40,""
26,44,56,55,55,45,68,53,54,60,56,61,55,54,57,46,38,26,27,37,39,42,42,36,59,""
27,42,46,54,64,56,58,59,52,32,40,49,53,64,45,47,37,47,35,45,47,51,40,40,49,""
28,50,55,59,68,74,57,64,50,59,56,80,50,75,57,55,63,38,34,37,37,37,40,43,45,""
29,47,55,62,59,63,54,52,72,40,49,58,62,49,54,64,36,20,16,29,46,45,35,49,67,""
30,54,50,70,54,78,70,62,79,80,50,66,53,54,62,50,46,45,53,39,47,42,42,40,38,""
31,56,63,54,66,73,70,74,78,63,66,52,52,51,42,59,49,56,55,48,41,44,58,60,-1,""
