jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,29,21,24,42,40,58,50,54,58,46,53,57,62,74,80,66,57,47,46,41,46,28,33,30,""
02,29,38,36,44,45,55,42,70,61,45,73,72,76,81,76,52,50,43,38,48,31,43,43,42,""
03,38,34,46,53,75,80,97,81,104,104,91,90,100,120,95,87,63,47,58,85,121,114,122,120,""
04,97,94,89,96,110,136,122,174,208,209,221,239,247,213,202,123,60,57,62,64,45,58,50,34,""
05,28,30,40,40,49,64,83,94,92,92,85,85,86,80,75,55,35,38,34,33,33,41,37,23,""
06,27,26,36,44,58,61,82,79,60,86,57,54,78,89,87,65,56,34,38,30,48,39,30,30,""
07,23,21,25,41,40,55,78,70,87,66,74,73,80,63,58,50,45,43,37,40,35,36,26,31,""
08,32,25,29,33,33,50,38,45,73,65,78,68,61,79,61,51,39,33,43,36,22,25,27,24,""
09,15,10,15,41,44,54,54,47,61,42,55,62,68,68,52,68,50,34,47,36,39,28,14,27,""
10,15,28,22,36,49,52,62,63,51,66,65,67,67,0,0,0,0,0,0,0,0,0,0,0,""
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
12,0,63,64,63,78,82,87,125,146,128,133,151,134,134,115,50,52,42,52,55,51,38,25,32,""
13,29,40,34,37,36,55,47,81,83,69,75,83,78,71,61,53,69,42,48,34,35,41,33,32,""
14,27,29,29,33,52,38,67,66,82,57,80,57,79,83,77,74,61,44,50,36,36,51,26,42,""
15,30,25,28,30,53,62,59,54,87,84,68,65,90,102,78,47,39,32,39,32,36,33,37,30,""
16,37,31,48,36,68,68,81,83,81,100,100,81,87,93,92,87,67,62,47,52,53,49,42,62,""
17,31,25,29,49,72,74,77,96,99,86,103,114,88,88,76,94,64,55,62,60,47,60,59,36,""
18,38,31,40,73,53,60,43,74,107,95,105,73,106,96,82,57,62,48,44,39,50,54,36,25,""
19,23,34,36,34,38,52,69,88,91,76,84,99,96,95,66,47,56,40,41,32,33,30,42,30,""
20,37,38,33,50,59,65,80,63,0,0,0,49,68,68,70,36,32,57,48,47,49,49,33,29,""
21,25,36,32,35,30,74,47,85,88,75,73,60,91,85,73,50,44,36,43,39,35,35,25,36,""
22,23,19,50,37,33,57,35,80,109,95,94,68,91,84,83,65,60,54,56,46,37,31,42,29,""
23,36,39,31,37,29,47,56,68,96,79,80,82,107,96,77,89,75,44,43,54,29,48,40,31,""
24,26,31,30,22,26,29,40,45,57,80,76,97,97,93,80,93,62,61,68,36,43,30,35,31,""
25,17,34,29,42,61,68,67,51,89,80,79,64,103,85,109,55,50,46,46,43,43,35,39,39,""
26,25,48,28,28,38,75,84,85,96,89,90,60,98,76,52,54,60,42,40,38,36,32,29,28,""
27,30,43,22,58,44,21,86,93,91,71,86,56,70,98,89,60,61,44,61,41,37,48,26,20,""
28,23,33,29,41,36,48,87,92,85,31,52,52,84,70,87,80,44,39,41,56,41,30,20,25,""
29,26,44,46,58,41,92,98,99,102,55,36,38,47,26,48,66,52,50,52,35,39,36,29,31,""
30,26,18,36,28,41,36,53,64,69,70,62,73,81,68,62,70,62,54,27,41,37,38,29,19,""
31,29,32,36,38,60,43,55,42,47,68,62,67,64,43,61,53,41,45,75,49,39,33,34,-1,""
