jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,1,20,12,7,8,21,18,33,27,23,18,21,22,24,23,20,21,17,11,16,12,17,17,7,""
02,13,8,10,16,14,13,28,27,19,23,41,27,34,32,26,14,18,18,9,11,13,11,16,11,""
03,12,8,9,13,19,20,26,23,36,27,32,33,46,44,44,42,36,27,27,26,20,39,50,45,""
04,36,51,34,40,45,42,56,80,81,80,128,129,155,164,87,50,29,37,33,13,11,15,17,10,""
05,8,8,10,11,14,11,22,22,23,19,27,26,23,28,24,27,32,21,9,15,7,13,19,7,""
06,9,7,6,14,13,15,25,21,17,22,23,21,31,22,31,16,24,21,20,11,17,9,9,13,""
07,6,11,5,14,17,18,23,18,19,19,20,28,21,22,28,17,26,26,15,16,12,9,13,11,""
08,15,9,5,12,8,15,25,27,26,25,20,20,30,21,26,19,28,23,16,14,10,10,10,8,""
09,9,8,8,8,14,12,20,19,17,22,17,21,28,20,17,18,12,14,15,9,13,9,13,10,""
10,8,5,6,11,7,15,20,17,37,19,26,31,18,9,0,1,3,1,2,0,3,0,2,1,""
11,4,1,0,0,0,2,1,1,1,0,0,0,2,0,0,0,0,0,0,0,1,7,4,3,""
12,4,7,7,10,12,16,14,22,18,17,20,29,12,15,17,22,15,20,10,17,13,10,8,14,""
13,4,5,8,13,10,16,19,28,24,18,27,30,26,22,16,17,27,16,16,9,13,10,6,5,""
14,7,7,4,13,7,18,12,18,27,18,25,30,21,16,19,28,24,20,14,10,15,7,3,7,""
15,12,9,4,10,10,19,22,23,18,21,37,24,28,29,23,27,29,13,21,14,13,10,7,12,""
16,4,6,7,11,10,18,15,20,18,18,21,19,21,31,23,27,33,25,19,22,10,8,3,10,""
17,3,6,8,9,18,21,19,22,28,27,27,26,30,23,26,29,41,25,24,10,10,7,7,7,""
18,9,9,5,14,12,21,26,19,24,19,27,30,18,24,13,29,25,18,16,13,13,11,8,4,""
19,2,8,11,18,9,13,21,24,22,24,22,25,19,29,20,26,18,25,9,12,14,10,5,7,""
20,9,8,10,13,16,15,19,12,19,19,23,22,74,79,60,15,13,11,9,13,9,12,7,8,""
21,5,5,9,12,10,20,15,23,17,16,38,21,31,15,19,19,12,9,13,16,9,5,2,7,""
22,2,5,9,8,23,20,17,26,24,22,24,18,24,13,24,21,11,20,23,14,10,10,13,4,""
23,7,4,15,13,10,15,25,18,28,19,19,23,31,24,23,12,24,18,14,12,6,7,8,4,""
24,7,7,8,11,16,12,19,17,20,35,16,25,33,15,35,23,24,24,11,9,10,8,10,9,""
25,8,8,5,3,13,11,20,18,17,24,17,20,20,19,20,14,21,18,15,8,9,16,7,3,""
26,0,4,5,11,13,17,17,13,19,14,30,19,25,24,19,19,16,17,12,8,5,10,11,7,""
27,4,5,8,9,13,11,19,20,21,25,22,15,16,9,16,25,21,10,18,9,11,12,9,3,""
28,7,6,13,12,17,19,27,20,20,10,11,11,20,15,14,14,16,19,11,24,8,9,6,8,""
29,2,8,5,5,17,14,21,22,31,26,25,24,30,30,14,23,27,16,16,17,10,10,6,8,""
30,6,7,7,15,12,16,16,25,20,13,21,20,25,19,16,20,16,29,14,9,9,5,10,5,""
31,5,5,10,12,13,22,11,14,24,16,18,26,28,22,27,14,18,26,15,9,13,10,16,-1,""
