aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,054,075,078,067,071,000,063,053,046,033,034,025,018,034,034,024,020,030,021,028,025,037,045,000
02,046,071,049,064,031,050,038,043,044,029,020,030,035,037,072,075,039,033,052,038,049,067,159,192
03,000,201,000,072,000,060,047,038,039,032,032,041,020,021,025,025,020,011,025,020,026,023,034,047
04,039,053,070,099,116,038,044,039,045,042,031,025,026,030,023,014,015,021,019,027,023,028,033,037
05,034,047,058,048,067,041,041,034,066,100,070,072,000,000,000,067,034,037,024,034,029,053,052,061
06,064,063,116,000,145,081,053,030,032,029,032,025,023,022,023,027,018,018,017,022,023,024,032,037
07,090,165,215,149,000,000,045,039,000,000,023,028,027,000,015,023,028,020,018,024,029,032,032,020
08,065,085,114,101,098,076,035,045,048,042,034,038,032,029,035,026,024,022,016,024,026,042,038,038
09,050,054,055,048,037,063,048,051,042,042,042,039,026,027,025,037,031,027,027,037,050,058,061,087
10,077,096,084,095,085,089,087,062,050,042,045,039,043,035,028,051,036,034,042,038,038,033,045,050
11,057,053,080,075,070,088,072,054,050,047,023,046,032,020,023,029,016,029,019,013,026,058,065,118
12,078,106,112,123,137,145,155,135,121,099,091,077,056,042,059,048,040,041,031,038,043,045,055,069
13,048,084,090,109,000,110,089,000,000,000,000,000,000,000,043,037,025,031,032,024,032,028,051,057
14,046,050,068,063,059,060,050,049,038,042,056,040,039,026,025,028,021,015,014,014,021,032,030,028
15,033,034,035,029,024,035,034,024,022,025,021,014,015,018,021,018,026,023,021,011,016,025,012,027
16,027,032,033,029,036,018,030,022,024,021,017,019,011,013,017,019,026,011,018,016,020,013,024,031
17,034,026,026,040,025,033,016,015,022,014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,006,013
20,015,005,013,016,009,015,013,017,005,015,018,008,010,009,009,017,009,007,009,008,008,008,011,015
21,010,011,004,008,010,006,008,006,004,003,013,006,005,000,045,042,045,035,034,038,060,054,058,063
22,069,075,078,070,062,020,-1,-1,017,030,050,036,048,036,029,042,030,028,026,036,055,049,062,069
23,068,086,057,010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,004,064,068
30,063,079,083,085,070,066,064,049,059,060,032,-1,003,042,041,025,023,027,026,051,048,041,046,046
31,061,050,063,068,055,041,054,037,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
