aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,152,154,189,174,235,221,196,184,217,152,190,166,179,175,141,189,130,173,203,152,165,207,157,138,""
02,171,199,211,244,233,248,239,265,233,229,188,204,182,203,173,161,178,141,117,186,187,155,123,136,""
03,140,140,167,189,195,199,179,236,273,230,229,178,189,164,165,149,121,102,112,172,169,172,114,127,""
04,121,126,149,151,257,216,189,235,227,204,177,153,147,117,145,159,98,117,129,124,160,126,98,117,""
05,132,143,134,152,183,240,191,228,187,220,196,146,163,141,161,119,131,122,106,144,140,118,160,120,""
06,105,131,123,159,221,301,191,230,175,166,153,200,210,129,154,160,196,220,204,165,238,445,550,337,""
07,128,115,132,129,164,354,129,144,182,133,111,120,131,88,125,100,122,117,175,133,135,99,274,87,""
08,108,93,104,118,121,142,149,151,120,121,100,117,90,99,82,69,77,68,72,337,519,138,75,86,""
09,100,102,121,109,149,200,136,166,138,101,127,91,107,101,104,84,71,83,70,102,67,85,85,97,""
10,85,119,122,113,173,169,138,167,107,112,126,96,91,82,63,78,79,69,72,77,79,100,93,99,""
11,92,113,114,138,194,196,183,156,170,186,105,103,101,89,107,90,76,83,68,76,88,85,95,170,""
12,143,157,177,211,230,295,225,273,253,240,313,239,178,132,92,124,94,84,63,99,100,90,88,121,""
13,101,136,117,150,171,181,142,167,214,131,101,93,101,79,74,75,69,62,82,57,104,78,85,86,""
14,140,94,109,127,125,149,104,109,134,92,86,82,74,67,61,45,54,54,59,65,66,63,64,79,""
15,98,80,96,116,120,127,113,196,92,102,87,77,70,88,85,109,87,72,68,121,58,194,105,70,""
16,67,69,108,92,129,123,109,124,143,106,132,94,70,80,57,54,55,85,44,60,89,72,48,60,""
17,57,60,81,153,215,337,434,120,429,559,640,569,483,520,432,240,270,169,125,544,324,157,167,219,""
18,98,101,120,134,124,162,138,179,135,115,132,111,94,83,118,129,209,94,116,225,155,125,88,94,""
19,102,84,191,187,124,202,199,307,203,208,149,163,161,159,168,0,0,0,0,0,40,214,202,268,""
20,156,182,223,196,303,379,346,319,268,264,275,213,308,282,283,254,283,201,184,209,320,203,202,414,""
21,367,167,196,213,261,316,282,286,282,286,249,243,287,269,223,336,197,214,199,272,230,220,132,310,""
22,196,191,155,197,204,472,328,352,399,369,289,297,264,231,191,248,213,189,195,290,297,221,160,130,""
23,152,186,225,250,214,337,264,265,225,241,264,273,209,230,267,249,181,158,228,302,240,164,137,106,""
24,134,126,140,227,251,384,314,312,359,353,359,241,247,305,255,322,200,178,158,182,255,118,131,109,""
25,150,141,138,172,243,272,258,234,277,227,177,180,269,169,146,167,192,153,246,130,164,101,63,82,""
26,88,101,155,145,144,241,220,232,229,177,197,109,124,132,141,145,113,107,108,188,164,180,100,86,""
27,108,94,105,105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
