nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,7,4,7,4,4,5,2,2,3,2,4,3,6,0,3,3,0,1,2,0,1,6,2,4,""
02,5,2,3,2,0,1,5,3,6,8,3,2,2,4,2,1,2,1,0,0,2,0,2,4,""
03,2,4,2,1,8,2,6,2,3,4,6,3,5,4,3,1,3,0,4,2,1,4,1,4,""
04,8,4,4,2,1,3,7,5,5,2,4,0,2,1,1,4,0,0,1,1,5,4,1,1,""
05,1,5,5,3,1,1,5,6,10,7,10,8,2,4,4,4,2,1,0,2,2,8,5,3,""
06,1,3,3,3,15,10,1,5,3,1,0,3,5,2,4,3,1,1,3,0,2,3,7,11,""
07,0,6,0,8,8,5,6,7,9,7,4,4,5,5,2,1,1,1,1,3,3,6,7,5,""
08,3,6,4,1,6,10,7,4,4,7,3,5,5,5,1,2,1,1,1,2,1,6,5,2,""
09,2,3,4,4,0,3,9,5,5,5,4,0,3,1,4,0,1,2,0,1,4,2,5,7,""
10,3,3,6,8,4,3,5,5,6,2,4,5,0,3,4,2,3,0,1,1,3,4,1,6,""
11,4,3,5,5,5,3,6,9,4,3,4,4,1,1,0,3,1,1,3,2,2,4,5,2,""
12,1,4,4,7,2,6,7,8,3,3,6,1,2,2,0,0,1,0,2,3,0,3,5,2,""
13,6,4,8,5,7,9,11,7,4,3,4,6,3,1,4,1,0,2,3,1,8,5,4,6,""
14,5,8,1,2,4,7,4,3,5,4,5,1,2,2,4,1,0,5,1,2,2,2,6,1,""
15,0,3,7,4,2,4,3,4,9,5,2,5,1,3,0,2,0,2,0,5,1,5,5,6,""
16,4,0,7,9,2,6,3,13,6,2,7,2,4,6,2,3,0,2,3,1,4,3,5,0,""
17,1,4,10,12,4,9,4,4,11,4,3,7,1,5,1,1,6,5,0,2,3,2,4,2,""
18,5,5,2,6,8,1,8,8,5,4,2,5,6,4,1,1,5,4,1,3,8,6,4,2,""
19,6,1,4,10,3,6,9,6,8,7,3,4,5,3,5,4,3,0,3,3,4,4,3,6,""
20,4,5,7,6,5,2,10,9,6,5,5,3,1,2,2,3,0,1,2,2,3,3,2,6,""
21,6,4,7,8,4,5,3,6,2,2,5,4,3,0,1,3,1,2,1,5,2,7,4,5,""
22,7,7,4,4,5,5,4,1,7,9,5,5,3,5,2,1,1,0,0,3,1,8,9,4,""
23,5,5,1,6,4,4,6,13,8,3,3,3,3,0,2,1,2,2,3,2,2,1,4,4,""
24,5,5,8,4,10,9,4,5,4,4,1,7,5,6,0,1,0,4,0,4,5,2,4,6,""
25,4,4,4,4,5,8,1,4,6,7,5,9,3,2,1,1,2,0,3,1,2,2,1,2,""
26,3,1,9,7,3,6,4,3,10,2,8,2,4,2,2,1,2,1,2,3,2,3,2,3,""
27,3,3,4,7,2,3,5,9,10,6,5,4,4,3,0,0,0,2,0,0,3,10,11,7,""
28,2,6,3,9,8,5,3,5,11,6,4,2,2,4,4,0,1,0,0,0,4,3,1,1,""
29,0,7,8,4,7,7,3,6,4,3,1,0,1,0,0,5,3,0,1,1,3,1,2,2,""
30,3,3,3,5,6,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
