dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,12,15,17,21,15,23,16,32,28,29,56,40,43,42,35,47,43,37,36,28,32,24,18,29
02,17,15,15,15,28,24,20,31,34,31,45,38,56,41,48,44,45,40,29,27,36,25,10,10
03,12,12,14,23,15,22,19,29,29,40,38,44,33,45,37,46,48,35,40,31,24,24,17,28
04,10,17,21,30,24,22,28,37,37,36,30,27,59,57,37,29,35,37,29,35,22,15,15,10
05,17,32,13,30,27,28,21,25,42,28,53,35,59,46,43,36,58,37,24,24,26,30,18,14
06,14,9,16,19,27,21,19,31,36,46,41,50,41,38,41,38,29,43,24,27,26,27,15,11
07,13,19,27,28,21,23,19,27,37,26,34,35,47,46,51,35,23,39,21,21,27,23,13,50
08,10,13,21,25,23,20,29,28,34,32,38,53,44,46,43,43,43,20,30,24,31,17,20,14
09,15,19,19,9,32,30,30,20,31,38,40,43,39,51,35,33,31,28,36,25,27,22,15,18
10,6,7,21,36,39,33,22,35,35,29,33,33,66,52,52,45,34,23,26,27,20,19,12,26
11,8,10,24,28,50,33,24,30,22,22,32,42,39,41,52,49,28,37,28,25,16,12,7,9
12,5,30,43,53,62,47,34,31,33,33,52,56,76,94,84,73,71,57,25,22,21,13,15,10
13,15,36,77,92,128,70,64,39,36,53,67,84,114,117,119,98,76,44,24,19,26,20,18,17
14,12,49,72,76,92,91,40,32,23,28,44,47,60,41,60,42,37,22,27,20,23,12,13,6
15,9,17,18,18,29,18,20,26,22,27,27,34,36,46,54,31,41,46,23,26,54,20,17,21
16,7,9,17,20,19,34,30,18,17,33,37,38,38,27,34,41,39,37,33,29,55,26,16,12
17,14,15,5,15,15,19,17,20,20,30,19,34,37,41,40,41,36,26,20,29,18,17,18,11
18,11,12,11,15,17,16,13,16,36,22,30,28,34,36,40,29,26,41,25,31,18,24,9,-1,-1
19,-1,-1,9,17,20,15,12,24,21,32,28,25,34,41,39,34,41,112,92,23,19,15,14,10
20,15,11,15,21,21,22,19,24,35,28,20,32,39,39,47,44,50,38,19,33,18,22,16,5
21,11,11,16,12,12,14,17,17,22,23,27,22,29,37,35,30,44,24,39,37,25,23,46,22
22,24,18,26,23,44,24,38,44,59,42,45,36,33,47,42,38,38,52,40,30,28,26,11,16
23,13,23,9,11,17,24,21,14,21,30,34,34,32,37,31,38,40,34,33,33,23,17,50,36
24,13,11,15,18,14,16,18,17,31,24,34,36,42,42,26,51,50,47,42,32,28,34,65,26
25,14,14,13,9,15,23,20,22,28,31,45,48,44,48,33,35,24,22,19,6,5,-1,-1,-1,-1
26,6,12,16,16,17,19,19,29,30,35,36,40,49,37,51,49,38,40,35,32,34,23,57,76
27,8,14,16,11,21,25,16,18,29,27,29,26,31,38,38,43,10,13,13,12,7,3,5,8
28,3,6,4,3,3,4,6,21,26,33,33,25,37,35,41,32,35,22,29,27,26,57,74,7
29,11,12,4,19,11,14,20,15,23,30,17,27,38,37,43,37,28,28,20,30,20,16,16,8
30,16,12,11,16,11,28,22,23,35,29,27,30,39,23,30,30,38,32,29,23,23,20,15,10
31,8,10,8,9,8,10,21,31,23,21,21,25,28,42,45,33,38,41,24,18,24,19,92,16
