jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,6,11,18,22,14,27,24,39,31,39,49,23,-1,-1
02,42,32,32,29,23,10,10,11,8,5,6,9,20,20,40,19,37,38,51,75,74,72,37,54
03,49,64,67,71,54,-1,-1,17,15,4,5,10,13,39,45,37,65,62,41,88,107,76,67,51
04,184,94,72,53,28,29,17,7,7,6,6,13,31,40,40,66,91,117,120,138,145,156,158,11
05,40,38,25,22,18,13,9,9,17,10,9,17,16,32,38,44,62,51,72,82,76,60,80,55
06,36,-1,-1,-1,9,2,4,5,1,2,13,11,22,25,32,59,56,73,66,83,88,71,63,54
07,31,25,27,30,15,17,8,9,5,6,3,16,14,10,23,47,57,71,74,79,81,75,75,47
08,33,36,23,12,10,5,8,9,6,4,12,9,25,29,31,19,26,38,43,39,38,40,40,43
09,31,17,19,23,22,10,-1,-1,3,10,-1,9,17,25,28,28,31,33,32,41,41,23,32,34
10,26,15,18,13,10,2,2,-1,8,7,6,14,12,13,22,26,39,38,40,45,37,20,27,20
11,24,8,16,6,12,15,8,7,6,9,6,7,12,16,9,17,26,21,26,34,35,21,41,19
12,44,39,20,20,25,22,-1,-1,-1,2,5,8,9,17,20,15,9,12,34,37,28,14,19,32
13,39,2,724,18,7,16,15,-1,6,3,3,3,7,6,12,13,22,22,33,36,36,51,30,21
14,18,40,26,7,-1,-1,7,11,-1,-1,3,8,4,3,21,4,11,11,18,11,17,10,19,10
15,32,51,33,25,21,5,4,7,4,4,3,11,13,23,35,29,39,19,28,38,35,36,24,24
16,55,30,17,12,9,5,2,4,4,5,8,10,14,20,15,20,33,28,16,24,44,29,46,43
17,41,28,16,19,12,13,-1,-1,-1,-1,12,14,14,9,16,5,5,44,52,55,46,18,33,49
18,35,18,5,11,3,10,8,5,3,3,3,10,11,12,8,13,39,52,39,23,10,27,34,21
19,23,12,6,15,9,10,3,5,2,3,4,11,12,13,6,13,9,14,40,24,15,24,37,18
20,25,21,18,28,20,12,8,6,6,-1,4,12,13,14,22,9,16,31,24,48,44,27,39,38
21,43,15,13,17,14,5,3,2,7,2,-1,-1,-1,13,29,25,43,51,53,52,47,33,32,25
22,18,15,7,25,9,6,6,4,10,5,8,-1,15,32,24,29,35,39,45,52,45,35,22,20
23,17,11,5,3,4,6,7,6,9,2,9,8,18,33,11,30,34,44,41,22,29,39,16,25
24,6,17,8,15,2,4,3,2,1,5,10,14,10,20,24,15,18,24,29,22,28,30,27,24
25,-1,20,21,27,15,11,9,10,8,5,8,3,14,30,29,35,34,31,40,57,37,41,22,-1,-1
26,29,21,30,31,21,10,13,10,8,9,6,3,14,21,27,33,44,41,61,53,57,38,44,35
27,40,42,21,22,15,13,9,8,7,6,16,12,18,27,22,31,35,48,58,41,47,26,36,26
28,29,31,17,12,18,6,14,6,4,5,8,15,15,24,22,29,42,22,47,34,31,36,48,36
29,31,18,-1,5,3,13,11,9,6,9,5,13,13,22,28,35,29,34,49,40,27,30,22,25
30,14,12,7,8,13,10,2,2,8,9,6,11,14,14,30,18,42,45,44,50,27,26,23,18
31,8,9,2,6,1,-1,6,1,4,7,9,8,11,14,28,26,26,27,28,27,23,27,21,20
