feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,15,14,12,10,13,9,8,12,8,8,8,13,12,14,15,11,13,17,15,19,27,18,16,20
02,18,15,11,8,11,11,11,8,7,8,-1,6,10,12,17,16,17,19,23,19,18,22,18,20
03,17,17,14,10,8,11,10,10,6,5,7,7,15,9,10,16,22,22,21,18,24,21,23,23
04,23,17,16,14,10,10,9,9,8,10,7,7,9,11,14,18,13,12,22,21,22,21,21,18
05,18,18,13,11,10,10,10,7,-1,-1,12,9,11,10,13,16,13,15,17,19,18,14,15,13
06,26,20,13,11,10,11,11,8,7,7,12,13,11,14,13,13,19,20,15,22,16,16,22,14
07,16,10,10,11,11,7,8,6,8,5,4,12,12,15,9,19,19,25,26,26,21,20,18,14
08,17,12,11,10,10,10,9,7,8,6,10,12,11,8,16,13,16,15,17,12,17,26,22,14
09,20,19,16,12,12,11,11,9,6,8,8,12,9,11,15,10,14,13,17,18,22,18,19,28
10,22,15,10,14,14,10,6,6,10,9,8,8,13,12,12,12,12,17,19,17,16,22,19,14
11,22,22,17,10,10,11,9,9,8,-1,7,8,7,14,12,14,12,23,19,23,17,17,19,13
12,23,14,17,14,14,10,9,9,8,7,7,10,8,11,15,16,16,16,17,18,20,18,24,23
13,19,18,13,10,11,11,8,6,-1,-1,10,10,10,16,16,10,19,17,20,27,24,19,28,23
14,11,11,11,13,7,9,9,5,8,8,10,13,11,14,12,13,13,17,16,19,13,15,13,12
15,13,16,10,12,9,-1,-1,-1,-1,-1,-1,10,13,14,11,14,11,14,15,16,14,10,16,14
16,20,16,12,13,8,11,11,4,-1,-1,6,10,10,12,13,13,15,16,17,16,18,18,20,17
17,23,12,14,11,11,8,6,9,6,-1,-1,-1,-1,16,13,13,15,16,20,19,14,17,14,20
18,22,21,17,12,13,10,7,9,7,8,7,7,9,14,14,11,16,14,18,23,25,23,17,18
19,18,23,11,10,12,12,4,7,4,5,6,10,10,-1,9,12,14,16,19,29,28,17,18,20
20,10,15,14,14,11,7,6,6,4,5,4,6,12,11,13,10,11,15,19,18,23,26,17,27
21,24,14,8,11,12,10,-1,6,9,6,8,7,11,11,14,19,15,16,18,26,25,24,21,20
22,18,18,12,9,12,11,7,6,6,6,10,6,9,13,16,14,13,14,13,25,23,20,28,20
23,11,10,14,12,4,10,6,5,5,9,7,8,12,9,12,13,16,16,14,18,27,23,27,19
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,9,13,11,18,11,11,5,-1,-1,-1,-1,-1,-1,-1
25,16,14,9,11,11,11,7,8,4,4,3,11,10,11,14,14,15,15,20,22,11,20,31,17
26,17,9,12,10,10,9,7,10,7,4,7,10,10,13,9,13,10,12,16,23,21,17,22,16
27,18,12,13,11,12,8,10,11,6,-1,4,7,11,14,18,17,18,24,18,20,21,21,20,27
28,17,16,13,6,8,10,-1,-1,-1,2,-1,-1,10,14,15,15,17,20,23,20,15,18,21,16
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
