Dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,13,17,64,42,51,33,21,29,25,38,18,11,20,8,17,4,8,8,10,13,17,26,10,9
2,6,49,23,33,71,34,37,42,14,26,72,49,18,12,16,20,13,6,16,19,15,16,15,6
3,9,12,13,38,35,17,85,28,11,37,10,62,8,22,18,8,6,7,9,9,15,23,16,26
4,9,29,28,25,23,23,30,23,16,12,26,17,14,7,8,18,22,19,8,9,25,26,41,7
5,7,22,19,40,42,29,58,38,13,22,21,16,13,12,5,9,12,8,11,5,11,8,37,18
6,16,12,10,31,25,23,28,85,30,19,14,9,29,10,28,23,12,10,12,6,30,8,9,22
7,8,22,27,20,33,33,41,27,21,26,28,36,21,6,9,9,9,5,6,19,15,13,25,4
8,8,22,31,34,20,35,22,30,19,10,23,22,18,9,10,7,6,18,17,15,17,26,22,24
9,15,26,17,32,52,28,16,26,9,17,8,11,9,9,8,3,7,13,6,9,4,10,11,3
10,23,31,14,36,31,30,28,59,20,25,19,20,7,4,17,4,5,15,12,17,16,17,14,10
11,18,23,33,32,54,21,59,45,20,-1,-1,14,15,10,-1,-1,8,11,29,10,18,15,14,11
12,21,29,49,47,49,58,55,69,41,27,16,22,8,14,13,14,24,12,44,24,16,47,114,50
13,78,89,96,94,91,51,80,159,105,85,26,15,14,8,15,27,29,54,64,77,149,229,222,139
14,166,165,156,125,115,120,188,202,135,86,67,22,17,22,32,28,18,13,58,44,24,32,20,11
15,11,30,30,22,21,30,22,36,28,14,30,25,24,6,11,3,2,4,10,9,8,12,10,4
16,6,26,7,35,35,27,18,16,13,22,31,20,12,17,14,4,3,5,3,3,10,24,8,2
17,9,13,15,12,40,13,14,43,13,45,27,87,52,21,11,9,3,3,20,-1,7,6,8,3
18,2,11,9,25,19,23,52,62,42,-1,20,10,13,7,7,4,4,3,2,5,7,7,7,4
19,10,4,5,9,26,13,19,15,24,11,7,41,5,15,8,2,3,10,5,6,9,9,7,3
20,4,11,18,18,22,18,12,64,35,21,15,11,12,10,10,12,5,6,4,5,6,4,9,3
21,22,5,13,23,17,12,20,23,36,43,19,8,11,8,8,7,10,3,3,7,5,11,9,2
22,6,4,8,31,36,14,10,24,23,24,25,25,18,25,7,12,9,19,6,8,13,12,34,8
23,8,7,6,12,38,19,28,16,16,25,26,12,20,13,13,8,2,3,5,3,5,10,10,2
24,2,3,14,9,12,23,27,26,9,13,16,13,12,5,2,5,7,4,2,9,5,7,7,3
25,3,12,6,26,6,8,12,27,13,13,20,8,16,10,5,4,23,7,5,2,5,4,4,2
26,6,7,18,7,22,19,13,29,34,27,21,26,7,7,5,3,6,2,3,4,6,6,6,4
27,2,4,6,13,18,15,31,14,23,22,24,8,9,11,8,5,4,4,3,8,8,5,6,3
28,3,12,7,9,13,13,15,14,14,13,16,8,16,10,6,3,10,7,5,5,9,6,5,2
29,6,4,5,12,13,11,13,10,8,17,27,8,18,4,10,6,8,16,8,4,6,4,12,6
30,6,8,5,18,35,13,17,29,13,16,26,23,19,5,15,11,6,5,5,3,10,23,14,4
31,3,9,14,19,16,25,16,27,20,30,21,25,14,11,12,13,41,12,2,5,9,5,9,7
