Jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,11,9,8,11,8,12,10,15,8,14,16,17,26,17,14,14,11,18,13,13,33,94,68
2,4,6,7,5,6,4,5,10,14,23,13,26,20,12,28,15,9,15,11,11,7,7,9,2
3,4,2,6,7,1,4,6,9,14,19,22,22,29,27,29,22,29,28,55,71,49,54,43,24
4,6,3,3,4,3,3,9,5,3,3,4,3,1,6,15,5,8,9,10,8,3,4,5,6
5,5,117,25,1,4,4,1,3,7,5,12,6,4,4,7,5,7,6,8,6,6,8,1,3
6,4,4,2,4,1,3,24,15,11,22,20,23,37,23,21,10,11,7,14,6,10,12,2,10
7,4,13,3,5,4,8,7,7,13,12,14,25,11,13,21,16,13,11,8,5,5,9,11,9
8,2,4,7,-1,10,2,11,11,12,10,12,11,14,16,11,18,23,17,7,11,16,6,5,8
9,3,2,2,5,7,5,4,6,8,7,14,9,21,9,8,21,8,10,12,7,10,7,3,7
10,5,8,4,7,19,4,11,5,9,16,14,12,18,21,8,18,15,15,10,11,6,8,12,4
11,4,6,1,1,6,3,25,38,34,31,37,19,27,42,27,18,15,17,15,12,12,3,10,3
12,5,2,10,2,10,4,7,10,7,12,16,13,12,16,23,23,21,9,19,12,11,55,135,6
13,6,15,8,1,4,4,5,2,5,4,7,11,13,12,6,9,19,11,12,12,8,5,2,4
14,-1,3,3,3,2,4,3,2,8,4,8,8,12,7,9,8,12,9,10,3,9,6,6,112
15,1,2,3,2,5,6,5,4,7,6,7,3,5,5,5,18,11,7,10,6,4,5,3,-1,-1
16,1,4,1,2,3,8,8,2,5,8,8,5,8,8,6,3,11,9,7,42,18,18,1,1
17,-1,5,2,3,4,4,7,4,8,11,6,8,4,9,13,8,46,12,5,5,4,4,8,5
18,-1,2,1,5,11,8,7,7,9,15,16,17,21,12,16,11,12,9,16,15,10,8,1,81
19,12,5,6,6,1,6,4,3,8,6,5,23,17,5,8,8,4,8,7,10,12,21,25,5
20,2,3,2,3,2,4,1,2,6,5,15,12,12,10,9,9,17,12,11,5,5,4,4,3
21,4,8,4,5,11,2,4,7,4,6,13,4,5,7,9,5,10,13,8,9,6,2,4,3
22,4,3,2,1,4,-1,6,6,2,4,10,5,7,6,6,11,6,3,8,9,6,5,7,2
23,2,2,5,2,3,4,1,3,6,8,10,6,14,6,10,9,11,9,6,9,5,7,5,2
24,2,1,4,3,7,6,2,2,6,3,10,4,10,14,9,5,10,8,2,8,6,28,28,8
25,4,3,-1,3,4,5,5,6,5,5,4,3,8,6,11,7,10,8,7,6,33,19,3,2
26,5,3,4,1,3,3,7,3,5,9,9,6,8,7,11,14,11,11,13,5,10,5,2,5
27,3,1,2,8,4,5,3,6,6,5,9,6,7,7,4,4,12,9,8,6,6,2,2,6
28,1,1,2,4,11,3,3,7,5,8,4,6,6,4,10,15,7,11,10,4,-1,2,3,23
29,2,4,4,-1,2,74,57,45,67,79,77,71,54,64,15,6,10,6,6,5,9,4,4,2
30,15,68,31,47,7,6,5,6,13,11,7,11,6,16,12,10,7,4,5,7,4,2,-1,45
31,2,2,-1,2,5,5,2,3,3,5,7,9,4,10,9,6,5,20,-1,3,1,1,2,36
