Jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,8,5,3,20,20,19,32,31,47,70,37,65,58,57,60,58,44,47,28,31,27,19,21,5
2,41,17,27,7,21,18,29,32,48,80,49,49,44,55,46,69,37,28,34,114,49,25,15,22
3,30,12,9,7,18,16,15,26,30,32,34,35,41,37,39,40,48,40,5,16,25,11,22,27
4,88,319,212,45,18,3,12,18,18,22,31,19,42,37,25,39,23,32,21,13,13,8,21,11
5,14,15,10,8,10,13,27,13,31,19,34,33,39,31,43,46,25,43,17,14,18,6,18,5
6,6,10,1,10,7,5,16,13,20,28,28,28,28,41,28,22,24,19,27,26,25,190,41,15
7,5,1,3,19,16,18,41,40,45,45,33,48,50,29,33,28,23,25,21,26,30,15,8,6
8,5,6,12,24,35,44,64,44,56,85,73,71,77,88,60,30,21,10,20,24,15,12,11,60
9,12,5,16,18,22,27,28,44,43,62,52,47,54,34,41,39,33,11,15,11,6,5,8,4
10,8,8,10,6,5,9,20,15,18,20,29,36,19,18,15,27,28,18,34,53,4,4,5,2
11,3,5,3,10,16,15,16,20,24,31,32,41,37,21,34,28,18,21,7,17,19,32,73,14
12,8,12,8,10,13,17,18,16,28,44,29,36,34,38,26,25,26,11,14,39,13,16,14,6
13,4,6,7,19,21,16,27,31,32,45,40,43,50,49,23,40,32,32,20,13,11,18,4,7
14,1,11,5,10,12,24,28,35,41,39,28,41,39,39,36,42,39,29,43,28,41,10,45,64
15,16,36,13,7,28,31,34,44,45,43,57,42,48,54,44,29,41,27,30,38,16,16,16,18
16,9,11,18,8,16,31,27,35,34,48,33,52,41,51,24,12,16,28,15,20,12,23,12,7
17,15,7,7,19,29,23,33,56,44,57,43,38,61,47,45,39,50,29,26,67,55,11,7,13
18,6,16,10,12,18,24,40,31,31,36,48,47,53,53,38,36,34,20,23,25,5,2,9,3
19,-1,8,2,19,18,24,38,33,43,49,46,52,28,49,35,34,32,22,20,13,14,9,6,12
20,12,24,27,17,21,22,35,40,34,32,44,40,42,33,22,16,25,31,24,19,15,6,7,6
21,3,3,5,9,14,15,12,22,22,23,28,23,32,24,19,35,31,34,20,13,8,5,16,6
22,8,14,6,14,25,26,38,28,47,42,52,51,45,43,49,37,34,31,33,20,19,63,17,15
23,7,3,8,15,32,24,32,33,52,14,13,12,5,9,8,10,10,22,22,31,40,50,35,43
24,49,39,29,28,23,36,38,15,20,11,5,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,-1,-1,11,8,16,17,27,33,56,46,47,64,52,48,13,14,27,9,17,13,8,17,6,2
26,1,4,7,3,24,32,36,60,51,51,56,69,39,26,28,24,16,16,20,7,5,4,12,3
27,1,5,7,13,24,29,51,53,66,79,74,66,49,40,26,28,25,27,12,14,6,3,2,8
28,1,10,10,12,26,36,55,64,91,85,73,74,70,41,29,40,29,12,20,10,12,8,8,64
29,41,1,9,19,28,48,56,59,82,73,81,80,61,41,31,29,32,20,22,14,7,7,7,3
30,2,2,7,7,26,27,53,54,38,60,50,46,38,30,34,52,25,17,28,10,28,9,7,8
31,7,7,8,11,13,30,49,47,59,58,62,66,42,40,22,30,32,45,45,16,31,9,7,4
