Aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,48,59,67,85,79
2,77,110,80,78,109,129,100,72,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,63,61,44,48,35,33,38,56,65,54
8,61,67,83,73,91,80,73,74,65,62,66,61,71,53,63,31,14,36,105,100,32,64,69,65
9,85,93,75,79,94,91,74,72,88,72,61,48,72,51,67,44,57,36,87,46,37,52,61,83
10,82,85,100,91,112,75,91,84,89,64,69,62,59,71,66,46,37,48,49,37,44,59,95,87
11,85,76,85,70,120,90,117,-1,30,3,188,35,112,111,54,55,41,40,44,106,48,83,80,83
12,67,55,83,110,106,112,100,89,98,111,116,74,82,85,84,67,23,83,88,52,73,107,78,108
13,79,98,109,117,143,107,120,119,131,86,56,-1,25,76,86,102,95,81,79,52,38,63,64,61
14,68,56,68,84,101,75,95,81,105,99,42,59,57,48,54,48,53,48,23,36,43,55,81,69
15,71,67,87,73,83,93,57,75,85,60,48,51,58,51,57,49,37,39,26,32,50,64,58,67
16,62,61,73,84,83,58,68,73,77,58,49,31,39,34,45,39,35,24,36,43,43,72,52,55
17,45,52,61,55,79,74,58,61,63,44,44,52,54,44,43,61,19,75,35,41,48,52,74,47
18,62,38,64,51,89,79,57,46,57,57,43,32,46,55,52,49,34,37,55,42,38,48,61,41
19,63,52,46,59,74,79,85,80,62,46,42,46,42,52,52,49,51,35,30,31,35,46,49,46
20,65,43,44,65,67,60,41,61,69,62,67,53,40,56,104,41,46,55,34,24,34,40,40,50
21,48,40,34,75,68,73,41,44,72,57,51,27,23,62,57,52,46,43,41,33,31,46,46,56
22,61,47,61,54,76,57,70,45,56,19,31,23,57,64,60,64,35,34,45,43,53,50,56,61
23,61,52,67,60,92,63,51,61,37,66,56,37,51,50,52,46,39,42,42,36,47,56,93,62
24,63,83,70,72,75,64,71,63,70,74,102,37,49,72,48,37,38,61,33,32,32,45,67,62
25,60,61,56,64,80,57,56,53,62,51,46,35,43,44,54,56,36,22,46,49,48,53,54,59
26,45,60,86,58,81,49,48,66,61,70,45,43,61,72,43,54,30,49,35,52,52,40,43,49
27,48,38,53,77,66,52,59,54,56,73,50,55,56,58,54,51,43,37,38,34,31,45,55,46
28,40,39,57,58,62,52,60,50,69,72,41,45,41,50,56,42,39,37,38,31,44,59,43,56
29,49,39,61,51,69,52,60,84,67,68,36,33,43,54,56,36,41,47,39,42,40,39,44,36
30,37,38,37,56,64,68,57,72,73,63,45,38,51,52,52,40,48,40,41,19,56,55,56,34
31,51,36,50,69,73,46,73,77,128,102,198,60,54,63,50,38,37,31,23,30,44,44,31,38
