Aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,27,24,16,17,12,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,76,-1,95,91,78,79,73,48
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,20,15,19,14,-1,-1,32,22,-1,-1,-1,-1,-1,77,87,75,59,56,33
4,37,24,25,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,-1,-1,-1,80,81,75,65,49,49
5,-1,-1,-1,20,18,18,-1,-1,-1,-1,-1,-1,28,40,61,58,72,68,75,71,76,57,55,42
6,22,29,21,15,15,15,23,17,17,-1,18,18,26,38,58,51,60,55,62,56,73,59,43,42
7,31,24,21,15,17,12,15,15,14,-1,12,19,57,58,64,57,59,78,64,70,50,50,47,52
8,-1,-1,-1,20,20,21,14,11,12,14,10,20,15,21,29,66,63,60,69,71,64,68,50,41
9,27,16,18,19,10,19,15,13,12,13,8,11,14,22,28,-1,47,44,48,40,39,45,32,26
10,22,22,23,13,12,16,14,13,10,10,8,19,17,16,31,36,36,41,34,33,39,31,30,27
11,23,20,11,17,15,13,15,10,12,8,13,11,33,39,45,43,30,45,34,44,31,32,23,27
12,46,29,32,20,24,15,13,10,-1,8,15,20,40,34,53,40,42,60,49,59,67,51,68,50
13,43,30,22,29,20,16,17,19,13,15,13,21,32,37,45,59,64,53,55,80,81,72,69,53
14,41,26,16,23,17,11,14,13,10,-1,12,11,20,27,36,51,56,57,65,67,64,57,43,43
15,23,36,11,20,17,13,16,14,-1,-1,10,11,16,14,-1,44,40,42,46,51,45,50,45,18
16,21,26,17,16,14,-1,-1,10,9,13,12,19,19,23,18,-1,-1,52,46,58,53,56,29,24
17,25,22,17,13,16,15,16,19,17,11,12,18,20,24,37,40,35,41,38,26,30,25,23,20
18,32,39,24,22,14,21,16,17,13,13,15,25,31,40,57,15,27,25,28,39,38,38,48,27
19,35,19,16,22,11,14,17,14,-1,14,21,28,26,20,33,50,49,61,41,68,61,53,54,47
20,17,24,12,18,18,10,11,-1,11,-1,17,20,-1,24,27,37,40,42,32,37,35,25,34,23
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
