Aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,12,16,7,20,40,32,38,26,36,32,38,29,21,25,15,11,17,7,10,8,6,5,9,11
2,21,7,9,24,19,33,39,32,28,25,-1,-1,-1,22,15,7,12,13,10,9,10,9,10,14
3,12,22,14,16,28,34,30,30,26,16,14,15,17,15,14,17,13,10,7,11,15,17,11,15
4,15,10,15,15,20,40,26,28,20,28,22,19,13,12,14,15,12,18,9,10,8,5,9,9
5,13,11,13,9,12,24,23,23,16,23,21,16,13,18,24,19,17,15,12,9,25,26,17,13
6,17,18,17,21,23,23,46,39,37,27,23,19,16,29,22,23,14,18,21,18,15,12,25,23
7,32,15,16,26,32,20,32,43,43,31,22,24,29,27,17,31,12,15,9,15,11,8,8,7
8,18,15,25,26,31,33,55,50,58,47,28,26,29,30,26,17,24,17,15,13,10,7,6,12
9,-1,11,11,20,21,25,26,37,34,30,28,29,19,26,26,11,19,21,8,10,14,7,11,7
10,11,13,11,17,18,22,28,20,17,14,19,17,24,24,17,20,7,21,8,11,13,18,14,11
11,7,8,11,10,17,16,18,24,23,20,15,14,25,12,19,29,21,29,18,17,19,10,13,1
12,21,16,12,21,18,27,20,20,22,26,22,19,26,45,50,41,30,33,36,39,35,32,20,11
13,23,26,20,33,21,19,17,32,23,16,17,27,25,20,30,21,24,30,25,21,17,15,9,14
14,14,15,16,21,30,16,8,19,13,16,18,18,7,21,21,18,20,17,19,17,19,18,11,13
15,15,15,12,16,20,18,21,13,17,10,11,21,20,19,14,21,11,18,11,14,11,5,14,9
16,1,7,11,10,17,15,16,17,23,10,13,15,20,-1,-1,-1,-1,-1,-1,-1,-1,7,14,6
17,11,7,7,22,17,16,18,21,17,20,12,19,12,14,17,12,5,6,8,6,10,8,11,7
18,3,8,9,15,13,22,36,16,12,22,17,17,9,12,11,10,8,10,-1,-1,-1,-1,-1,-1,-1
19,11,11,5,15,12,11,15,16,12,17,25,18,11,13,15,13,11,17,18,10,14,18,16,5
20,14,5,10,10,14,11,16,21,19,18,18,20,17,16,15,9,15,16,19,15,11,8,9,5
21,20,13,17,17,12,14,23,18,14,14,12,11,8,13,20,16,11,15,8,10,9,7,12,7
22,6,8,14,12,15,18,18,19,13,17,20,17,23,20,16,15,12,21,7,9,10,8,2,10
23,5,4,11,17,15,11,15,15,15,14,14,16,8,7,15,13,8,9,8,9,10,10,3,9
24,13,8,14,15,21,21,21,41,22,23,21,21,16,26,6,20,9,13,18,19,17,15,5,7
25,25,13,10,18,7,17,10,11,14,15,15,10,10,22,15,9,15,11,7,17,6,9,5,9
26,1,13,6,8,15,12,9,13,19,11,19,20,14,19,16,14,8,16,7,9,7,5,5,5
27,4,11,8,16,12,8,12,20,24,20,18,25,18,12,13,17,14,15,8,9,10,9,9,7
28,15,10,13,13,18,16,9,7,12,13,14,10,13,17,16,19,11,15,11,9,10,8,8,13
29,12,4,12,22,19,20,15,38,23,14,26,18,27,21,17,22,13,8,9,11,8,9,7,22
30,5,10,13,17,15,21,20,21,20,27,25,10,20,22,16,8,11,14,10,8,9,7,12,3
31,15,7,10,13,19,17,16,7,23,21,17,22,22,25,14,17,8,10,13,11,9,5,4,10
