Nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,79,47,119,85,87,99,64
9,42,37,72,175,134,66,117,92,186,204,245,246,169,88,85,167,60,117,77,69,31,76,69,18
10,8,11,7,27,172,74,106,123,72,71,87,59,46,52,99,80,43,67,58,47,86,32,92,148
11,163,82,100,58,78,107,154,289,144,199,164,85,129,123,85,98,89,64,39,66,64,57,44,72
12,16,37,15,60,99,95,110,127,76,49,74,32,74,105,91,75,163,3,-1,41,157,135,88,240
13,340,176,20,108,212,377,350,249,403,383,133,283,190,121,194,318,94,239,473,353,305,237,308,86
14,-1,-1,-1,-1,8,258,400,358,447,476,432,468,437,457,408,472,468,427,285,137,122,141,391,119
15,87,61,100,98,131,58,119,140,115,206,152,107,230,128,77,78,39,98,25,97,118,67,47,67
16,227,56,50,49,39,70,121,166,123,123,41,98,59,61,78,83,46,50,70,17,60,9,62,48
17,32,11,25,77,100,48,69,67,34,72,66,76,95,62,67,57,58,47,51,50,58,78,33,27
18,42,37,53,293,448,394,277,148,75,46,116,67,99,70,75,72,66,34,55,68,100,130,192,93
19,157,91,160,196,298,134,157,106,180,85,196,152,128,92,137,123,63,68,39,63,62,44,50,53
20,13,12,14,47,45,174,193,149,228,154,133,163,198,172,224,383,258,242,217,242,190,159,128,46
21,68,159,94,151,85,248,394,334,411,311,366,380,346,343,398,393,495,355,198,278,200,433,148,215
22,227,65,159,170,284,91,149,118,116,99,88,123,100,98,112,127,87,97,108,85,125,140,107,100
23,38,15,12,74,87,40,91,87,106,91,107,148,76,74,97,135,122,126,60,144,70,75,195,221
24,150,191,142,87,144,111,220,272,274,336,376,410,489,396,324,314,258,164,161,353,219,511,216,136
25,186,103,136,41,77,67,116,127,145,132,131,107,165,118,137,105,65,137,62,111,68,107,141,48
26,27,30,44,141,229,519,377,154,328,191,214,121,147,113,90,120,70,177,46,141,127,107,159,146
27,73,56,130,137,168,199,221,171,197,177,196,202,211,198,232,168,151,165,154,155,147,118,77,29
28,48,49,35,67,134,134,187,181,145,144,169,202,181,242,302,221,337,277,392,162,204,186,109,124
29,121,193,169,184,203,287,278,259,366,264,292,261,237,150,149,138,163,169,151,128,130,264,188,224
30,133,95,171,197,122,66,83,95,87,126,90,132,129,47,98,145,73,92,104,59,42,83,46,16
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
