Nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,6,10,10,-1,-1,-1,9,4,3,5,3,5,11,-1,-1,3,8,4,7,3,8,7,5,3
2,8,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,7,4,8,4,9,8,10,5,12
3,10,10,5,3,6,3,8,-1,4,2,4,2,2,2,3,-1,6,2,5,5,4,7,3,3
4,-1,-1,-1,3,2,3,2,2,1,5,4,7,6,2,3,2,2,4,5,3,7,2,8,5
5,4,5,2,2,4,3,-1,-1,3,4,6,4,3,5,3,4,3,5,6,8,4,9,7,8
6,8,5,4,6,4,3,6,-1,-1,4,-1,4,3,3,1,5,1,2,8,8,5,10,8,4
7,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,15,14,6,6,-1,-1,-1,-1,-1,-1,6,6,5,10,2,-1,6,12,14,11,15,7,7,9
9,10,8,10,4,4,2,1,4,5,5,6,6,5,8,5,4,9,6,11,12,8,8,5,7
10,7,2,6,8,5,5,2,2,-1,4,7,7,8,6,3,7,3,11,6,8,9,7,6,5
11,6,9,11,5,8,2,5,4,8,4,4,3,3,10,10,8,5,7,10,6,8,8,7,6
12,14,3,2,1,11,-1,7,2,4,3,5,4,4,8,6,-1,6,6,10,6,8,8,7,8
13,13,8,4,7,4,4,2,5,2,6,9,6,11,6,-1,2,3,2,7,11,10,9,7,9
14,13,5,4,5,4,1,7,3,3,5,3,5,11,6,14,11,8,11,11,15,14,10,12,10
15,5,6,-1,11,8,7,3,1,5,3,-1,9,3,9,4,8,11,6,9,5,10,6,9,4
16,-1,-1,4,4,8,5,12,6,4,14,8,6,8,9,5,5,4,-1,12,10,6,11,14,10
17,18,14,40,-1,20,9,8,7,7,14,11,7,11,-1,-1,14,-1,10,12,11,8,7,12,13
18,20,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,13,8,20,19,14,12,20,18
19,36,36,18,-1,-1,-1,-1,14,14,12,7,11,21,11,-1,1,4,25,13,18,22,23,38,28
20,9,9,6,8,4,12,5,-1,6,6,2,2,6,6,-1,-1,-1,9,11,15,5,8,13,8
21,10,6,11,-1,-1,8,8,-1,8,6,8,8,8,6,4,9,4,5,7,4,4,10,10,7
22,3,4,4,2,1,2,2,1,1,3,6,3,4,4,3,7,1,1,10,8,6,7,7,8
23,6,11,-1,8,4,3,5,1,4,3,4,6,2,1,2,1,2,4,5,2,3,7,2,7
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
