Dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,67,80,52,54,76,84,88,125,38,21,22,10,15,3,5,4,5,18,4,19,24,6,3,5
2,6,3,3,8,20,25,101,68,59,72,35,23,22,15,6,3,3,16,52,54,71,62,42,46
3,40,39,87,86,77,85,123,141,129,79,35,49,26,32,50,38,22,47,75,84,72,56,42,58
4,37,26,22,19,36,61,67,90,130,54,71,82,138,114,92,98,77,60,66,94,91,57,11,56
5,82,6,7,5,6,9,40,80,126,45,15,21,27,25,48,24,30,35,35,10,8,3,10,3
6,5,17,26,27,22,31,41,21,11,14,13,13,14,16,7,11,9,14,16,24,49,60,56,45
7,12,12,6,4,7,12,14,31,56,57,15,13,6,15,5,11,2,9,18,5,21,61,72,74
8,67,76,52,66,69,48,61,76,65,97,70,67,86,73,55,49,40,26,33,22,20,9,8,9
9,31,6,11,11,32,25,14,19,12,13,7,21,42,31,23,30,27,50,55,28,74,100,95,111
10,131,109,61,49,67,93,50,131,188,156,134,117,100,82,59,10,11,25,23,45,46,24,88,67
11,27,64,69,51,80,60,86,94,63,77,134,65,88,77,66,63,81,87,140,90,146,196,192,148
12,113,227,153,117,115,157,155,178,183,160,110,19,25,24,34,45,11,88,139,71,15,32,118,118
13,112,55,76,97,140,146,175,163,170,175,167,99,61,5,5,5,9,7,8,10,10,51,67,162
14,164,163,134,29,17,21,65,129,147,146,185,182,141,88,85,82,81,45,40,23,24,22,63,66
15,81,67,46,46,59,53,57,36,47,18,4,6,5,6,47,69,6,1,38,78,88,55,95,112
16,116,89,97,116,103,106,165,154,160,176,182,188,161,115,5,5,2,5,5,36,14,39,90,99
17,128,124,90,78,46,26,49,17,35,85,80,48,74,49,61,46,63,60,90,54,68,81,49,16
18,4,6,7,5,6,2,2,5,6,1,7,11,12,12,8,15,11,10,8,10,21,10,10,3
19,13,2,3,3,5,6,10,10,19,37,13,19,51,11,12,4,2,10,31,22,28,34,30,21
20,14,16,24,15,15,15,11,8,3,3,6,14,15,18,17,10,7,13,88,102,98,72,142,168
21,151,152,120,108,97,115,94,90,99,115,68,37,21,7,7,9,44,136,55,110,130,113,118,136
22,120,114,92,64,119,120,102,105,103,60,6,6,29,3,6,10,-1,-1,6,8,6,11,30,16
23,9,20,15,19,22,7,67,69,24,28,43,60,52,71,60,40,22,95,62,4,4,3,2,9
24,34,40,49,40,8,38,48,4,4,8,56,99,9,2,5,4,1,2,9,5,10,19,55,68
25,84,110,117,160,48,2,4,6,13,7,3,9,6,31,66,102,78,97,87,62,49,35,34,66
26,45,70,72,49,40,23,67,13,7,24,2,4,15,14,8,-1,1,21,74,2,2,8,41,80
27,98,93,99,72,47,76,9,6,12,8,60,124,150,104,110,114,134,156,105,50,26,48,67,63
28,27,45,45,88,25,59,63,43,13,1,3,19,18,11,22,20,24,4,1,1,5,2,60,78
29,71,76,65,95,93,78,57,49,28,39,36,43,60,26,64,73,72,68,82,108,98,60,101,33
30,3,3,1,45,140,148,99,57,69,112,18,1,3,3,5,2,1,2,3,4,12,12,12,12
31,104,17,30,23,22,18,7,6,7,105,41,4,4,5,5,12,2,5,17,17,30,32,53,57
