Dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,3,5,3,9,7,5,6,4,2,6,5,13,9,10,25,7,11,5,8,6,10,18,13,3
2,3,4,3,1,8,1,-1,-1,7,1,14,7,14,21,17,10,16,19,11,6,6,7,-1,5
3,21,2,5,5,6,6,6,12,11,7,5,7,8,18,9,17,15,9,9,14,18,28,34,22
4,8,11,11,11,12,21,15,10,5,4,12,12,16,19,27,8,6,5,12,10,11,3,13,7
5,19,20,11,20,14,9,9,13,3,9,5,8,11,19,17,14,26,18,22,18,19,29,30,29
6,18,13,14,9,3,14,6,-1,3,6,8,11,8,15,19,13,16,16,23,28,16,10,22,16
7,-1,6,3,4,2,5,-1,4,6,4,3,8,10,8,6,10,15,15,8,8,5,9,10,-1,-1
8,13,5,6,3,1,2,1,4,8,4,14,10,4,13,4,10,23,9,11,6,4,11,2,3
9,43,12,7,-1,-1,-1,-1,-1,-1,-1,1,1,4,8,7,10,12,12,32,21,35,24,19,30
10,11,2,1,1,2,6,-1,-1,1,4,15,9,16,25,31,8,3,6,5,12,16,31,34,14
11,24,18,16,14,7,10,7,10,3,4,18,31,15,20,32,23,23,20,24,27,34,32,38,28
12,32,16,11,6,8,-1,2,-1,1,2,15,22,29,30,46,41,27,15,13,18,40,54,42,30
13,23,25,3,7,4,2,10,14,6,19,38,42,39,46,70,68,50,22,32,39,46,49,70,53
14,15,8,3,5,4,-1,6,5,11,18,36,37,35,38,32,94,67,16,28,57,89,79,82,65
15,23,24,8,10,2,9,-1,8,5,6,9,11,16,18,20,58,37,28,26,47,37,18,39,47
16,28,17,3,7,-1,14,5,8,1,3,7,8,12,16,14,19,11,9,10,18,16,24,34,29
17,1,3,5,2,5,10,3,7,8,6,10,10,12,7,11,17,8,-1,5,4,3,7,3,5
18,16,19,18,6,8,-1,-1,1,-1,-1,5,5,7,8,8,11,12,6,17,17,17,30,29,24
19,16,10,11,14,8,6,-1,-1,6,2,6,8,3,2,16,6,8,-1,8,9,9,18,1,23
20,-1,-1,6,5,2,1,-1,6,2,-1,-1,-1,2,-1,11,18,10,12,15,16,17,10,16,12
21,25,14,-1,14,10,11,6,7,11,3,7,7,7,14,19,11,11,13,18,11,14,17,21,26
22,11,13,7,3,-1,5,4,-1,2,1,3,-1,3,3,42,8,7,5,3,5,7,6,16,5
23,17,20,14,10,6,1,4,5,4,2,5,4,9,10,12,5,4,3,4,18,18,29,20,17
24,8,10,3,-1,10,7,8,2,3,3,16,5,17,11,9,11,16,21,20,20,27,16,19,22
25,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,10,22,1,2,1,1,6,3
26,33,7,-1,-1,-1,-1,-1,-1,-1,-1,9,7,3,20,14,-1,2,6,4,1,4,6,8,18
27,27,26,-1,-1,-1,-1,-1,-1,2,13,6,14,16,20,20,12,13,19,12,9,12,24,29,27
28,22,12,-1,-1,5,-1,-1,-1,-1,-1,4,2,5,3,7,18,24,15,21,21,23,32,23,25
29,10,5,5,3,5,2,6,-1,-1,-1,17,5,7,11,16,-1,-1,-1,4,5,6,19,17,10
30,15,-1,12,5,5,3,2,7,8,9,6,10,12,17,30,11,17,12,23,14,22,28,34,29
31,22,15,4,1,2,2,-1,4,6,4,8,7,5,12,18,14,14,15,16,28,30,25,25,24
