Jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,5,4,7,12,11,17,8,19,11,21,23,19,26,16,34,13,15,12,30,20,7,4,6,3
2,5,3,9,18,18,13,17,21,23,17,23,14,15,21,20,27,24,26,22,21,27,5,13,7
3,6,5,11,13,16,9,16,18,30,16,36,40,27,28,18,21,25,43,70,74,66,64,47,25
4,15,14,8,12,10,19,31,52,55,44,53,49,25,16,23,21,34,29,19,15,16,14,8,6
5,3,2,3,7,3,12,6,19,14,14,25,13,8,11,22,14,16,33,11,13,10,21,6,9
6,7,9,5,7,5,13,6,26,14,17,9,7,2,8,1,13,21,23,24,14,18,11,6,8
7,6,8,10,13,5,11,7,11,21,20,23,17,21,20,19,25,27,16,24,15,19,17,16,5
8,5,7,9,16,11,13,6,11,9,20,21,14,10,13,38,29,27,19,23,14,7,8,6,2
9,8,7,13,8,10,14,12,9,15,29,23,19,17,31,22,16,39,20,16,14,12,9,5,3
10,4,6,11,11,7,18,13,13,17,11,17,35,19,27,37,32,21,29,16,15,14,13,8,4
11,3,5,12,18,14,10,11,16,12,13,15,18,19,19,35,29,28,16,11,20,8,13,2,7
12,3,4,3,7,9,9,17,13,18,15,15,20,29,23,27,13,26,26,24,14,18,6,11,4
13,6,2,8,8,6,10,5,7,7,16,15,20,9,18,30,27,15,16,25,20,12,11,14,5
14,6,5,13,14,10,10,12,19,14,19,24,24,24,21,23,24,31,22,27,13,20,8,8,4
15,6,4,11,17,5,8,11,19,14,24,16,21,23,23,16,21,21,35,19,14,25,9,2,5
16,1,2,5,12,10,7,11,15,10,21,13,26,18,22,28,21,9,22,41,35,19,17,4,6
17,4,4,5,9,10,9,11,16,26,16,22,16,18,44,33,30,29,32,26,24,20,20,19,9
18,2,3,10,15,13,13,9,21,23,19,13,13,29,24,39,41,31,21,17,5,16,3,5,6
19,5,3,4,3,5,5,6,14,11,22,11,20,21,23,23,25,15,32,21,13,17,17,4,1
20,6,7,12,14,13,16,9,14,15,22,21,18,12,15,32,22,28,31,24,16,10,15,4,5
21,3,1,3,5,13,4,10,20,11,16,18,18,13,26,26,43,22,28,33,15,26,14,10,8
22,9,38,9,7,6,7,12,19,21,15,24,20,12,14,28,34,25,28,30,34,6,10,6,3
23,2,8,9,13,7,14,10,8,10,14,20,22,17,24,35,22,27,23,17,14,19,8,8,5
24,5,7,8,4,16,6,6,16,21,7,10,14,28,23,31,29,14,21,35,15,20,17,5,2
25,6,3,6,12,9,11,11,12,15,6,17,10,18,16,29,32,27,27,24,13,8,6,1,2
26,4,2,-1,14,4,10,10,4,15,14,19,28,21,15,26,19,29,19,13,19,4,11,4,1
27,6,5,8,7,10,4,10,19,8,13,16,19,20,28,19,20,15,17,18,8,10,7,1,-1,-1
28,1,4,10,6,16,7,6,13,12,17,23,13,19,22,28,15,26,17,16,10,7,4,4,2
29,5,5,3,5,8,10,7,11,13,19,23,14,13,23,22,19,23,16,17,17,13,7,9,5
30,4,-1,4,8,14,6,10,14,16,19,22,17,13,20,20,26,24,19,12,14,8,13,9,4
31,9,2,9,8,10,7,10,12,12,14,19,19,17,25,21,28,23,15,19,8,17,1,9,6
