Apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,26,22,24,29,25,45,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,34,17,24
2,25,21,21,33,24,32,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,28,14,18
3,22,19,28,33,33,26,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,24,18,30
4,23,19,30,25,30,45,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,28,16,24
5,24,20,23,21,29,38,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,25,21,27
7,30,14,23,29,35,38,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,29,21,23
8,20,26,29,27,40,40,107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,30,31
9,27,15,22,38,55,48,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,18,17,33
10,15,22,27,32,51,38,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,20,18,19
11,34,35,21,20,59,37,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,41,23,28
12,33,36,56,36,37,35,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,23,29,34
13,40,28,27,30,55,30,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,28,16,17
14,19,16,19,32,29,44,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,23,29,17
15,18,23,27,25,33,33,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,36,22,28
16,11,19,25,24,53,33,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,24,11,13
19,27,21,21,35,42,67,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,33,29,28
20,37,53,17,55,42,48,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,35,20,10
21,26,25,30,24,38,56,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,34,13,30
22,23,27,35,27,55,61,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,41,34,23
23,45,40,42,38,109,49,105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,50,16,23
24,44,24,24,46,60,41,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,30,22,16
25,32,19,29,37,44,43,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,30,23,13
26,23,21,31,26,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,27,30,21
27,23,31,31,28,44,43,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,27,28,12
28,21,25,36,36,70,80,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,25,17,12
29,6,13,35,24,47,39,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,26,21,13
30,30,26,24,47,51,47,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,32,17,11
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
