Apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,3,8,24,6,22,10,27,15,23,25,38,43,33,24,23,31,22,43,58,34,25,9,6,27
2,2,8,2,19,52,43,16,16,36,24,25,42,19,27,31,49,29,18,33,10,13,12,2,3
3,8,10,16,34,81,20,21,31,21,24,36,28,36,69,71,48,57,84,105,123,35,25,4,12
4,3,36,36,19,31,30,25,33,15,32,37,34,19,30,31,19,39,17,54,30,16,6,14,7
5,17,6,5,8,36,24,25,31,21,29,62,41,28,38,36,42,22,34,55,35,21,20,4,23
6,18,3,15,38,11,13,14,37,22,16,29,25,37,13,40,34,26,31,22,17,24,10,21,35
7,16,5,3,8,25,38,9,22,21,34,19,25,21,23,25,38,64,50,71,17,33,27,12,6
8,11,15,13,22,32,26,28,20,27,47,39,25,28,22,67,29,32,40,79,34,31,17,82,14
9,22,19,27,39,98,25,31,25,25,60,42,48,38,63,84,44,45,77,83,36,55,27,123,83
10,8,7,9,7,55,17,19,38,23,53,28,28,49,34,52,60,58,47,25,40,11,25,27,3
11,134,5,35,9,57,27,35,26,27,43,38,31,28,52,74,54,33,52,112,43,18,19,11,27
12,13,16,34,18,31,19,25,32,24,34,29,39,24,25,49,38,52,50,23,35,20,9,16,4
13,13,1,12,11,13,12,24,29,24,24,33,36,177,150,49,32,72,47,28,15,35,22,42,13
14,26,20,27,8,22,17,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,30,26,11,16,3,35,29
15,2,7,9,38,9,30,18,30,26,25,23,21,24,33,39,36,44,38,20,15,6,8,4,9
16,8,3,11,26,16,33,14,30,38,44,47,32,63,30,55,34,33,33,60,24,23,24,11,8
17,6,8,11,13,21,24,38,39,33,38,58,27,38,60,32,37,33,49,71,24,23,19,9,12
18,5,7,12,16,15,25,30,28,26,28,38,35,45,35,46,30,39,26,25,26,29,15,31,5
19,16,7,34,12,8,29,26,25,21,29,34,30,46,40,42,34,37,43,75,31,18,17,28,6
20,16,19,25,7,21,19,36,27,36,33,41,37,22,61,49,28,53,50,45,46,44,28,52,7
21,30,30,26,14,22,24,49,39,39,46,30,12,43,41,85,51,71,86,46,37,27,10,14,11
22,9,1,17,8,12,19,20,28,26,25,25,35,27,31,52,31,40,42,23,24,11,8,24,7
23,16,1,17,19,15,26,10,15,19,14,22,23,16,20,26,36,41,29,33,17,24,24,14,16
24,21,22,14,13,56,30,63,67,72,52,72,63,49,64,56,40,46,54,58,34,21,32,48,26
25,34,12,43,24,19,20,22,9,27,19,23,21,26,28,47,24,57,24,17,22,13,31,21,29
26,160,55,20,35,26,33,30,33,38,39,45,44,43,54,48,52,31,38,27,23,19,21,28,12
27,10,17,5,11,25,23,31,31,31,30,38,37,45,58,57,43,57,29,39,33,39,28,22,13
28,33,20,21,19,33,21,31,38,37,57,55,35,40,104,87,29,34,47,55,30,18,7,5,16
29,11,2,8,3,11,12,18,14,31,36,33,59,-1,-1,-1,21,42,14,532,245,33,28,44,6
30,3,6,16,33,20,16,9,19,33,15,16,27,33,43,64,67,69,87,74,53,27,21,12,8
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
