Sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,282,308,305,272,303,286,319,334,371,365,324,293,271,211,230,204,161,148,154,226,243,198,266,288
2,269,263,358,388,395,369,379,393,383,334,332,316,248,210,155,191,164,185,196,203,201,140,156,272
3,263,247,337,373,322,286,292,357,403,354,330,268,275,204,199,210,200,161,162,162,162,180,243,241
4,310,319,327,332,120,370,345,295,318,313,265,261,233,200,208,174,147,173,186,207,149,181,254,202
5,197,307,290,339,378,332,285,11,8,5,12,3,6,5,4,7,3,5,4,3,6,12,9,14
6,7,11,9,8,12,13,8,-1,2,-1,-1,-1,-1,-1,-1,75,132,157,148,153,195,188,221,266
7,248,308,283,298,305,282,319,325,321,294,276,308,233,272,160,194,189,175,166,232,252,229,253,302
8,296,353,355,374,380,354,363,406,362,342,327,268,273,248,224,203,164,204,208,166,142,76,219,260
9,270,332,394,400,378,410,373,332,334,369,314,282,241,212,168,163,151,149,175,171,168,169,265,167
10,107,318,360,362,342,371,378,329,323,264,271,243,253,200,187,161,155,131,146,174,187,222,241,234
11,245,264,290,267,186,260,327,349,359,357,325,303,252,238,196,209,169,159,173,173,194,190,237,241
12,238,282,366,374,301,236,281,327,367,318,284,-1,-1,-1,174,167,158,159,190,221,216,262,309,256
13,272,316,314,330,315,295,283,290,255,203,239,232,231,212,177,167,199,189,172,190,198,219,209,249
14,257,299,331,390,382,415,402,401,359,367,309,293,262,209,222,162,160,163,159,186,234,252,294,271
15,335,362,407,379,366,363,373,419,387,378,310,305,265,255,198,180,169,170,206,167,224,223,237,249
16,287,264,210,156,228,219,313,365,373,222,211,214,171,141,95,124,125,129,123,188,210,230,235,267
17,252,264,242,188,285,277,251,258,309,255,230,205,168,178,155,139,157,130,136,188,190,175,179,109
18,232,244,213,255,200,164,151,268,263,209,205,172,167,154,154,107,94,110,137,156,170,126,209,178
19,189,224,290,237,190,224,225,207,235,218,204,191,161,150,137,125,122,117,131,130,194,193,198,196
20,236,192,229,262,156,208,280,270,232,228,225,176,189,143,159,130,125,127,159,183,202,221,246,254
21,211,256,345,351,374,298,290,257,188,248,281,198,190,153,147,102,97,151,144,181,190,231,215,266
22,327,260,266,184,215,195,172,238,235,255,205,181,171,135,128,128,119,152,130,136,199,262,257,345
23,301,347,301,275,204,280,277,242,254,244,255,221,191,148,165,120,166,148,170,187,221,232,228,239
24,150,86,248,132,167,217,232,230,223,249,235,181,185,164,110,98,100,132,127,182,178,208,236,243
25,192,110,168,160,179,216,241,270,207,267,251,198,183,149,133,128,128,159,203,138,172,213,237,239
26,262,294,330,339,390,316,239,268,292,203,237,211,182,160,143,141,87,110,141,158,197,225,218,204
27,247,338,323,351,412,410,376,344,329,302,287,233,238,248,194,180,185,161,190,224,186,233,310,259
28,331,343,355,360,377,384,367,370,356,359,280,250,237,195,216,191,154,160,188,192,246,258,252,281
29,266,346,317,339,299,327,385,349,342,314,311,258,216,177,194,202,183,174,170,176,208,180,276,330
30,321,378,367,353,360,391,368,370,315,286,266,225,220,178,146,123,113,136,148,205,230,242,231,247
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
