Oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,14,7,10,16,10,7,4,3,3,1,3,2,3,1,3,7,3,13,15,12,9,14,18,9
2,16,11,10,17,12,6,5,1,1,4,5,2,6,3,1,6,11,12,12,7,7,11,7,8
3,9,10,9,13,10,4,2,5,1,3,4,5,4,-1,3,6,4,10,6,11,11,12,6,7
4,10,18,12,13,11,13,-1,2,5,3,6,3,3,4,3,5,4,12,8,11,15,15,11,12
5,4,10,12,9,11,13,3,5,3,4,4,3,8,3,3,2,5,13,11,20,9,11,8,-1,-1
6,14,11,4,11,17,9,2,10,4,5,5,6,6,4,8,5,7,10,17,15,17,12,18,6
7,8,9,11,8,8,7,7,6,1,1,5,2,2,8,4,9,7,17,11,12,12,11,13,18
8,9,14,16,6,5,7,3,4,3,2,1,3,6,6,5,6,9,16,16,18,18,10,8,12
9,7,11,8,10,9,11,4,1,2,-1,2,3,4,4,4,7,10,11,14,11,10,11,4,11
10,6,9,10,7,5,3,4,2,1,3,4,2,4,5,-1,10,8,4,14,12,10,6,12,7
11,11,7,8,6,10,7,3,2,-1,2,2,4,5,-1,5,4,6,10,5,13,8,10,8,9
12,6,6,7,3,8,3,-1,3,2,6,3,2,2,3,6,1,5,6,6,9,8,5,4,6
13,7,2,4,5,3,6,2,-1,-1,3,6,6,2,8,2,-1,5,7,6,8,4,8,3,6
14,7,3,6,5,9,9,6,1,-1,-1,3,8,3,7,1,6,3,6,7,12,10,8,9,11
15,12,9,2,5,1,8,3,2,2,9,1,4,1,11,4,6,8,14,10,20,10,6,11,9
16,15,9,6,6,4,7,8,1,4,1,2,6,6,2,1,7,9,8,13,19,10,8,6,8
17,9,10,11,5,7,7,7,2,6,6,4,4,6,1,1,3,8,5,12,17,15,16,8,9
18,4,4,5,7,7,3,2,8,7,2,2,4,5,6,4,8,8,12,9,11,9,11,12,8
19,9,7,6,4,4,7,5,3,5,1,3,5,7,4,4,6,2,9,12,14,14,21,12,9
20,10,4,11,7,4,6,6,4,4,3,3,3,4,7,3,4,4,12,23,15,11,5,8,15
21,6,8,6,5,13,8,7,3,3,5,3,2,5,5,4,4,7,9,12,16,9,19,19,16
22,9,9,6,10,4,6,4,4,3,2,1,3,5,8,3,6,11,8,12,8,12,14,15,14
23,10,8,9,5,5,2,3,5,2,3,3,2,4,4,6,2,6,5,14,14,14,12,13,11
24,11,13,11,8,11,7,2,6,4,4,2,2,6,2,7,10,9,6,6,19,6,14,16,10
25,9,10,5,11,9,5,1,2,3,1,2,3,4,5,5,4,8,5,8,13,17,16,8,10
26,6,6,6,6,4,4,3,2,1,2,-1,3,3,10,3,5,12,11,8,15,11,11,12,11
27,6,8,14,6,7,5,7,4,2,1,6,2,2,4,5,2,3,10,13,12,14,13,5,8
28,10,4,8,13,5,-1,5,1,5,1,1,5,3,4,2,1,7,11,14,7,13,4,8,8
29,8,9,13,3,8,5,6,1,2,1,6,3,4,2,4,5,6,7,8,12,13,11,18,7
30,6,4,4,6,12,6,5,3,4,5,3,4,4,4,2,2,8,6,12,9,9,13,5,11
31,9,8,-1,-1,6,-1,-1,-1,-1,-1,-1,2,5,-1,-1,3,7,4,6,11,9,8,10,11
