Feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,6,9,14,4,9,6,13,12,11,8,10,10
2,20,16,23,26,21,10,8,9,5,7,5,7,6,13,19,9,18,11,13,11,18,12,13,20
3,35,29,33,18,20,7,6,5,6,8,5,14,10,12,16,17,21,23,18,26,25,22,28,27
4,24,-1,-1,-1,-1,-1,7,1,3,1,9,5,9,10,20,16,9,14,15,19,28,19,25,39
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,1,2,4,8,18,18,23,24,17,20,22,9,13
6,6,9,11,-1,10,4,2,3,3,3,3,4,2,6,6,3,5,9,9,9,4,11,12,16
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,7,6,9,3,12,15,11
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,5,4,5,4,5,5,10,12,9,9,13,8
9,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,2,4,5,7,7,13,10,7,11,10
10,17,-1,-1,-1,-1,-1,-1,-1,2,1,2,3,2,3,8,-1,2,2,4,2,8,10,15,10
11,20,11,2,5,5,7,3,3,-1,7,5,10,8,5,5,8,7,9,7,8,11,9,15,11
12,11,11,10,-1,-1,-1,-1,-1,-1,1,-1,1,2,2,12,6,7,16,10,11,10,4,14,14
13,3,-1,-1,-1,-1,-1,-1,6,2,3,3,5,4,3,7,3,1,13,13,6,10,7,16,11
14,9,11,12,4,5,-1,-1,2,1,2,2,1,-1,2,2,9,5,8,6,7,4,9,13,11
15,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,-1,3,3,6,2,3,2,-1,-1
16,-1,-1,-1,-1,-1,-1,5,2,2,1,2,1,5,3,3,3,1,-1,2,1,2,-1,-1,-1,-1
17,13,15,9,7,8,5,-1,-1,-1,1,1,-1,2,1,-1,3,8,9,5,8,11,12,19,10
18,-1,1,1,7,7,-1,-1,-1,-1,-1,-1,2,-1,3,4,3,4,5,9,10,8,9,11,-1,-1
19,12,14,8,14,6,5,3,1,1,3,6,1,1,6,4,6,4,6,13,10,15,9,9,15
20,17,14,9,2,5,4,1,-1,-1,1,2,2,3,6,8,4,5,8,6,11,11,5,13,14
21,16,19,12,-1,5,6,3,1,3,1,1,1,8,6,3,3,5,12,15,9,15,17,17,16
22,11,4,11,9,10,6,6,3,1,2,3,1,8,12,14,9,4,14,18,9,13,10,10,18
23,11,4,2,-1,3,2,-1,1,3,-1,-1,5,7,2,4,12,14,9,12,12,10,9,13,21
24,-1,-1,-1,8,7,9,5,3,1,4,2,2,-1,1,1,5,5,10,12,8,6,17,10,6
25,15,26,8,12,8,9,-1,5,1,2,5,5,4,10,9,3,4,7,8,10,14,18,20,23
26,23,19,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,6,12,9,14,16,18,18,23,18,19
27,8,19,6,6,4,-1,-1,-1,-1,-1,-1,-1,4,5,8,3,1,12,3,10,7,15,6,14
28,5,-1,-1,-1,-1,-1,-1,3,-1,2,5,7,7,10,6,13,10,5,8,6,17,13,17,10
29,21,19,24,16,9,18,7,3,2,3,3,3,12,2,11,11,16,14,10,20,25,16,24,19
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
