Feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,38,34,51,52,43,31,41,28,38,26,34,30,36,19,36,23,28,32,15,18,15,24,22,27
2,27,24,46,36,31,40,25,34,27,25,31,13,21,10,16,19,14,36,14,14,20,11,16,20
3,16,18,25,35,22,20,20,19,21,23,19,14,11,26,18,26,32,32,14,15,14,18,22,20
4,17,24,21,25,31,23,16,17,22,27,27,12,15,22,17,11,19,23,10,7,12,23,16,12
5,17,28,25,42,43,32,28,25,25,26,29,25,25,27,30,31,21,47,23,28,24,36,22,30
6,41,29,35,38,57,47,23,29,23,33,41,39,38,33,26,49,35,49,21,28,36,30,27,33
7,31,31,40,54,66,50,41,35,17,45,44,27,35,32,40,38,52,48,32,33,19,26,34,27
8,37,48,38,43,52,53,33,40,30,37,49,39,58,54,45,62,30,59,24,32,28,27,35,41
9,35,38,37,52,55,37,42,32,34,30,36,41,42,24,37,30,33,57,36,24,34,32,38,30
10,29,38,55,49,52,49,39,47,27,34,34,40,35,45,47,46,42,43,19,20,34,32,28,29
11,35,31,40,47,47,44,46,47,30,56,29,38,34,34,32,39,22,28,33,26,32,28,35,31
12,32,45,48,57,66,63,42,50,40,47,46,29,28,27,27,35,32,60,29,31,46,25,47,29
13,43,41,48,64,70,48,38,48,43,51,48,45,44,50,38,54,47,64,33,29,49,33,43,43
14,36,48,37,61,72,50,51,40,47,47,45,26,23,31,25,46,55,60,18,17,19,36,27,31
15,36,19,24,50,48,47,42,25,21,30,40,56,39,32,23,51,44,-1,-1,-1,-1,-1,-1,-1,-1
16,25,29,32,31,60,32,36,26,-1,24,39,27,43,46,48,30,31,58,28,33,26,36,43,29
17,39,46,64,54,65,38,44,46,30,20,50,30,37,36,50,41,53,40,39,28,37,41,29,42
18,39,39,56,59,59,55,62,39,29,53,49,32,47,40,55,43,37,60,43,31,40,35,30,39
19,36,48,51,44,66,50,36,40,36,47,64,38,43,44,22,37,41,68,25,32,34,39,37,39
20,41,48,60,59,83,60,37,39,37,50,54,33,53,38,46,67,43,41,22,22,35,43,31,31
21,41,46,34,37,67,41,40,40,37,64,52,37,46,38,34,60,43,51,22,22,33,22,46,35
22,41,38,44,61,61,33,36,30,30,42,44,60,38,46,29,36,42,58,31,20,-1,-1,-1,-1,-1
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
