Apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,115,126,125,157,208,242,209,226,182,158,135,116,75,50,18,22,22,30,71,78,23,-1,-1,-1
2,-1,100,157,142,152,160,173,157,172,156,136,114,103,90,37,38,30,30,32,46,71,12,-1,-1,-1
3,-1,88,144,150,171,201,209,190,156,139,157,101,95,46,47,20,20,26,34,53,73,27,19,-1,-1
4,10,11,42,127,140,174,189,204,200,170,129,127,86,51,33,18,19,31,34,68,73,16,-1,-1,-1
5,-1,89,116,135,141,191,211,173,195,155,142,115,81,71,38,26,19,25,20,53,78,10,-1,-1,-1
6,-1,123,134,170,184,199,206,231,158,203,241,137,94,51,49,22,25,27,39,71,65,12,-1,-1,-1
7,-1,93,138,201,190,209,239,185,160,217,155,135,109,69,39,31,17,25,43,59,89,17,-1,-1,-1
8,-1,135,142,153,212,210,268,220,216,189,187,123,93,74,29,31,32,44,28,58,70,22,-1,-1,-1
9,-1,102,170,169,232,223,239,268,223,182,169,123,118,63,31,16,34,27,39,70,20,25,-1,-1,-1
10,-1,111,169,195,211,189,236,204,212,185,205,135,116,98,37,31,23,29,31,68,79,25,16,-1,-1
11,24,40,72,157,196,218,252,263,199,187,142,123,106,69,47,24,18,35,32,69,94,13,-1,-1,-1
12,-1,10,79,162,203,243,254,308,287,213,177,160,124,67,47,210,10,31,54,55,66,12,-1,-1,-1
13,-1,83,131,168,192,204,266,268,208,194,166,147,121,63,22,25,20,23,27,60,74,26,-1,-1,-1
14,-1,93,143,145,216,221,277,244,218,191,149,142,99,80,40,54,29,36,39,67,58,18,-1,-1,-1
15,-1,105,151,156,194,262,282,282,247,203,170,138,88,73,43,32,31,35,22,53,71,15,-1,-1,-1
16,-1,-1,109,155,215,204,271,360,329,266,225,195,159,94,66,37,21,28,34,28,70,83,30,-1,-1
17,-1,-1,122,171,136,180,239,239,290,279,244,187,135,123,70,59,33,14,24,40,60,74,48,19
18,26,16,4,65,145,200,256,299,303,213,242,171,184,98,67,33,29,41,34,41,74,96,14,9
19,-1,-1,114,143,161,251,230,238,235,255,219,199,209,168,67,22,27,13,-1,32,61,87,29,-1,-1
20,-1,-1,112,166,193,273,241,240,313,272,214,216,138,145,71,68,23,24,32,47,47,92,28,-1,-1
21,-1,-1,134,171,179,287,266,221,275,260,199,228,152,122,88,40,34,47,28,44,106,102,23,-1,-1
22,-1,-1,128,227,314,267,240,280,330,266,234,255,177,126,89,46,54,27,40,44,70,80,30,-1,-1
23,-1,-1,143,177,207,246,294,383,450,312,254,273,174,150,69,46,29,17,37,27,51,57,7,11
24,-1,-1,132,167,102,140,123,178,281,241,238,165,187,137,87,35,21,20,28,32,68,68,24,15
25,17,11,10,57,166,226,277,370,324,245,188,187,161,106,84,36,34,36,28,40,44,90,28,-1,-1
26,-1,-1,105,223,293,215,295,321,297,247,253,202,153,130,91,30,29,26,42,43,65,83,12,-1,-1
27,-1,-1,125,183,234,322,370,345,345,246,192,203,167,136,74,48,25,30,44,37,72,82,15,11
28,-1,-1,103,162,222,240,257,370,389,273,214,202,169,206,107,50,40,30,34,47,47,75,16,-1,-1
29,-1,-1,124,189,206,235,244,363,311,291,238,214,171,168,99,31,45,37,42,40,42,77,20,-1,-1
30,-1,-1,116,165,234,271,288,354,431,338,288,228,176,138,82,59,59,22,-1,12,30,62,30,85
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
