Apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,140,237,248,253,281,297,308,382,355,315,336,298,265,223,144,121,82,90,113,116,142,179,128,112
2,144,207,266,220,219,294,295,344,274,293,307,252,231,187,143,108,80,83,96,100,128,130,115,97
3,123,202,231,221,249,286,331,369,372,321,303,281,270,185,140,121,81,92,74,91,189,153,132,165
4,125,186,215,227,259,296,365,403,335,377,366,299,241,215,132,109,87,104,104,95,122,156,155,151
5,142,230,209,206,262,293,277,327,301,301,309,303,256,216,136,97,83,85,89,78,120,109,107,128
6,120,228,217,241,230,284,301,347,365,335,335,260,230,167,158,111,91,102,116,110,118,148,122,104
7,122,222,226,234,233,331,261,304,344,362,313,293,218,171,130,94,80,77,79,94,113,127,144,87
8,132,243,214,213,233,293,281,363,393,363,296,300,238,201,138,103,84,95,94,89,146,146,151,126
9,138,235,263,219,247,327,323,389,308,316,333,288,248,168,133,112,89,104,81,116,120,145,156,163
10,110,193,235,225,299,312,358,420,390,364,333,323,268,243,188,121,107,85,86,101,136,156,192,149
11,151,195,261,268,286,347,397,392,429,432,425,293,255,181,148,108,100,88,89,88,127,118,157,116
12,147,203,222,248,235,281,354,338,351,382,311,328,259,224,169,120,109,74,80,117,126,121,119,145
13,187,254,223,228,248,305,304,342,350,364,329,325,257,219,158,108,94,89,88,96,121,155,169,145
14,158,228,239,243,277,299,295,322,309,318,354,304,300,185,114,93,92,66,68,83,90,122,126,67
15,148,239,195,194,260,265,307,328,365,331,336,317,254,205,151,126,87,86,77,89,102,126,157,98
16,138,236,236,224,242,255,270,349,327,357,266,338,277,208,165,102,77,66,70,79,105,95,133,105
17,117,194,238,254,233,254,323,336,401,316,309,303,229,180,138,106,82,71,81,102,98,124,152,121
18,117,170,178,222,239,272,330,327,283,325,353,310,290,242,137,113,89,65,81,99,100,122,95,99
19,117,109,140,142,168,257,237,323,297,335,307,362,316,228,168,121,103,61,103,92,106,129,178,144
20,156,210,219,246,232,274,270,351,332,306,338,291,245,227,148,113,99,73,99,90,89,131,159,124
21,144,238,251,268,303,307,328,368,379,422,426,379,338,235,182,132,105,105,111,126,160,185,208,178
22,152,221,260,271,311,279,279,335,360,351,391,340,295,253,138,105,92,82,70,106,116,141,158,133
23,216,299,278,263,292,323,318,360,385,362,373,359,309,230,131,121,88,78,78,86,120,139,140,120
24,140,208,283,254,292,301,366,361,308,389,409,368,270,210,148,125,96,76,83,89,104,126,137,120
25,138,200,262,282,305,259,365,384,354,317,414,370,273,213,157,99,89,97,83,104,108,139,132,113
26,162,221,234,225,274,263,279,343,284,330,330,338,294,237,186,114,93,85,97,84,80,94,78,104
27,140,239,268,245,293,340,334,357,351,396,364,348,330,262,194,134,117,89,85,92,134,154,160,114
28,140,185,249,267,285,306,260,318,334,396,402,400,292,225,180,144,109,93,74,84,108,123,122,115
29,132,240,300,284,293,345,290,358,369,361,379,374,336,255,171,105,92,93,82,102,102,128,166,189
30,164,234,251,249,302,323,312,381,341,329,377,370,314,220,171,134,106,97,91,89,120,137,150,133
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
