Jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,21,10,13,10,8,14,7,1,1,5,-1,4,3,6,7,42,23,20,30,29,43,62,26,26
2,2,5,-1,-1,-1,2,7,3,1,1,3,6,9,11,20,16,30,33,28,23,25,27,19,6
3,-1,-1,-1,-1,-1,-1,10,8,1,3,3,3,9,13,13,18,18,19,24,16,19,23,13,3
4,4,6,-1,-1,-1,-1,-1,-1,-1,2,3,7,10,15,8,8,16,20,18,18,20,22,11,10
5,3,2,6,10,5,5,10,12,4,5,4,9,4,8,3,16,19,20,20,19,22,23,20,14
6,12,12,17,16,8,20,17,11,7,6,4,8,16,17,23,12,16,21,17,29,27,15,21,19
7,15,11,6,9,17,17,12,10,9,5,8,6,13,24,18,15,23,21,36,37,36,30,26,21
8,6,5,3,11,11,7,5,3,-1,3,6,4,3,8,11,15,11,15,19,21,26,14,25,19
9,12,5,4,6,8,14,12,11,5,2,6,7,14,18,26,16,14,15,15,27,29,21,21,10
10,17,10,14,13,15,13,15,14,5,6,4,5,15,15,14,27,18,19,30,32,33,29,26,23
11,10,7,9,6,10,13,15,10,8,2,3,5,10,14,27,19,15,27,28,29,19,23,17,15
12,10,5,20,16,12,22,17,10,5,5,6,13,11,7,12,24,22,27,31,32,35,27,22,22
13,30,22,26,14,13,12,10,6,1,9,3,5,8,13,13,19,22,25,23,57,75,62,65,48
14,11,10,12,9,20,18,24,6,2,5,13,14,20,33,28,14,19,18,22,29,33,24,23,11
15,21,31,21,23,5,8,11,18,10,5,11,16,26,38,33,38,37,43,68,51,55,67,63,26
16,6,3,5,4,1,9,7,5,8,5,3,6,22,28,18,26,19,26,25,33,37,32,23,15
17,18,13,13,12,5,8,7,9,9,3,8,7,13,17,19,22,25,28,30,45,30,35,25,24
18,3,4,5,14,18,8,7,6,4,4,5,9,13,14,24,26,20,24,31,25,27,28,19,20
19,2,4,4,8,7,6,12,6,4,2,3,6,12,20,13,17,9,13,34,24,28,17,25,12
20,11,9,11,8,12,18,14,7,3,2,3,7,14,7,24,25,25,30,21,28,24,25,17,19
21,20,13,10,10,16,15,12,25,10,8,10,15,19,9,8,15,20,23,19,27,25,22,27,20
22,7,9,6,9,5,4,15,16,9,5,3,6,13,21,26,41,46,46,45,48,52,41,27,19
23,13,18,12,19,10,14,17,9,9,2,5,4,8,12,15,28,27,24,20,34,20,19,20,13
24,8,13,8,18,10,9,8,9,5,1,4,4,6,18,15,16,23,31,25,29,22,20,20,14
25,34,29,25,25,25,27,21,18,6,11,11,11,27,36,35,22,26,24,27,36,22,31,23,8
26,10,9,9,11,9,7,18,10,5,14,2,2,2,8,6,15,20,27,31,18,11,7,11,17
27,5,11,3,5,9,13,10,7,10,6,8,8,10,9,17,11,8,4,7,12,13,10,15,20
28,12,10,9,10,8,12,11,12,8,4,4,3,14,13,18,13,18,30,26,31,17,18,17,18
29,9,18,13,9,12,10,2,4,5,4,3,14,11,22,25,18,26,22,20,19,27,14,14,7
30,17,14,27,19,11,17,16,7,9,2,5,13,13,22,27,13,22,18,18,20,18,20,11,12
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
