Sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,14,11,4,-1,-1,8,11,1,7,2,2,5,5,4,9,15,5,18,18,12,10,15,17,10
2,16,12,9,16,15,6,10,5,5,2,3,7,6,10,10,7,11,17,15,13,21,15,10,16
3,15,8,15,10,12,8,6,5,4,4,6,7,6,11,11,6,15,12,22,7,22,22,20,14
4,13,13,6,9,14,12,13,11,10,2,7,11,12,8,15,14,15,23,12,23,16,15,19,13
5,14,7,13,12,10,15,8,11,4,5,8,9,7,15,4,18,20,23,22,16,18,18,18,21
6,12,14,5,9,12,5,12,11,3,4,9,7,7,12,17,14,12,18,13,25,26,15,17,12
7,14,12,10,6,3,6,7,3,2,5,6,8,8,12,7,14,14,19,13,14,25,13,13,6
8,9,14,6,12,8,12,7,3,3,2,-1,-1,12,11,10,10,19,13,15,15,17,9,10,13
9,13,12,13,6,14,10,12,4,3,5,5,10,3,7,8,6,14,20,14,15,12,9,13,14
10,17,9,6,9,5,9,6,7,8,7,3,12,14,12,6,13,8,15,11,13,16,16,12,12
11,16,12,5,6,13,8,14,9,4,5,6,8,14,9,12,6,17,20,27,14,17,17,18,12
12,8,11,11,5,9,8,6,4,5,3,5,6,8,2,6,4,13,15,21,20,20,23,11,11
13,16,9,10,10,15,12,9,6,4,2,-1,-1,-1,-1,-1,14,11,15,11,10,13,10,16,17
14,20,10,6,8,14,9,12,6,-1,-1,-1,-1,-1,-1,-1,8,8,16,21,14,17,20,11,15
15,-1,-1,-1,-1,-1,-1,-1,-1,8,3,6,14,-1,-1,4,8,8,12,24,15,12,12,12,15
16,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,10,4,17,17,15,17,13,11,10,11
17,9,8,19,17,12,9,-1,-1,6,4,4,4,-1,11,11,14,16,9,18,12,21,15,13,10
18,12,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,10,14,19,17,14,14,11,10
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,-1,10,13,-1,-1,9,7,4,12,1,7,10,-1,7,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,10,10,16,11,11,-1,-1,4,10,4,6,9,12,7,7,9,9,12,22,14,11,18,18,14
23,8,11,14,18,9,9,10,5,2,10,9,10,8,14,13,9,14,13,20,11,12,13,14,17
24,16,16,10,17,10,11,12,10,8,3,3,10,10,15,8,11,7,15,18,17,16,17,15,13
25,17,12,14,11,15,11,7,8,4,1,6,2,5,12,6,7,15,20,22,22,19,17,17,13
26,24,14,14,11,15,7,9,11,6,5,7,5,8,7,10,16,12,15,16,24,18,15,16,15
27,20,14,23,12,12,13,15,7,6,1,4,11,11,9,8,9,16,22,22,15,30,16,26,20
28,11,11,18,16,21,7,9,10,-1,6,7,5,3,3,10,18,22,17,21,18,32,18,23,22
29,18,17,18,20,19,10,16,7,10,6,12,9,11,7,13,10,17,16,20,22,17,26,9,18
30,18,22,12,12,-1,-1,-1,-1,-1,5,5,-1,-1,-1,7,9,21,22,28,22,25,24,12,17
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
