Oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,11,11,19,19,19,18,17,2,6,9,6,7,21,25,24,14,8,9,10,14,6,14,18,19
2,12,20,9,11,12,9,-1,2,19,11,8,15,17,21,11,17,6,9,4,10,25,28,16,19
3,7,11,17,11,28,32,23,17,6,8,9,5,38,27,15,7,12,9,5,16,16,26,15,20
4,24,5,13,15,17,14,4,-1,19,20,10,10,22,21,9,5,11,6,57,10,15,15,17,14
5,9,1,13,22,17,16,17,28,27,17,27,11,47,29,14,11,4,9,72,56,12,19,26,19
6,9,11,12,25,25,16,19,30,19,18,18,13,18,11,10,12,11,12,13,19,20,13,11,25
7,11,15,23,15,13,28,21,22,24,21,12,18,10,13,12,9,8,13,17,16,24,21,20,11
8,10,13,13,15,20,26,15,15,15,15,17,14,19,4,4,12,14,8,9,18,16,21,16,18
9,19,9,17,13,19,16,24,17,12,35,17,21,16,20,12,8,13,11,12,10,13,20,13,17
10,14,11,16,28,15,19,27,23,34,86,41,40,26,46,56,42,28,28,31,46,50,37,58,57
11,47,38,35,56,77,60,62,58,53,62,53,39,58,38,24,26,89,22,23,30,41,42,54,36
12,41,27,35,50,42,40,51,65,55,64,60,37,33,34,28,19,-1,-1,-1,4,35,45,45,41
13,31,20,26,51,46,52,60,63,69,54,41,53,35,54,27,26,40,23,25,38,37,42,37,32
14,19,37,34,39,56,52,48,65,42,62,33,32,29,57,49,40,28,29,37,42,44,50,56,56
15,36,30,38,49,62,44,39,46,42,48,28,29,23,36,33,27,18,19,51,34,34,34,39,29
16,22,26,27,31,26,31,28,41,30,34,26,41,16,29,27,28,21,17,23,34,29,33,39,35
17,35,25,39,54,52,51,40,42,56,26,33,43,33,29,20,20,22,18,15,36,40,42,36,52
18,32,34,34,24,36,61,51,46,53,42,39,24,33,35,26,25,42,31,35,25,49,45,40,98
19,30,39,41,59,64,55,58,59,51,76,52,47,38,38,31,28,55,28,35,37,50,50,53,69
20,48,52,60,103,74,84,53,78,79,71,50,32,48,33,37,33,39,19,28,56,39,49,64,33
21,45,54,46,73,78,93,75,76,97,68,39,61,172,42,42,25,39,21,34,35,51,48,49,62
22,61,52,65,56,76,97,72,77,56,61,41,43,53,48,47,57,29,35,38,36,56,80,68,49
23,49,60,82,107,48,58,77,63,46,65,47,40,51,35,52,27,31,27,35,28,51,44,37,44
24,60,50,50,70,74,53,64,47,50,46,71,40,33,66,51,45,24,28,40,39,34,29,46,51
25,32,36,61,67,50,60,46,61,67,49,42,52,39,40,45,45,28,21,35,33,38,45,51,43
26,20,45,61,50,45,62,60,50,56,47,73,26,22,38,37,35,25,31,31,22,24,33,36,22
27,26,22,35,31,35,38,42,40,44,32,33,25,30,35,19,27,19,22,32,40,26,42,26,23
28,16,29,33,38,34,22,36,43,50,41,37,31,30,49,17,18,34,18,24,23,32,36,29,34
29,32,23,30,50,31,31,37,47,36,34,35,25,14,26,26,29,25,13,27,45,35,46,26,28
30,36,29,24,32,37,45,29,43,72,50,31,39,44,37,40,36,29,29,26,23,37,39,39,28
31,17,24,22,49,34,28,37,41,54,54,37,41,45,21,22,25,38,24,36,35,37,36,42,37
