Oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,3,5,4,7,4,5,2,1,2,4,1,3,2,1,3,5,5,5,7,2,2,1,4,7
2,12,5,4,8,6,5,2,4,1,5,5,2,2,3,3,6,10,8,6,9,4,12,11,4
3,9,3,3,4,6,4,4,3,4,2,2,2,10,4,5,5,9,8,9,2,5,4,6,12
4,6,3,5,1,4,5,9,2,-1,3,-1,3,3,1,2,5,4,2,4,6,8,9,4,9
5,7,5,3,5,1,1,3,1,-1,1,7,1,5,8,5,2,12,6,3,6,6,8,4,5
6,3,1,3,2,2,5,-1,1,2,1,1,3,-1,5,3,8,4,14,3,3,6,2,5,3
7,5,5,5,9,9,8,8,2,4,3,2,3,3,3,4,5,8,4,4,8,6,10,8,5
8,5,5,4,1,3,7,4,-1,3,-1,-1,2,3,3,6,5,5,6,6,5,6,6,7,8
9,4,2,1,3,10,2,6,1,5,5,5,3,3,1,3,2,11,4,12,8,7,6,5,2
10,2,4,4,3,6,2,-1,1,2,-1,1,4,6,6,5,4,12,6,4,3,5,4,5,3
11,6,3,6,3,8,2,-1,3,3,1,-1,3,-1,-1,4,4,1,9,6,12,7,3,8,5
12,6,6,5,3,6,3,5,6,3,2,2,1,1,2,2,3,3,14,6,5,6,15,6,3
13,5,3,2,3,2,3,2,3,2,2,1,1,4,8,5,7,5,10,4,6,6,3,11,3
14,5,4,5,2,3,7,3,4,4,2,1,1,3,1,4,4,6,7,11,4,4,5,13,6
15,5,5,5,5,5,1,2,2,3,2,1,3,3,3,1,4,6,5,9,5,8,6,5,8
16,3,4,3,2,3,2,1,3,4,1,2,4,2,1,4,6,10,7,7,9,4,10,7,7
17,6,4,6,2,1,2,1,1,3,4,3,-1,4,7,5,4,7,6,10,17,5,5,7,4
18,5,6,2,6,2,5,3,3,4,2,2,1,1,3,8,3,6,6,6,7,8,5,5,12
19,2,5,5,2,6,2,1,2,2,2,1,6,2,4,4,6,4,7,9,7,9,8,5,3
20,2,2,3,4,3,2,4,3,2,6,1,1,1,1,1,6,5,7,6,4,2,6,4,5
21,3,1,2,3,1,2,1,1,1,1,2,1,3,3,3,1,1,6,5,4,3,11,4,4
22,3,5,2,2,1,1,1,1,-1,2,-1,3,3,3,1,-1,5,8,11,10,9,6,10,10
23,5,1,-1,4,5,1,2,-1,1,3,2,1,7,4,1,-1,3,5,2,11,4,8,6,4
24,3,5,4,1,2,1,5,4,2,1,3,5,8,3,1,1,1,13,4,4,6,6,5,6
25,4,1,4,-1,1,1,-1,-1,-1,-1,7,5,8,8,4,10,4,3,7,6,3,4,9,4
26,3,5,2,4,6,6,5,5,2,2,5,9,5,11,10,8,8,8,5,10,9,6,10,8
27,5,6,11,9,6,7,4,6,4,3,4,10,7,4,19,7,16,11,14,20,23,13,17,6
28,19,10,11,10,8,6,2,2,3,2,2,11,7,13,11,13,13,14,21,20,9,19,20,12
29,18,8,4,12,10,5,3,4,3,-1,-1,6,7,7,16,9,11,15,16,13,11,27,11,16
30,10,4,6,5,4,7,2,1,2,-1,3,5,7,8,9,4,6,7,12,17,12,11,12,7
31,8,11,8,10,4,2,3,5,4,3,5,8,6,12,5,5,6,11,14,14,15,11,7,12
