Oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,19,30,28,15,12,20,27,24,40,47,61,66,63,81,83,79,69,47,79,57,60,35,32,96
2,72,113,84,62,88,95,48,93,95,123,83,77,61,39,73,97,88,83,77,57,61,70,52,26
3,27,14,23,63,91,69,61,65,42,38,74,71,68,68,72,78,56,61,63,62,60,46,38,28
4,20,74,90,84,56,65,39,36,58,24,42,38,67,74,77,93,95,132,117,75,66,54,66,54
5,79,69,40,24,41,43,41,61,48,68,79,97,101,83,49,48,60,57,48,46,37,54,56,34
6,57,56,37,23,56,63,64,60,64,50,42,49,46,69,69,83,83,119,83,65,66,58,66,58
7,47,35,31,29,26,23,34,29,40,46,72,83,74,83,77,67,68,67,60,62,54,58,65,30
8,52,62,43,55,61,58,36,57,47,38,50,41,20,18,44,22,40,69,59,64,62,44,46,40
9,36,27,17,1,12,16,7,23,59,74,74,49,41,70,59,95,122,115,106,85,92,73,92,98
10,92,91,107,112,85,115,101,100,95,87,90,84,70,71,76,95,108,85,78,56,62,55,67,76
11,60,66,58,38,48,64,26,48,56,38,75,76,81,58,68,69,67,51,55,48,61,45,52,71
12,47,50,70,43,46,60,64,73,64,94,115,136,131,121,124,135,123,122,110,112,68,100,94,113
13,114,88,90,103,102,86,67,74,55,37,26,2,6,29,74,65,91,97,57,48,52,57,49,50
14,58,35,29,84,34,101,61,94,73,52,32,43,3,51,58,57,57,85,61,46,59,44,27,30
15,51,69,86,52,26,18,27,31,33,42,77,74,57,68,73,68,80,77,83,73,65,69,81,56
16,30,40,30,24,22,16,28,34,55,70,88,53,69,79,74,60,48,62,75,81,73,52,46,27
17,47,36,23,37,63,43,43,81,62,28,48,51,55,57,48,63,42,68,53,42,64,51,41,46
18,27,21,14,24,29,26,31,24,45,59,58,70,84,53,82,79,52,78,73,57,78,72,50,57
19,64,40,71,52,99,76,78,82,67,24,40,17,26,74,48,81,43,48,66,21,49,41,17,16
20,34,64,44,49,59,55,73,57,86,50,58,33,16,58,73,39,50,60,67,27,18,32,9,15
21,48,39,69,83,49,53,84,61,30,91,158,93,34,64,62,74,72,73,65,11,3,29,26,20
22,28,44,52,79,47,49,40,80,46,32,84,84,117,74,58,61,-1,-1,-1,-1,-1,-1,20,80
23,56,67,78,59,68,57,87,86,103,83,69,74,14,11,13,6,57,48,56,39,54,20,51,35
24,59,132,74,41,55,76,51,54,65,52,29,48,88,93,95,59,64,36,49,27,51,18,12,11
25,15,59,66,41,38,60,39,62,53,21,14,44,18,33,51,61,39,58,75,38,20,25,43,17
26,57,32,65,53,39,61,42,54,62,52,62,29,25,60,68,73,56,63,71,85,97,78,51,65
27,77,89,70,92,90,59,90,89,82,72,79,23,54,52,63,49,69,86,87,60,54,69,74,72
28,67,64,66,82,71,79,78,31,4,7,8,1,-1,36,52,78,76,80,52,66,50,40,49,51
29,42,49,53,51,29,32,35,4,13,3,11,11,5,41,68,56,40,55,52,51,42,11,21,58
30,82,39,51,90,69,83,92,76,93,91,97,64,75,73,73,98,93,97,110,104,91,84,94,101
31,107,119,153,131,96,140,104,90,61,43,43,106,110,91,104,119,104,112,123,108,90,73,88,84
