Oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,19,51,147,124,78,72,76,116,19,60,140,37,36,5,80,120,126,191,71,92,22,99,100,71
2,53,90,116,78,11,27,73,26,51,133,151,90,156,137,127,144,114,92,47,10,25,35,62,122
3,26,79,134,20,-1,6,13,-1,1,143,216,191,156,103,37,165,124,80,32,48,11,2,3,27
4,79,105,91,27,63,10,19,36,21,59,90,129,199,83,44,39,22,46,26,5,25,5,-1,39
5,36,6,42,20,29,13,72,61,8,76,106,243,188,185,45,128,117,111,107,133,54,16,51,35
6,-1,135,187,145,212,80,135,110,17,117,164,74,30,20,53,77,126,42,44,37,49,8,63,33
7,-1,16,17,23,18,29,14,15,-1,2,86,148,112,74,87,58,99,104,76,21,70,63,50,81
8,31,61,52,47,65,70,51,33,5,28,120,170,181,70,114,93,49,41,92,54,22,11,54,67
9,18,131,176,124,87,82,24,4,8,12,34,64,255,273,150,163,115,152,75,33,71,90,36,72
10,27,123,86,41,49,32,32,2,2,8,12,22,31,63,58,217,198,213,62,56,116,69,107,59
11,6,29,93,21,49,52,22,77,22,59,24,14,35,10,34,34,119,189,108,102,107,83,48,114
12,5,130,39,26,49,67,31,30,6,32,58,111,180,167,91,74,100,89,122,85,26,21,47,-1,-1
13,-1,36,81,50,28,46,21,56,-1,28,88,39,27,18,142,137,140,93,57,29,91,74,73,30
14,5,105,104,44,107,102,24,31,10,16,52,22,15,13,27,17,53,149,158,165,52,94,33,100
15,58,42,34,30,66,140,41,136,19,126,137,62,35,30,101,79,91,79,47,22,24,14,19,27
16,-1,37,26,58,50,3,4,-1,5,10,11,49,161,234,110,146,156,179,167,78,60,23,40,72
17,4,125,70,143,42,53,57,16,12,33,76,33,36,53,37,106,68,87,47,42,65,58,90,95
18,9,35,17,30,85,66,46,45,31,52,80,248,253,211,138,151,103,83,48,39,102,86,36,93
19,17,40,56,57,83,68,37,27,10,108,106,44,56,20,24,56,34,29,33,72,25,37,20,29
20,-1,10,15,11,24,23,14,15,7,23,57,95,226,128,106,12,22,9,23,17,15,54,29,38
21,9,27,102,14,51,75,49,98,12,26,145,64,59,47,42,29,61,75,45,25,75,26,12,148
22,38,34,24,75,25,28,28,4,10,72,70,3,22,13,47,53,8,35,167,152,72,65,77,111
23,91,71,107,114,43,43,12,-1,54,95,141,65,76,140,80,47,108,155,29,72,53,32,37,213
24,111,120,99,82,72,117,138,42,11,116,98,91,58,63,133,108,159,109,61,45,92,33,14,-1,-1
25,17,7,5,-1,21,-1,1,42,21,76,34,1,-1,35,17,4,160,160,208,15,68,212,90,151
26,168,87,86,62,113,71,87,136,75,134,137,114,50,52,41,67,83,173,51,112,155,53,28,-1,-1
27,1,12,39,36,59,85,105,97,8,50,101,265,220,150,154,117,121,146,66,111,130,15,127,32
28,3,98,85,52,96,99,54,113,81,84,206,146,26,16,17,18,217,221,272,76,149,157,128,121
29,40,39,30,54,117,52,27,78,71,105,120,28,168,101,39,49,23,220,195,205,47,73,92,150
30,17,160,101,75,88,20,35,1,31,77,103,127,225,280,162,151,66,204,149,99,71,88,192,203
31,71,58,131,81,68,64,67,51,10,12,79,111,113,91,96,144,66,71,104,54,56,46,10,6
