Dec,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,6.0,4.5,6.2,5.9,5.5,5.2,4.6,3.5,4.1,3.4,3.8,6.4,4.2,3.9,4.2,2.6,2.7,3.5,2.6,2.3,2.5,2.5,4.0,6.7
2,4.2,6.7,8.0,5.3,7.7,6.9,5.3,6.4,5.9,5.0,13.9,5.5,4.0,4.1,4.9,4.8,3.1,3.7,3.6,3.0,3.0,2.9,3.2,4.6
3,2.9,6.7,8.9,6.4,4.8,6.1,5.9,6.9,7.9,9.0,8.6,7.4,4.4,5.5,2.4,3.2,3.0,3.0,3.8,4.5,2.9,3.6,4.9,7.1
4,12.7,7.2,6.6,9.1,6.7,4.6,6.9,3.9,4.9,6.0,7.2,5.3,5.7,2.8,2.2,2.5,3.0,2.8,3.5,2.9,3.0,2.4,3.2,4.7
5,4.5,5.3,7.7,7.5,4.2,7.3,3.4,5.6,4.5,5.1,6.3,4.0,2.5,4.3,3.2,3.1,3.5,3.2,2.9,2.6,2.2,2.9,4.5,4.5
6,8.1,6.9,8.3,6.1,5.5,4.6,5.1,3.3,6.4,6.3,5.4,4.9,5.0,3.9,2.4,1.6,2.6,2.5,2.7,3.7,3.9,4.4,3.3,5.1
7,2.6,5.6,7.1,6.9,8.6,8.5,4.9,5.4,5.1,7.4,3.7,5.4,4.2,3.2,3.1,2.7,2.7,2.6,3.2,5.7,5.8,3.0,5.1,4.9
8,7.5,5.8,7.4,6.0,6.8,7.6,6.6,6.7,4.5,6.8,8.0,4.5,5.6,3.2,3.5,3.4,3.0,2.3,3.4,2.4,3.3,4.6,6.1,8.0
9,9.1,9.1,10.0,10.7,7.3,9.0,7.9,7.5,5.7,6.3,7.2,4.1,5.4,5.1,2.3,2.9,3.6,3.9,4.3,6.2,6.5,5.5,5.0,7.8
10,6.2,7.6,8.6,8.6,7.3,7.5,5.4,7.4,6.7,5.2,7.6,5.9,4.6,5.5,3.4,3.0,3.7,4.7,5.5,4.7,6.0,6.7,4.8,7.8
11,6.0,10.4,14.2,13.6,12.3,16.5,12.8,9.2,7.5,6.0,7.6,4.5,5.5,3.6,4.6,3.9,4.8,6.2,6.5,9.4,15.5,15.8,16.2,8.5
12,9.6,13.7,16.7,21.2,18.3,11.6,11.9,12.6,9.9,7.4,5.7,3.6,3.4,4.0,3.8,3.8,5.3,9.6,12.5,15.3,21.0,15.6,10.0,11.8
13,20.7,31.2,36.1,37.0,29.0,19.7,16.4,13.8,13.9,14.9,6.1,9.2,4.7,3.7,6.6,8.5,12.9,13.2,22.5,43.6,53.5,44.4,39.8,28.8
14,26.6,41.4,40.6,34.8,24.0,24.0,22.1,20.8,26.6,10.1,8.0,3.5,4.1,5.4,4.6,6.1,6.0,5.9,6.7,7.9,7.2,7.4,4.2,3.4
15,5.5,8.4,7.2,7.7,7.6,4.4,4.1,4.9,8.9,3.6,5.6,4.8,3.2,3.2,2.7,2.2,2.7,1.8,2.4,3.2,3.0,5.2,3.2,4.5
16,6.7,3.9,6.0,5.3,7.7,5.5,5.4,7.2,5.5,5.9,8.3,6.1,4.0,3.5,3.5,2.9,1.6,2.4,2.3,2.8,2.3,3.3,6.0,5.3
17,4.3,4.3,4.4,6.3,5.7,4.3,5.5,5.4,7.0,8.0,5.7,5.3,3.3,3.7,2.8,2.0,2.0,1.7,1.8,1.7,2.1,4.4,2.4,2.3
18,4.3,3.6,3.9,4.4,8.1,4.0,4.8,3.7,4.2,4.8,5.4,7.9,3.6,4.1,2.7,4.9,3.2,2.0,2.1,1.9,2.4,2.0,2.3,3.1
19,3.1,3.7,3.8,4.8,4.6,2.6,4.4,5.1,3.0,6.6,3.8,4.1,3.6,2.2,3.7,2.9,2.0,1.4,1.0,1.8,1.4,1.5,2.8,2.2
20,2.8,3.2,2.6,1.8,2.1,2.1,2.8,2.1,2.8,4.9,4.9,5.4,3.8,2.6,1.6,1.7,1.4,1.9,1.8,1.6,1.9,3.8,2.4,4.4
21,2.8,2.6,3.3,3.2,3.2,3.2,2.8,2.0,3.6,3.7,3.5,4.5,4.1,2.4,2.9,2.5,1.9,2.8,1.6,1.8,1.4,1.5,2.7,3.0
22,2.4,3.2,4.9,6.5,5.9,7.2,6.6,6.3,10.4,9.9,14.1,13.1,12.2,11.3,9.9,5.9,4.5,4.7,2.1,2.2,2.2,1.9,6.6,3.4
23,2.1,2.8,4.1,4.0,4.6,4.6,4.8,3.6,4.8,5.9,5.4,4.2,3.2,3.2,3.9,2.0,2.0,1.6,1.5,2.0,1.9,1.4,2.3,3.5
24,2.6,2.2,6.4,2.0,2.5,2.3,4.5,2.6,3.7,3.9,3.5,5.1,3.0,2.2,1.8,1.6,1.8,1.3,1.5,2.1,1.8,1.7,2.5,1.5
25,2.0,3.5,4.1,4.5,3.2,4.1,6.3,3.8,3.7,3.6,3.2,5.8,3.3,2.6,1.7,1.4,0.8,1.1,1.2,1.1,1.0,1.4,3.4,1.7
26,2.6,3.1,3.0,3.6,3.4,4.7,3.5,2.5,3.4,3.8,3.3,3.6,3.4,1.7,2.3,1.5,1.5,1.5,1.3,1.5,1.8,2.8,1.8,2.8
27,2.9,2.8,3.6,4.4,3.7,4.0,3.3,4.0,3.6,4.1,3.7,3.7,2.8,2.7,2.3,2.0,1.9,1.4,1.7,1.4,1.2,1.4,1.5,2.7
28,2.2,4.0,5.0,3.6,4.4,3.6,2.6,4.0,3.4,4.4,3.6,4.9,4.5,2.3,1.9,2.2,1.7,1.4,1.7,1.4,1.1,1.1,2.7,2.7
29,1.2,3.2,3.5,4.9,3.3,2.9,3.4,5.6,3.1,3.6,4.0,4.5,2.0,2.9,2.2,3.2,0.8,1.7,1.3,1.3,1.2,1.3,2.5,2.2
30,2.7,3.1,3.3,4.0,3.6,2.6,4.3,3.8,4.3,5.8,2.9,5.2,3.9,2.6,3.9,2.9,1.6,2.5,1.9,2.0,2.3,1.6,2.8,2.2
31,2.4,3.2,4.3,4.0,4.7,4.8,4.2,4.8,4.9,6.5,4.6,3.6,3.6,2.8,3.4,2.4,1.5,1.5,1.6,1.4,1.7,1.8,2.0,2.4
