may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,84,89,108,116,127,121,111,151,139,165,130,112,64,49,33,27,14,20,19,28,29,23,58,69
02,107,158,116,116,130,136,140,178,206,122,144,134,84,60,48,42,22,16,22,24,46,44,78,34
03,69,58,74,59,68,76,95,73,92,150,150,104,88,49,37,31,13,11,19,22,32,44,50,59
04,87,73,99,103,111,144,176,178,202,206,160,103,92,89,38,29,21,22,30,29,41,69,107,118
05,85,102,85,115,87,118,133,166,165,198,165,89,82,51,22,23,15,11,24,23,31,32,63,59
06,51,54,70,75,84,124,134,124,187,194,190,135,89,44,41,31,31,24,19,31,34,30,41,65
07,68,69,78,102,112,145,155,164,168,180,166,122,81,39,47,27,24,28,23,28,35,29,44,57
08,68,75,74,75,121,121,121,176,166,171,135,105,84,67,57,43,28,18,33,38,49,52,58,63
09,80,85,113,107,129,139,159,182,207,191,145,112,138,89,88,54,17,28,16,35,37,60,72,79
10,101,99,126,130,138,162,157,138,152,160,99,83,54,37,21,26,20,18,12,25,43,47,60,79
11,74,88,103,106,118,132,131,149,121,129,110,90,64,39,38,35,21,20,22,14,22,43,71,64
12,85,87,95,83,97,151,133,143,171,181,136,123,83,55,36,28,16,16,23,25,35,49,49,63
13,73,95,86,109,83,109,156,170,184,198,170,120,109,77,38,29,22,29,18,21,41,45,51,78
14,88,107,94,76,101,121,131,159,145,166,166,115,82,44,29,23,16,30,23,35,28,49,55,49
15,76,81,69,81,107,112,143,117,141,109,70,65,61,41,26,20,20,8,20,25,22,31,46,46
16,56,83,73,79,71,90,113,134,120,105,103,85,50,42,40,12,27,45,39,28,45,54,24,95
17,89,104,82,116,111,118,138,147,135,158,135,105,71,50,0,0,25,22,26,41,45,38,73,55
18,61,76,71,83,103,90,95,130,140,-1,89,72,47,60,0,0,42,27,33,25,34,31,61,69
19,83,84,107,88,115,110,115,128,134,99,133,76,71,-1,23,24,19,31,0,70,97,57,102,99
20,88,109,123,134,146,157,167,161,150,157,137,127,96,55,56,0,47,30,41,48,19,72,94,76
21,82,92,93,111,110,156,154,145,150,161,172,0,0,0,0,0,0,0,0,0,0,30,69,70
22,108,101,107,100,135,147,145,182,198,178,156,135,108,62,40,35,33,35,37,45,0,0,0,0
23,0,0,0,0,0,0,0,-1,33,72,83,87,29,22,11,14,47,23,23,83,23,29,71,144
24,133,188,139,171,157,166,202,211,191,226,224,143,83,63,37,27,29,32,55,59,55,116,44,101
25,130,164,173,168,149,148,172,0,0,298,285,213,206,0,0,133,69,56,36,0,0,0,114,110
26,158,171,152,179,220,177,167,224,217,254,155,95,75,77,0,0,26,25,32,33,29,43,98,139
27,156,178,189,144,174,191,200,195,162,156,140,91,73,42,24,26,24,21,19,24,33,73,95,87
28,108,122,122,134,113,139,142,156,156,153,115,78,58,27,23,19,16,39,24,51,31,63,138,167
29,200,203,172,191,215,214,209,258,216,240,244,225,196,121,54,45,44,41,36,60,59,82,71,102
30,197,217,202,247,231,216,221,260,214,308,218,130,80,42,35,22,31,28,40,46,78,51,79,132
31,139,165,179,159,177,213,225,324,332,338,247,182,125,56,27,31,21,106,0,91,54,84,85,-1,-1
[E]n&gt;`s,I}lel`z`fg'o0'jf',b
