oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,8,7,10,1,5,8,6,4,10,8,6,4,10,14,4,4,-1,-1,3,1,9,5,6,9
02,6,3,7,8,5,7,16,16,13,7,18,9,3,7,8,1,2,4,5,2,3,5,4,6
03,4,7,5,5,10,13,10,15,14,12,6,4,8,4,1,7,4,3,5,5,3,5,9,5
04,8,9,7,4,8,10,16,3,7,10,3,6,6,3,4,5,3,4,6,3,3,9,4,8
05,3,4,3,12,6,4,7,14,11,11,7,7,3,3,2,1,1,1,9,2,3,4,3,9
06,7,4,6,7,3,5,8,4,9,10,5,1,2,2,4,3,6,2,4,4,2,2,5,1
07,2,6,11,6,4,6,4,9,5,9,2,3,1,2,3,3,2,2,1,2,8,2,5,5
08,3,4,4,7,7,6,2,2,3,5,1,4,3,7,2,3,2,3,2,4,3,4,4,2
09,5,3,4,6,4,1,5,3,5,7,4,3,5,1,4,2,2,8,4,3,8,3,7,7
10,4,3,2,8,7,9,6,5,9,10,4,3,5,5,4,1,2,3,4,1,4,4,16,7
11,4,7,8,7,6,8,6,3,13,9,7,5,5,2,4,4,2,1,2,5,5,5,11,5
12,7,5,12,6,8,4,3,6,3,11,4,4,6,8,6,6,2,2,2,4,2,4,4,6
13,11,9,6,5,8,6,3,5,6,4,4,5,9,5,3,3,2,4,1,3,5,4,5,5
14,6,3,4,5,8,4,6,6,6,4,4,3,1,3,1,1,1,2,4,7,4,5,3,5
15,3,7,4,5,9,8,12,3,3,6,7,9,3,9,3,2,5,6,5,6,7,9,5,11
16,6,14,10,6,9,9,8,9,6,9,8,10,4,5,3,9,6,2,3,6,5,7,5,5
17,10,7,14,8,6,5,11,11,5,4,6,2,4,5,4,2,2,4,4,2,7,10,8,12
18,9,6,5,10,1,6,3,11,8,5,6,2,3,5,4,3,4,2,3,3,3,12,8,14
19,8,8,9,13,6,7,11,8,4,4,5,6,4,5,5,6,1,3,3,4,8,5,9,10
20,6,9,15,12,10,20,10,12,8,8,7,4,7,7,2,4,4,5,3,2,3,11,11,15
21,16,13,7,17,19,14,8,16,10,11,2,7,8,5,2,6,3,1,1,1,6,7,7,5
22,22,18,16,16,7,13,15,19,11,7,4,7,3,3,4,1,1,2,1,2,3,7,9,11
23,15,18,13,15,12,12,18,9,6,7,8,2,2,3,4,2,3,2,3,5,7,4,4,15
24,9,10,10,13,14,5,10,10,6,10,4,5,5,1,3,2,3,1,4,5,1,2,10,9
25,6,13,10,9,5,6,5,8,4,4,5,9,3,6,7,4,1,2,5,4,3,3,4,2
26,3,5,6,2,9,3,6,2,6,4,1,5,3,2,5,5,1,4,3,2,1,5,8,6
27,7,4,4,8,2,6,3,7,2,3,1,5,4,3,3,2,1,2,3,2,2,9,3,4
28,4,5,8,10,2,6,4,1,3,9,7,8,2,2,4,1,1,2,1,1,3,7,7,6
29,1,3,5,5,1,9,10,5,4,6,3,4,2,2,4,2,3,4,1,3,3,4,5,3
30,5,6,4,4,5,7,11,4,6,7,12,7,3,4,3,3,1,6,3,1,5,4,5,3
31,5,5,3,3,1,2,7,5,3,5,10,2,5,4,1,5,4,2,3,-1,-1,-1,-1,-1,-1
