nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,247,285,302,230,230,232,245,210,146,171,231,183,178,147,95,123,79,69,80,56,144,167,172,185
02,213,267,272,263,258,253,239,184,181,193,171,200,170,134,100,83,59,71,79,-1,162,183,194,217
03,235,265,293,249,217,232,216,208,102,215,-1,-1,-1,158,144,86,72,67,40,98,155,177,205,212
04,239,291,303,308,257,212,215,200,136,156,175,219,164,147,134,77,85,102,59,108,66,192,182,201
05,224,253,293,281,279,252,203,205,67,82,204,174,159,114,55,88,66,27,73,110,179,177,242,171
06,216,234,241,239,233,226,213,202,139,104,165,116,-1,-1,85,95,65,51,59,88,111,171,192,177
07,218,264,232,232,189,189,189,162,58,204,96,123,-1,104,60,-1,49,22,58,118,61,167,168,180
08,163,234,233,166,223,159,123,151,123,134,174,133,208,157,155,116,103,100,57,100,146,185,213,187
09,184,270,252,254,249,239,199,200,167,165,141,181,184,121,96,75,56,47,68,76,95,177,168,139
10,194,222,319,334,240,237,218,237,213,189,167,192,191,143,126,83,17,65,82,115,121,163,228,216
11,227,279,288,269,265,213,179,205,120,64,124,178,-1,162,147,101,93,53,80,103,131,160,161,146
12,214,237,257,231,252,215,220,241,172,177,79,131,58,141,104,103,76,70,33,109,157,177,264,310
13,238,229,-1,-1,-1,-1,-1,-1,-1,246,102,54,135,-1,-1,-1,-1,-1,-1,-1,-1,198,119,220
14,-1,258,192,160,166,224,-1,-1,90,65,128,142,123,14,65,57,42,33,46,112,108,130,170,173
15,198,227,238,224,219,224,236,237,147,110,107,67,49,101,82,59,26,67,52,78,93,94,101,135
16,155,147,168,147,137,152,117,103,56,81,65,73,21,71,23,49,23,10,58,80,94,121,104,161
17,138,174,256,244,252,266,247,235,162,200,170,176,126,104,121,90,20,21,71,121,131,162,182,198
18,226,247,245,278,238,216,229,208,202,81,134,109,125,50,41,93,30,69,44,95,164,179,235,238
19,235,289,313,292,300,293,256,282,219,122,104,190,137,155,84,51,56,48,86,88,158,197,229,217
20,215,258,283,276,279,272,308,284,222,201,219,120,156,125,82,90,69,50,86,142,167,167,231,221
21,239,253,256,271,265,275,271,279,161,112,223,197,200,148,118,90,87,89,76,66,139,187,-1,186
22,240,269,314,276,274,284,264,289,245,250,259,175,120,130,122,84,45,39,86,110,145,187,208,206
23,223,264,297,301,329,309,335,346,234,250,247,202,173,157,134,130,74,52,79,94,162,180,246,253
24,250,303,337,347,322,334,270,228,145,178,170,203,179,149,178,102,52,44,105,120,192,226,237,232
25,246,252,291,306,254,267,270,253,224,92,143,146,150,146,104,61,63,92,112,89,154,163,186,279
26,276,306,299,291,310,296,301,284,319,224,176,173,222,159,145,67,112,71,123,158,180,224,195,228
27,225,277,281,279,249,308,276,258,201,216,166,215,190,105,110,107,82,58,103,142,177,211,207,225
28,278,247,316,301,320,299,318,241,234,232,198,212,179,63,79,93,71,80,148,114,151,228,235,244
29,244,307,330,366,340,386,318,304,183,210,190,154,169,136,116,94,77,84,-1,-1,-1,-1,-1,114
30,247,298,305,297,313,294,275,277,244,212,227,215,170,132,100,59,43,30,89,119,139,192,154,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
[E]n&gt;`s,I}lel`z`fg'o0'jf',b
