jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,55,46,57,67,78,76,108,132,141,142,170,165,189,181,151,155,162,126,131,105,115,100,93,96
02,68,91,89,72,87,108,128,141,171,171,206,208,198,176,183,184,176,160,187,181,145,123,127,116
03,98,100,84,98,122,101,165,212,225,276,354,405,429,418,396,417,400,382,338,369,386,344,385,344
04,359,313,281,234,257,291,363,357,366,402,432,423,425,358,313,280,253,212,151,182,179,159,170,112
05,113,91,88,109,104,126,168,198,235,263,257,259,311,287,265,233,238,188,192,171,133,110,94,80
06,70,75,74,98,91,130,141,174,224,208,268,270,282,276,264,297,232,178,205,166,135,104,116,59
07,67,74,71,97,93,102,143,175,200,253,278,278,286,257,251,258,213,211,158,137,158,151,98,113
08,72,56,87,80,105,107,150,148,173,129,154,276,231,268,217,192,144,123,105,139,105,102,96,63
09,53,56,74,87,109,125,195,179,197,210,239,239,250,280,270,281,219,179,193,163,147,82,90,77
10,48,70,89,57,79,71,63,82,95,128,91,119,94,85,113,127,145,140,115,140,101,109,62,50
11,50,43,51,51,48,48,70,106,97,123,118,148,108,118,86,76,89,80,73,82,43,71,39,36
12,34,40,45,50,66,69,95,100,128,129,132,158,182,138,134,137,133,128,85,107,51,34,19,43
13,41,59,41,61,66,88,79,102,123,173,181,178,187,171,152,160,133,112,134,135,130,108,114,101
14,78,68,89,99,121,138,147,185,215,253,290,309,228,221,190,212,148,194,179,148,150,120,112,85
15,95,84,70,101,124,121,137,143,159,189,236,245,227,222,227,182,173,170,215,170,125,102,85,63
16,68,61,54,77,64,76,79,103,106,121,167,166,143,151,163,201,199,214,175,178,135,124,141,103
17,84,0,73,114,100,110,84,159,202,231,252,300,281,259,198,218,-1,-1,248,219,227,194,187,175
18,109,81,126,178,176,163,158,230,208,267,285,285,274,255,250,263,279,249,228,208,215,206,143,154
19,140,172,134,189,177,180,211,232,285,268,272,256,313,290,272,275,238,242,246,211,212,154,157,109
20,64,72,70,50,110,122,154,184,192,186,198,177,133,121,112,116,103,147,194,182,247,215,201,153
21,137,149,164,174,170,190,239,261,260,270,274,275,242,251,226,240,239,252,243,224,239,209,-1,-1,-1
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
